Name,Rating
Garry Kasparov,2847
Viswanathan Anand,2807
Vladimir Kramnik,2799
Alexander Morozevich,2754
Peter Leko,2752
Michael Adams,2746
Vassily Ivanchuk,2739
Alexei Shirov,2736
Evgeny Bareev,2724
Boris Gelfand,2724
Veselin Topalov,2716
Peter Svidler,2713
Mikhail Gurevich,2699
Nigel Short,2698
Alexander Khalifman,2693
Rustam Kasimdzhanov,2692
Loek Van Wely,2690
Alexey Dreev,2689
Ilia Smirin,2689
Ruslan Ponomariov,2686
Judit Polgar,2686
Kiril Georgiev,2684
Anatoly Karpov,2680
Loek van Wely,2679
Judit (GM) Polgar,2677
Vladislav Tkachiev,2676
Nigel D. Short,2676
Vladimir Akopian,2675
Viktor Bologan,2673
Jiangchuan Ye,2671
Michal Krasenkow,2670
Zurab Azmaiparashvili,2670
Predrag Nikolic,2669
Alexander Grischuk,2666
Alexander Beliavsky,2665
Alexander Onischuk,2663
Sergei Movsesian,2662
Sergei Rublevsky,2660
Joel Lautier,2658
Ivan Sokolov,2658
Konstantin Sakaev,2656
Viktor Korchnoi,2656
Zhang Zhong,2656
Ye Jiangchuan,2655
Jun Xu,2655
Zoltan Almasi,2651
Alexander Nenashev,2649
Artur Jussupow,2648
Xiaomin Peng,2648
Vadim Zvjaginsev,2647
Matthew Sadler,2647
Jan Timman,2646
Rafael Vaganian,2646
Sergey Dolmatov,2646
Rafael Leitao,2645
Alexander Graf,2645
Andrei Kharlov,2644
Jeroen Piket,2643
Rafael A Vaganian,2641
Ulf Andersson,2640
Alexey Kuzmin,2639
Alexander G Beliavsky,2638
Rustem Dautov,2637
Yasser Seirawan,2635
Alexandru Crisan,2635
Alexander Lastin,2634
Igor Khenkin,2632
Peng Xiaomin,2632
Jaan Ehlvest,2632
Etienne Bacrot,2630
Sergei Shipov,2630
Vladimir Malakhov,2629
Iosif Dorfman,2629
Curt Hansen,2628
Pavel V. Tregubov,2628
Vadim Milov,2627
Evgeny Vladimirov,2627
Zurab Sturua,2626
Jan H Timman,2626
Igor Novikov,2625
Smbat Lputian,2625
Alexander Chernin,2625
Jonathan Speelman,2624
Robert Hübner,2624
Boris Avrukh,2623
Aleksej Aleksandrov,2622
Pavel Tregubov,2622
Christopher Lutz,2621
Vladimir Epishin,2621
Alexander Rustemov,2621
Alexei Fedorov,2620
Eduardas Rozentalis,2619
Giorgi Giorgadze,2618
Valerij Filippov,2618
Lubomir Ftacnik,2618
Julian Hodgson,2617
Ioannis Papaioannou,2617
Boris Gulko,2616
Zdenko Kožul,2616
Boris F Gulko,2616
