,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: February 1950 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Mikhail Botvinnik,2805,38y6m,(#5 all-time among players aged 38y6m)
#2,Vassily Smyslov,2760,28y11m,(#14 all-time among players aged 28y11m)
#3,David Bronstein,2754,26y0m,(#15 all-time among players aged 26y0m)
#4,Alexander Kotov,2751,36y6m,(#20 all-time among players aged 36y6m)
#5,Miguel Najdorf,2739,39y10m,(#17 all-time among players aged 39y10m)
#6,Reuben Fine,2738,35y4m,(#23 all-time among players aged 35y4m)
#7,Gideon Ståhlberg,2730,42y1m,(#22 all-time among players aged 42y1m)
#8,Isaak Boleslavsky,2726,30y8m,(#34 all-time among players aged 30y8m)
#9,Samuel Reshevsky,2724,38y3m,(#24 all-time among players aged 38y3m)
#10,Paul Keres,2722,34y1m,(#31 all-time among players aged 34y1m)
#11,Erich Eliskases,2712,37y0m,(#41 all-time among players aged 37y0m)
#12,László Szabó,2711,32y11m,(#47 all-time among players aged 32y11m)
#13,Efim Geller,2701,24y11m,(#41 all-time among players aged 24y11m)
#14,Svetozar Gligoric,2692,27y0m,(#67 all-time among players aged 27y0m)
#15,Semen Furman,2688,29y2m,(#76 all-time among players aged 29y2m)
#16,Yury Averbakh,2668,28y0m,(#104 all-time among players aged 28y0m)
#17,Petar Trifunovic,2665,39y6m,(#67 all-time among players aged 39y6m)
#18,Vasja Pirc,2662,42y2m,(#64 all-time among players aged 42y2m)
#19,Andor Lilienthal,2662,38y9m,(#79 all-time among players aged 38y9m)
#20,Salo Flohr,2660,41y3m,(#72 all-time among players aged 41y3m)
#21,Julio Bolbochán,2659,29y11m,(#124 all-time among players aged 29y11m)
#22,Max Euwe,2658,48y9m,(#30 all-time among players aged 48y9m)
#23,Efim Bogoljubow,2656,60y10m,(#5 all-time among players aged 60y10m)
#24,Nicolas Rossolimo,2652,40y0m,(#86 all-time among players aged 40y0m)
#25,Igor Bondarevsky,2650,36y9m,(#100 all-time among players aged 36y9m)
#26,Mark Taimanov,2646,24y0m,(#110 all-time among players aged 24y0m)
#27,Ludek Pachmann,2639,25y9m,(#142 all-time among players aged 25y9m)
#28,Gedeon Barcza,2639,38y6m,(#116 all-time among players aged 38y6m)
#29,Héctor Rossetto,2639,27y5m,(#158 all-time among players aged 27y5m)
#30,Eero Böök,2625,40y0m,(#123 all-time among players aged 40y0m)
#31,Jan Foltys,2624,41y4m,(#134 all-time among players aged 41y4m)
#32,Herman Pilnik,2623,36y1m,(#175 all-time among players aged 36y1m)
#33,Ratmir Kholmov,2621,24y9m,(#186 all-time among players aged 24y9m)
