,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: May 1960 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Mikhail Tal,2792,23y6m,(#6 all-time among players aged 23y6m)
#2,Paul Keres,2769,44y4m,(#4 all-time among players aged 44y4m)
#3,Boris Spassky,2763,23y4m,(#9 all-time among players aged 23y4m)
#4,Tigran Petrosian,2763,30y11m,(#15 all-time among players aged 30y11m)
#5,Vassily Smyslov,2753,39y2m,(#12 all-time among players aged 39y2m)
#6,Viktor Korchnoi,2731,29y2m,(#32 all-time among players aged 29y2m)
#7,Svetozar Gligoric,2729,37y3m,(#29 all-time among players aged 37y3m)
#8,Efim Geller,2729,35y2m,(#26 all-time among players aged 35y2m)
#9,Mikhail Botvinnik,2727,48y9m,(#9 all-time among players aged 48y9m)
#10,Bobby Fischer,2720,17y2m,(#3 all-time among players aged 17y2m)
#11,Ratmir Kholmov,2716,35y0m,(#37 all-time among players aged 35y0m)
#12,Mark Taimanov,2714,34y3m,(#39 all-time among players aged 34y3m)
#13,David Bronstein,2706,36y3m,(#44 all-time among players aged 36y3m)
#14,Yury Averbakh,2699,38y3m,(#44 all-time among players aged 38y3m)
#15,Lev Polugaevsky,2689,25y6m,(#59 all-time among players aged 25y6m)
#16,László Szabó,2687,43y2m,(#37 all-time among players aged 43y2m)
#17,Ludek Pachmann,2686,36y0m,(#65 all-time among players aged 36y0m)
#18,Miguel Najdorf,2676,50y1m,(#22 all-time among players aged 50y1m)
#19,Wolfgang Unzicker,2674,34y11m,(#85 all-time among players aged 34y11m)
#20,Lajos Portisch,2667,23y1m,(#73 all-time among players aged 23y1m)
#21,Samuel Reshevsky,2667,48y6m,(#26 all-time among players aged 48y6m)
#22,Wolfgang Uhlmann,2666,25y2m,(#92 all-time among players aged 25y2m)
#23,Borislav Ivkov,2661,26y6m,(#111 all-time among players aged 26y6m)
#24,Fridrik Olafsson,2660,25y4m,(#104 all-time among players aged 25y4m)
#25,Oscar Panno,2659,25y2m,(#101 all-time among players aged 25y2m)
#26,Aleksandar Matanovic,2651,30y0m,(#143 all-time among players aged 30y0m)
#27,Andrija Fuderer,2651,29y0m,(#135 all-time among players aged 29y0m)
#28,Vladas Mikenas,2650,50y1m,(#33 all-time among players aged 50y1m)
#29,Gedeon Barcza,2649,48y9m,(#37 all-time among players aged 48y9m)
#30,Miroslav Filip,2646,31y7m,(#153 all-time among players aged 31y7m)
#31,Isaak Boleslavsky,2645,40y11m,(#94 all-time among players aged 40y11m)
#32,Lothar Schmid,2645,32y0m,(#152 all-time among players aged 32y0m)
#33,Alexander Kotov,2643,46y9m,(#55 all-time among players aged 46y9m)
#34,Alexander Tolush,2637,50y0m,(#44 all-time among players aged 50y0m)
#35,William Lombardy,2633,22y5m,(#106 all-time among players aged 22y5m)
#36,Bent Larsen,2631,25y2m,(#159 all-time among players aged 25y2m)
#37,Aivars Gipslis,2629,23y3m,(#123 all-time among players aged 23y3m)
#38,Evgeny Vasiukov,2629,27y2m,(#194 all-time among players aged 27y2m)
#39,Bukhuti Gurgenidze,2628,26y6m,(#181 all-time among players aged 26y6m)
#40,Vladimir Bagirov,2625,23y9m,(#145 all-time among players aged 23y9m)
#41,Nikolay Krogius,2620,29y10m,(#233 all-time among players aged 29y10m)
#42,Pal Benko,2620,31y10m,(#224 all-time among players aged 31y10m)
#43,Jacob Yukhtman,2619,25y4m,(#195 all-time among players aged 25y4m)
#44,Lev Aronin,2619,39y10m,(#146 all-time among players aged 39y10m)
#45,Max Euwe,2618,59y0m,(#20 all-time among players aged 59y0m)
#46,Yury Nikolaevsky,2617,23y3m,(#154 all-time among players aged 23y3m)
#47,Vladimir Antoshin,2615,31y0m,(#250 all-time among players aged 31y0m)
#48,Arturo Pomar Salamanca,2611,28y8m,(#252 all-time among players aged 28y8m)
#49,Johannes Donner,2610,32y10m,(#260 all-time among players aged 32y10m)
#50,Gideon Ståhlberg,2605,52y4m,(#50 all-time among players aged 52y4m)
#51,Larry Evans,2604,28y2m,(#281 all-time among players aged 28y2m)
#52,Leonid Stein,2604,25y6m,(#245 all-time among players aged 25y6m)
#53,Raúl Sanguinetti,2602,27y3m,(#271 all-time among players aged 27y3m)
#54,István Bilek,2602,27y9m,(#286 all-time among players aged 27y9m)
#55,Petar Trifunovic,2602,49y9m,(#75 all-time among players aged 49y9m)
#56,Anatoly Lutikov,2601,27y3m,(#277 all-time among players aged 27y3m)
#57,Semen Furman,2597,39y5m,(#206 all-time among players aged 39y5m)
#58,Alexander Cherepkov,2595,39y7m,(#208 all-time among players aged 39y7m)
#59,Klaus Darga,2595,26y3m,(#294 all-time among players aged 26y3m)
#60,Alexey Suetin,2594,33y6m,(#306 all-time among players aged 33y6m)
#61,Vladimir Simagin,2593,40y11m,(#204 all-time among players aged 40y11m)
#62,Anatoly Bannik,2593,38y5m,(#241 all-time among players aged 38y5m)
#63,Zdravko Milev,2590,30y7m,(#354 all-time among players aged 30y7m)
#64,Jonathan Penrose,2589,26y7m,(#327 all-time among players aged 26y7m)
#65,Mario Bertok,2588,30y8m,(#361 all-time among players aged 30y8m)
#66,Vladislav Shianovsky,2587,30y5m,(#370 all-time among players aged 30y5m)
#67,Rashid Nezhmetdinov,2584,47y5m,(#117 all-time among players aged 47y5m)
#68,Yury Sakharov,2582,37y8m,(#276 all-time among players aged 37y8m)
#69,Milan Matulovic,2581,24y11m,(#311 all-time among players aged 24y11m)
#70,Eduard Gufeld,2580,24y2m,(#290 all-time among players aged 24y2m)
#71,Milko Bobotsov,2577,28y8m,(#395 all-time among players aged 28y8m)
#72,Daniel Yanofsky,2576,35y2m,(#347 all-time among players aged 35y2m)
#73,Maximilián Ujtelky,2576,45y1m,(#176 all-time among players aged 45y1m)
#74,Robert Byrne,2575,32y1m,(#429 all-time among players aged 32y1m)
#75,Borislav Milic,2574,34y7m,(#370 all-time among players aged 34y7m)
#76,Nikola Padevsky,2574,27y0m,(#406 all-time among players aged 27y0m)
#77,Herman Pilnik,2573,46y4m,(#160 all-time among players aged 46y4m)
#78,Frank Anderson,2567,32y4m,(#459 all-time among players aged 32y4m)
#79,Božidar Djuraševic,2565,27y1m,(#459 all-time among players aged 27y1m)
#80,Petar Smederevac,2564,37y9m,(#346 all-time among players aged 37y9m)
#81,Salo Flohr,2563,51y6m,(#108 all-time among players aged 51y6m)
#82,Cenek Kottnauer,2561,50y3m,(#125 all-time among players aged 50y3m)
#83,Rudolf Teschner,2559,38y3m,(#365 all-time among players aged 38y3m)
#84,Iivo Nei,2558,28y7m,(#508 all-time among players aged 28y7m)
#85,Donald Byrne,2556,29y11m,(#519 all-time among players aged 29y11m)
#86,Albéric O'Kelly de Galway,2556,49y0m,(#141 all-time among players aged 49y0m)
#87,Vlastimil Hort,2556,16y4m,(#29 all-time among players aged 16y4m)
#88,James Sherwin,2555,26y7m,(#501 all-time among players aged 26y7m)
#89,Arthur Bisguier,2555,30y7m,(#533 all-time among players aged 30y7m)
#90,Yury Kots,2554,26y5m,(#507 all-time among players aged 26y5m)
#91,Georgy Tringov,2554,23y2m,(#358 all-time among players aged 23y2m)
#92,Vladilen Popov,2553,,
#93,Héctor Rossetto,2549,37y8m,(#422 all-time among players aged 37y8m)
#94,Eero Böök,2549,50y3m,(#145 all-time among players aged 50y3m)
#95,Aleksander Nikitin,2548,25y4m,(#495 all-time among players aged 25y4m)
#96,Julius Kozma,2547,30y11m,(#576 all-time among players aged 30y11m)
#97,Tibor Flórián,2546,41y2m,(#344 all-time among players aged 41y2m)
#98,Erich Eliskases,2545,47y3m,(#198 all-time among players aged 47y3m)
#99,Julio Bolbochán,2544,40y2m,(#374 all-time among players aged 40y2m)
#100,Michael Haygarth,2544,,
