,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: July 1955 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Vassily Smyslov,2797,34y4m,(#5 all-time among players aged 34y4m)
#2,Paul Keres,2773,39y6m,(#5 all-time among players aged 39y6m)
#3,Samuel Reshevsky,2768,43y8m,(#7 all-time among players aged 43y8m)
#4,Mikhail Botvinnik,2764,43y11m,(#6 all-time among players aged 43y11m)
#5,Tigran Petrosian,2757,26y1m,(#14 all-time among players aged 26y1m)
#6,David Bronstein,2750,31y5m,(#21 all-time among players aged 31y5m)
#7,Mark Taimanov,2729,29y5m,(#33 all-time among players aged 29y5m)
#8,Miguel Najdorf,2726,45y3m,(#15 all-time among players aged 45y3m)
#9,Boris Spassky,2722,18y6m,(#5 all-time among players aged 18y6m)
#10,Efim Geller,2718,30y4m,(#41 all-time among players aged 30y4m)
#11,Alexander Kotov,2707,41y11m,(#32 all-time among players aged 41y11m)
#12,László Szabó,2699,38y4m,(#43 all-time among players aged 38y4m)
#13,Isaak Boleslavsky,2695,36y1m,(#55 all-time among players aged 36y1m)
#14,Svetozar Gligoric,2694,32y5m,(#75 all-time among players aged 32y5m)
#15,Julio Bolbochán,2693,35y4m,(#63 all-time among players aged 35y4m)
#16,Yury Averbakh,2681,33y5m,(#81 all-time among players aged 33y5m)
#17,Wolfgang Unzicker,2679,30y1m,(#94 all-time among players aged 30y1m)
#18,Aleksandar Matanovic,2677,25y2m,(#73 all-time among players aged 25y2m)
#19,Ludek Pachmann,2676,31y2m,(#101 all-time among players aged 31y2m)
#20,Viktor Korchnoi,2670,24y4m,(#71 all-time among players aged 24y4m)
#21,Borislav Ivkov,2669,21y8m,(#50 all-time among players aged 21y8m)
#22,Andrija Fuderer,2662,24y2m,(#82 all-time among players aged 24y2m)
#23,Lev Aronin,2657,35y0m,(#116 all-time among players aged 35y0m)
#24,Semen Furman,2656,34y7m,(#111 all-time among players aged 34y7m)
#25,Ratmir Kholmov,2654,30y2m,(#133 all-time among players aged 30y2m)
#26,Pal Benko,2653,27y0m,(#123 all-time among players aged 27y0m)
#27,Miroslav Filip,2648,26y9m,(#134 all-time among players aged 26y9m)
#28,Alexander Tolush,2646,45y2m,(#58 all-time among players aged 45y2m)
#29,Larry Evans,2644,23y4m,(#103 all-time among players aged 23y4m)
#30,Oscar Panno,2643,20y4m,(#47 all-time among players aged 20y4m)
#31,Miklos Bely,2642,41y11m,(#101 all-time among players aged 41y11m)
#32,Gedeon Barcza,2640,43y11m,(#75 all-time among players aged 43y11m)
#33,Herman Pilnik,2640,41y6m,(#105 all-time among players aged 41y6m)
#34,Anatoly Lutikov,2639,22y5m,(#94 all-time among players aged 22y5m)
#35,Erich Eliskases,2638,42y5m,(#98 all-time among players aged 42y5m)
#36,Max Euwe,2636,54y2m,(#25 all-time among players aged 54y2m)
#37,Rashid Nezhmetdinov,2633,42y7m,(#102 all-time among players aged 42y7m)
#38,Vladas Mikenas,2632,45y3m,(#66 all-time among players aged 45y3m)
#39,Petar Trifunovic,2631,44y11m,(#75 all-time among players aged 44y11m)
#40,István Bilek,2627,22y11m,(#122 all-time among players aged 22y11m)
#41,Albéric O'Kelly de Galway,2627,44y2m,(#95 all-time among players aged 44y2m)
#42,Braslav Rabar,2625,35y10m,(#171 all-time among players aged 35y10m)
#43,Georgy Lisitsin,2623,45y9m,(#80 all-time among players aged 45y9m)
#44,Gideon Ståhlberg,2622,47y6m,(#68 all-time among players aged 47y6m)
#45,Vladimir Antoshin,2619,26y2m,(#199 all-time among players aged 26y2m)
#46,Evgeny Vasiukov,2619,22y4m,(#130 all-time among players aged 22y4m)
#47,Georgy Ilivitsky,2619,34y3m,(#205 all-time among players aged 34y3m)
#48,Oleg Moiseev,2617,30y2m,(#237 all-time among players aged 30y2m)
#49,Arthur Bisguier,2616,25y9m,(#202 all-time among players aged 25y9m)
#50,Vasja Pirc,2616,47y7m,(#67 all-time among players aged 47y7m)
#51,Lothar Schmid,2612,27y2m,(#240 all-time among players aged 27y2m)
#52,Alexey Suetin,2611,28y8m,(#251 all-time among players aged 28y8m)
#53,Salo Flohr,2609,46y8m,(#95 all-time among players aged 46y8m)
