,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: March 1974 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Bobby Fischer,2821,31y0m,(#4 all-time among players aged 31y0m)
#2,Anatoly Karpov,2785,22y10m,(#4 all-time among players aged 22y10m)
#3,Viktor Korchnoi,2757,43y0m,(#11 all-time among players aged 43y0m)
#4,Lajos Portisch,2747,36y11m,(#17 all-time among players aged 36y11m)
#5,Mikhail Tal,2746,37y4m,(#19 all-time among players aged 37y4m)
#6,Lev Polugaevsky,2741,39y4m,(#16 all-time among players aged 39y4m)
#7,Tigran Petrosian,2738,44y9m,(#11 all-time among players aged 44y9m)
#8,Boris Spassky,2731,37y2m,(#27 all-time among players aged 37y2m)
#9,Efim Geller,2722,49y0m,(#10 all-time among players aged 49y0m)
#10,Bent Larsen,2719,39y0m,(#25 all-time among players aged 39y0m)
#11,Robert Hübner,2717,25y4m,(#36 all-time among players aged 25y4m)
#12,Robert Byrne,2717,45y11m,(#18 all-time among players aged 45y11m)
#13,Vlastimil Hort,2704,30y2m,(#53 all-time among players aged 30y2m)
#14,Henrique Mecking,2703,22y2m,(#30 all-time among players aged 22y2m)
#15,Gennady Kuzmin,2701,28y2m,(#59 all-time among players aged 28y2m)
#16,Jan Smejkal,2700,28y0m,(#57 all-time among players aged 28y0m)
#17,Vassily Smyslov,2695,53y0m,(#14 all-time among players aged 53y0m)
#18,Lubomir Kavalek,2691,30y7m,(#76 all-time among players aged 30y7m)
#19,Semen Furman,2687,53y3m,(#18 all-time among players aged 53y3m)
#20,Svetozar Gligoric,2686,51y1m,(#20 all-time among players aged 51y1m)
#21,Vladimir Savon,2685,33y6m,(#73 all-time among players aged 33y6m)
#22,Ljubomir Ljubojevic,2683,23y4m,(#53 all-time among players aged 23y4m)
#23,Paul Keres,2673,58y2m,(#10 all-time among players aged 58y2m)
#24,László Szabó,2670,57y0m,(#10 all-time among players aged 57y0m)
#25,Evgeny Vasiukov,2666,41y0m,(#66 all-time among players aged 41y0m)
#26,Yury Averbakh,2665,52y1m,(#27 all-time among players aged 52y1m)
#27,David Bronstein,2664,50y1m,(#26 all-time among players aged 50y1m)
#28,Vladimir Tukmakov,2663,28y0m,(#112 all-time among players aged 28y0m)
#29,Nikolay Krogius,2658,43y8m,(#53 all-time among players aged 43y8m)
#30,Yury Balashov,2656,25y0m,(#109 all-time among players aged 25y0m)
#31,Wolfgang Uhlmann,2652,39y0m,(#89 all-time among players aged 39y0m)
#32,Borislav Ivkov,2650,40y4m,(#90 all-time among players aged 40y4m)
#33,Mark Taimanov,2649,48y1m,(#38 all-time among players aged 48y1m)
#34,Rafael Vaganian,2648,22y5m,(#81 all-time among players aged 22y5m)
#35,Oleg Romanishin,2648,22y2m,(#75 all-time among players aged 22y2m)
#36,Oscar Panno,2647,39y0m,(#101 all-time among players aged 39y0m)
#37,Walter Browne,2646,25y2m,(#123 all-time among players aged 25y2m)
#38,Zoltán Ribli,2645,22y6m,(#92 all-time among players aged 22y6m)
#39,Ulf Andersson,2645,22y9m,(#95 all-time among players aged 22y9m)
#40,Florin Gheorghiu,2645,29y11m,(#155 all-time among players aged 29y11m)
#41,Anatoly Lein,2642,43y0m,(#81 all-time among players aged 43y0m)
#42,Anatoly Lutikov,2640,41y1m,(#107 all-time among players aged 41y1m)
#43,Albin Planinc,2640,29y11m,(#163 all-time among players aged 29y11m)
#44,István Csom,2639,33y9m,(#156 all-time among players aged 33y9m)
#45,Fridrik Olafsson,2632,39y2m,(#128 all-time among players aged 39y2m)
#46,Aivars Gipslis,2630,37y1m,(#146 all-time among players aged 37y1m)
#47,Samuel Reshevsky,2627,62y4m,(#7 all-time among players aged 62y4m)
#48,Mark Dvoretsky,2625,26y3m,(#181 all-time among players aged 26y3m)
#49,Ratmir Kholmov,2624,48y10m,(#52 all-time among players aged 48y10m)
#50,Roman Dzindzichashvili,2623,29y10m,(#223 all-time among players aged 29y10m)
#51,Karen Grigorian,2623,26y6m,(#195 all-time among players aged 26y6m)
#52,Alexey Suetin,2621,47y4m,(#69 all-time among players aged 47y4m)
#53,Wolfgang Unzicker,2620,48y9m,(#61 all-time among players aged 48y9m)
#54,Viktor Kupreichik,2619,24y8m,(#182 all-time among players aged 24y8m)
#55,Burkhard Malich,2619,37y4m,(#174 all-time among players aged 37y4m)
#56,John Grefe,2618,26y6m,(#207 all-time among players aged 26y6m)
#57,Lothar Schmid,2618,45y10m,(#86 all-time among players aged 45y10m)
#58,Norman Weinstein,2617,23y5m,(#154 all-time among players aged 23y5m)
#59,Yury Razuvaev,2613,28y5m,(#247 all-time among players aged 28y5m)
#60,Pal Benko,2612,45y8m,(#102 all-time among players aged 45y8m)
#61,Milan Matulovic,2611,38y9m,(#166 all-time among players aged 38y9m)
#62,Jan Timman,2611,22y3m,(#147 all-time among players aged 22y3m)
#63,Dragoljub Velimirovic,2611,31y10m,(#265 all-time among players aged 31y10m)
#64,Hans-Joachim Hecht,2610,35y2m,(#216 all-time among players aged 35y2m)
#65,Miguel Najdorf,2607,63y11m,(#10 all-time among players aged 63y11m)
#66,Mikhail Podgaets,2606,26y8m,(#254 all-time among players aged 26y8m)
#67,István Bilek,2606,41y7m,(#164 all-time among players aged 41y7m)
#68,Johannes Donner,2605,46y8m,(#99 all-time among players aged 46y8m)
#69,Bruno Parma,2605,32y3m,(#288 all-time among players aged 32y3m)
#70,Vladimir Antoshin,2603,44y10m,(#124 all-time among players aged 44y10m)
#71,András Adorján,2602,24y0m,(#211 all-time among players aged 24y0m)
#72,Jesús Díez del Corral,2602,40y11m,(#179 all-time among players aged 40y11m)
#73,Vladimir Liberzon,2601,37y0m,(#227 all-time among players aged 37y0m)
#74,Helmut Pfleger,2601,30y7m,(#307 all-time among players aged 30y7m)
#75,Rainer Knaak,2599,21y0m,(#119 all-time among players aged 21y0m)
#76,Ivan Radulov,2599,35y2m,(#260 all-time among players aged 35y2m)
#77,Dražen Marovic,2599,36y2m,(#244 all-time among players aged 36y2m)
#78,Gyula Sax,2598,22y9m,(#185 all-time among players aged 22y9m)
#79,Anatoly Kudriashov,2598,31y11m,(#313 all-time among players aged 31y11m)
#80,Alexander Beliavsky,2596,20y3m,(#98 all-time among players aged 20y3m)
#81,Albert Kapengut,2593,29y8m,(#337 all-time among players aged 29y8m)
#82,Vlastimil Jansa,2593,31y4m,(#337 all-time among players aged 31y4m)
#83,Gyözö Forintos,2592,38y8m,(#228 all-time among players aged 38y8m)
#84,Miroslav Filip,2592,45y5m,(#134 all-time among players aged 45y5m)
#85,Miguel Quinteros,2592,26y3m,(#304 all-time among players aged 26y3m)
#86,Aleksandar Matanovic,2592,43y10m,(#159 all-time among players aged 43y10m)
#87,Vladimir Bagirov,2591,37y7m,(#243 all-time among players aged 37y7m)
#88,Yacov Estrin,2590,50y11m,(#76 all-time among players aged 50y11m)
#89,Mikhail Shereshevsky,2589,23y11m,(#267 all-time among players aged 23y11m)
#90,Janis Klovans,2589,38y11m,(#235 all-time among players aged 38y11m)
#91,William Lombardy,2588,36y3m,(#275 all-time among players aged 36y3m)
#92,Wlodzimierz Schmidt,2588,30y11m,(#357 all-time among players aged 30y11m)
#93,Vitaly Tseshkovsky,2587,29y6m,(#369 all-time among players aged 29y6m)
#94,Iivo Nei,2587,42y5m,(#187 all-time among players aged 42y5m)
