,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: August 1971 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Bobby Fischer,2895,28y5m,(#1 all-time among players aged 28y5m)
#2,Boris Spassky,2764,34y7m,(#12 all-time among players aged 34y7m)
#3,Viktor Korchnoi,2749,40y5m,(#14 all-time among players aged 40y5m)
#4,Lev Polugaevsky,2743,36y9m,(#23 all-time among players aged 36y9m)
#5,Bent Larsen,2742,36y5m,(#25 all-time among players aged 36y5m)
#6,Tigran Petrosian,2738,42y2m,(#17 all-time among players aged 42y2m)
#7,Paul Keres,2737,55y7m,(#3 all-time among players aged 55y7m)
#8,Lajos Portisch,2732,34y4m,(#28 all-time among players aged 34y4m)
#9,Leonid Stein,2731,36y9m,(#28 all-time among players aged 36y9m)
#10,Vlastimil Hort,2724,27y7m,(#39 all-time among players aged 27y7m)
#11,Vassily Smyslov,2721,50y5m,(#12 all-time among players aged 50y5m)
#12,Mark Taimanov,2720,45y6m,(#19 all-time among players aged 45y6m)
#13,Efim Geller,2717,46y5m,(#19 all-time among players aged 46y5m)
#14,Mikhail Tal,2705,34y9m,(#50 all-time among players aged 34y9m)
#15,Robert Hübner,2703,22y9m,(#34 all-time among players aged 22y9m)
#16,Svetozar Gligoric,2698,48y6m,(#17 all-time among players aged 48y6m)
#17,David Bronstein,2692,47y6m,(#20 all-time among players aged 47y6m)
#18,Vladimir Savon,2689,30y11m,(#79 all-time among players aged 30y11m)
#19,Alexey Suetin,2688,44y9m,(#31 all-time among players aged 44y9m)
#20,Wolfgang Uhlmann,2688,36y5m,(#60 all-time among players aged 36y5m)
#21,Anatoly Karpov,2684,20y3m,(#21 all-time among players aged 20y3m)
#22,Jan Smejkal,2681,25y5m,(#64 all-time among players aged 25y5m)
#23,Mikhail Botvinnik,2678,60y0m,(#4 all-time among players aged 60y0m)
#24,Borislav Ivkov,2669,37y9m,(#73 all-time among players aged 37y9m)
#25,Oscar Panno,2663,36y5m,(#88 all-time among players aged 36y5m)
#26,Gennady Kuzmin,2660,25y7m,(#109 all-time among players aged 25y7m)
#27,Aivars Gipslis,2660,34y6m,(#113 all-time among players aged 34y6m)
#28,Evgeny Vasiukov,2656,38y5m,(#89 all-time among players aged 38y5m)
