,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: October 1971 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Bobby Fischer,2895,28y7m,(#1 all-time among players aged 28y7m)
#2,Boris Spassky,2756,34y9m,(#15 all-time among players aged 34y9m)
#3,Viktor Korchnoi,2751,40y7m,(#11 all-time among players aged 40y7m)
#4,Bent Larsen,2738,36y7m,(#25 all-time among players aged 36y7m)
#5,Tigran Petrosian,2735,42y4m,(#19 all-time among players aged 42y4m)
#6,Leonid Stein,2733,36y11m,(#27 all-time among players aged 36y11m)
#7,Paul Keres,2733,55y9m,(#3 all-time among players aged 55y9m)
#8,Lajos Portisch,2730,34y6m,(#31 all-time among players aged 34y6m)
#9,Lev Polugaevsky,2725,36y11m,(#33 all-time among players aged 36y11m)
#10,Vlastimil Hort,2721,27y9m,(#40 all-time among players aged 27y9m)
#11,Vassily Smyslov,2721,50y7m,(#9 all-time among players aged 50y7m)
#12,Mikhail Tal,2720,34y11m,(#35 all-time among players aged 34y11m)
#13,Efim Geller,2715,46y7m,(#17 all-time among players aged 46y7m)
#14,Mark Taimanov,2712,45y8m,(#21 all-time among players aged 45y8m)
#15,Vladimir Savon,2710,31y1m,(#47 all-time among players aged 31y1m)
#16,Robert Hübner,2706,22y11m,(#31 all-time among players aged 22y11m)
#17,Svetozar Gligoric,2697,48y8m,(#17 all-time among players aged 48y8m)
#18,David Bronstein,2695,47y8m,(#20 all-time among players aged 47y8m)
#19,Anatoly Karpov,2687,20y5m,(#22 all-time among players aged 20y5m)
#20,Wolfgang Uhlmann,2684,36y7m,(#65 all-time among players aged 36y7m)
#21,Jan Smejkal,2683,25y7m,(#67 all-time among players aged 25y7m)
#22,Alexey Suetin,2672,44y11m,(#40 all-time among players aged 44y11m)
#23,Mikhail Botvinnik,2671,60y2m,(#5 all-time among players aged 60y2m)
#24,Borislav Ivkov,2670,37y11m,(#72 all-time among players aged 37y11m)
#25,Gennady Kuzmin,2666,25y9m,(#91 all-time among players aged 25y9m)
#26,Aivars Gipslis,2660,34y8m,(#110 all-time among players aged 34y8m)
#27,Oscar Panno,2659,36y7m,(#92 all-time among players aged 36y7m)
#28,Nikolay Krogius,2655,41y3m,(#78 all-time among players aged 41y3m)
#29,Henrique Mecking,2654,19y9m,(#32 all-time among players aged 19y9m)
#30,Evgeny Vasiukov,2653,38y7m,(#92 all-time among players aged 38y7m)
#31,Yury Balashov,2649,22y7m,(#84 all-time among players aged 22y7m)
#32,Fridrik Olafsson,2649,36y9m,(#103 all-time among players aged 36y9m)
#33,Florin Gheorghiu,2647,27y6m,(#139 all-time among players aged 27y6m)
#34,Samuel Reshevsky,2642,59y11m,(#8 all-time among players aged 59y11m)
#35,Lubomir Kavalek,2639,28y2m,(#168 all-time among players aged 28y2m)
#36,Vladimir Tukmakov,2639,25y7m,(#137 all-time among players aged 25y7m)
#37,Lothar Schmid,2637,43y5m,(#84 all-time among players aged 43y5m)
#38,Miguel Najdorf,2637,61y6m,(#6 all-time among players aged 61y6m)
#39,Pal Benko,2636,43y3m,(#86 all-time among players aged 43y3m)
#40,Vladimir Liberzon,2634,34y7m,(#166 all-time among players aged 34y7m)
#41,Ratmir Kholmov,2632,46y5m,(#62 all-time among players aged 46y5m)
#42,Milan Matulovic,2631,36y4m,(#156 all-time among players aged 36y4m)
#43,Alexander Zaitsev Jr,2629,36y4m,(#160 all-time among players aged 36y4m)
#44,Helmut Pfleger,2625,28y2m,(#197 all-time among players aged 28y2m)
#45,Klaus Darga,2625,37y8m,(#148 all-time among players aged 37y8m)
#46,Yury Averbakh,2623,49y8m,(#49 all-time among players aged 49y8m)
#47,Eduard Gufeld,2623,35y7m,(#190 all-time among players aged 35y7m)
