,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: February 1972 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Bobby Fischer,2894,28y11m,(#1 all-time among players aged 28y11m)
#2,Boris Spassky,2750,35y1m,(#15 all-time among players aged 35y1m)
#3,Viktor Korchnoi,2746,40y11m,(#15 all-time among players aged 40y11m)
#4,Lev Polugaevsky,2743,37y3m,(#19 all-time among players aged 37y3m)
#5,Leonid Stein,2740,37y3m,(#21 all-time among players aged 37y3m)
#6,Tigran Petrosian,2738,42y8m,(#17 all-time among players aged 42y8m)
#7,Anatoly Karpov,2736,20y9m,(#9 all-time among players aged 20y9m)
#8,Lajos Portisch,2733,34y10m,(#27 all-time among players aged 34y10m)
#9,Paul Keres,2730,56y1m,(#5 all-time among players aged 56y1m)
#10,Vassily Smyslov,2727,50y11m,(#9 all-time among players aged 50y11m)
#11,Bent Larsen,2725,36y11m,(#32 all-time among players aged 36y11m)
#12,Mikhail Tal,2723,35y3m,(#34 all-time among players aged 35y3m)
#13,Vlastimil Hort,2713,28y1m,(#44 all-time among players aged 28y1m)
#14,Vladimir Savon,2707,31y5m,(#58 all-time among players aged 31y5m)
#15,Robert Hübner,2705,23y3m,(#34 all-time among players aged 23y3m)
#16,Mark Taimanov,2699,46y0m,(#29 all-time among players aged 46y0m)
#17,David Bronstein,2693,48y0m,(#20 all-time among players aged 48y0m)
#18,Efim Geller,2690,46y11m,(#28 all-time among players aged 46y11m)
#19,Svetozar Gligoric,2681,49y0m,(#22 all-time among players aged 49y0m)
#20,Oscar Panno,2679,36y11m,(#67 all-time among players aged 36y11m)
#21,Jan Smejkal,2675,25y11m,(#80 all-time among players aged 25y11m)
#22,Henrique Mecking,2670,20y1m,(#24 all-time among players aged 20y1m)
#23,Borislav Ivkov,2669,38y3m,(#70 all-time among players aged 38y3m)
#24,Wolfgang Uhlmann,2668,36y11m,(#81 all-time among players aged 36y11m)
#25,Gennady Kuzmin,2666,26y1m,(#100 all-time among players aged 26y1m)
#26,Vladimir Tukmakov,2660,25y11m,(#111 all-time among players aged 25y11m)
#27,Aivars Gipslis,2658,35y0m,(#115 all-time among players aged 35y0m)
#28,Alexey Suetin,2657,45y3m,(#51 all-time among players aged 45y3m)
#29,Mikhail Botvinnik,2655,60y6m,(#7 all-time among players aged 60y6m)
#30,Evgeny Vasiukov,2655,38y11m,(#86 all-time among players aged 38y11m)
#31,Samuel Reshevsky,2652,60y3m,(#7 all-time among players aged 60y3m)
#32,Yury Balashov,2651,22y11m,(#85 all-time among players aged 22y11m)
#33,Fridrik Olafsson,2647,37y1m,(#100 all-time among players aged 37y1m)
#34,Florin Gheorghiu,2647,27y10m,(#140 all-time among players aged 27y10m)
#35,Robert Byrne,2645,43y10m,(#69 all-time among players aged 43y10m)
#36,Nikolay Krogius,2645,41y7m,(#97 all-time among players aged 41y7m)
#37,Miguel Najdorf,2640,61y10m,(#5 all-time among players aged 61y10m)
