,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: September 1973 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Bobby Fischer,2838,30y6m,(#3 all-time among players aged 30y6m)
#2,Anatoly Karpov,2779,22y4m,(#5 all-time among players aged 22y4m)
#3,Viktor Korchnoi,2753,42y6m,(#12 all-time among players aged 42y6m)
#4,Lajos Portisch,2751,36y5m,(#18 all-time among players aged 36y5m)
#5,Mikhail Tal,2750,36y10m,(#15 all-time among players aged 36y10m)
#6,Lev Polugaevsky,2742,38y10m,(#17 all-time among players aged 38y10m)
#7,Tigran Petrosian,2734,44y3m,(#16 all-time among players aged 44y3m)
#8,Robert Hübner,2725,24y10m,(#29 all-time among players aged 24y10m)
#9,Efim Geller,2720,48y6m,(#13 all-time among players aged 48y6m)
#10,Boris Spassky,2719,36y8m,(#35 all-time among players aged 36y8m)
#11,Bent Larsen,2718,38y6m,(#27 all-time among players aged 38y6m)
#12,Robert Byrne,2713,45y5m,(#22 all-time among players aged 45y5m)
#13,Vassily Smyslov,2707,52y6m,(#13 all-time among players aged 52y6m)
#14,Vlastimil Hort,2704,29y8m,(#54 all-time among players aged 29y8m)
#15,Jan Smejkal,2702,27y6m,(#60 all-time among players aged 27y6m)
#16,Vladimir Savon,2700,33y0m,(#57 all-time among players aged 33y0m)
#17,Henrique Mecking,2695,21y8m,(#32 all-time among players aged 21y8m)
#18,Paul Keres,2693,57y8m,(#6 all-time among players aged 57y8m)
#19,Svetozar Gligoric,2688,50y7m,(#18 all-time among players aged 50y7m)
#20,Gennady Kuzmin,2680,27y8m,(#84 all-time among players aged 27y8m)
#21,Ljubomir Ljubojevic,2672,22y10m,(#60 all-time among players aged 22y10m)
#22,David Bronstein,2672,49y7m,(#24 all-time among players aged 49y7m)
#23,Evgeny Vasiukov,2670,40y6m,(#59 all-time among players aged 40y6m)
#24,Oscar Panno,2670,38y6m,(#66 all-time among players aged 38y6m)
#25,Lubomir Kavalek,2669,30y1m,(#106 all-time among players aged 30y1m)
#26,László Szabó,2668,56y6m,(#11 all-time among players aged 56y6m)
#27,Yury Balashov,2668,24y6m,(#77 all-time among players aged 24y6m)
#28,Yury Averbakh,2666,51y7m,(#27 all-time among players aged 51y7m)
#29,Semen Furman,2661,52y9m,(#29 all-time among players aged 52y9m)
#30,Borislav Ivkov,2661,39y10m,(#72 all-time among players aged 39y10m)
#31,Mark Taimanov,2658,47y7m,(#39 all-time among players aged 47y7m)
#32,Wolfgang Uhlmann,2649,38y6m,(#99 all-time among players aged 38y6m)
#33,Vladimir Tukmakov,2649,27y6m,(#136 all-time among players aged 27y6m)
#34,Florin Gheorghiu,2646,29y5m,(#152 all-time among players aged 29y5m)
#35,Aivars Gipslis,2645,36y7m,(#123 all-time among players aged 36y7m)
#36,Zoltán Ribli,2644,22y0m,(#79 all-time among players aged 22y0m)
#37,Anatoly Lein,2643,42y6m,(#85 all-time among players aged 42y6m)
