,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: November 1981 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Anatoly Karpov,2816,30y6m,(#4 all-time among players aged 30y6m)
#2,Viktor Korchnoi,2767,50y8m,(#4 all-time among players aged 50y8m)
#3,Garry Kasparov,2764,18y7m,(#2 all-time among players aged 18y7m)
#4,Jan Timman,2746,29y11m,(#20 all-time among players aged 29y11m)
#5,Lajos Portisch,2741,44y7m,(#10 all-time among players aged 44y7m)
#6,Alexander Beliavsky,2739,27y11m,(#28 all-time among players aged 27y11m)
#7,Mikhail Tal,2723,45y0m,(#20 all-time among players aged 45y0m)
#8,Ulf Andersson,2719,30y5m,(#39 all-time among players aged 30y5m)
#9,Boris Spassky,2716,44y10m,(#21 all-time among players aged 44y10m)
#10,Tigran Petrosian,2714,52y5m,(#7 all-time among players aged 52y5m)
#11,Sergey Dolmatov,2713,22y9m,(#28 all-time among players aged 22y9m)
#12,Lev Polugaevsky,2713,47y0m,(#16 all-time among players aged 47y0m)
#13,Bent Larsen,2704,46y8m,(#21 all-time among players aged 46y8m)
#14,Oleg Romanishin,2704,29y10m,(#52 all-time among players aged 29y10m)
#15,Robert Hübner,2703,33y0m,(#55 all-time among players aged 33y0m)
#16,Yury Balashov,2699,32y8m,(#64 all-time among players aged 32y8m)
#17,Boris Gulko,2695,34y9m,(#65 all-time among players aged 34y9m)
#18,Vitaly Tseshkovsky,2694,37y2m,(#49 all-time among players aged 37y2m)
#19,Vlastimil Hort,2693,37y10m,(#49 all-time among players aged 37y10m)
#20,Ljubomir Ljubojevic,2693,31y0m,(#71 all-time among players aged 31y0m)
#21,Zoltán Ribli,2692,30y2m,(#72 all-time among players aged 30y2m)
#22,Artur Jussupow,2685,21y9m,(#39 all-time among players aged 21y9m)
#23,Vassily Smyslov,2681,60y8m,(#4 all-time among players aged 60y8m)
#24,Gyula Sax,2677,30y5m,(#100 all-time among players aged 30y5m)
#25,Lubomir Kavalek,2676,38y3m,(#60 all-time among players aged 38y3m)
#26,Gennadi Sosonko,2676,38y6m,(#61 all-time among players aged 38y6m)
#27,Sergey Makarichev,2674,28y0m,(#96 all-time among players aged 28y0m)
#28,Viktor Kupreichik,2670,32y4m,(#103 all-time among players aged 32y4m)
#29,Yasser Seirawan,2669,21y8m,(#49 all-time among players aged 21y8m)
#30,Florin Gheorghiu,2669,37y7m,(#75 all-time among players aged 37y7m)
#31,Larry Christiansen,2666,25y5m,(#95 all-time among players aged 25y5m)
#32,Evgeny Sveshnikov,2665,31y9m,(#118 all-time among players aged 31y9m)
#33,Rafael Vaganian,2664,30y1m,(#115 all-time among players aged 30y1m)
#34,Anthony Miles,2663,26y7m,(#105 all-time among players aged 26y7m)
#35,Gennady Kuzmin,2663,35y10m,(#92 all-time among players aged 35y10m)
#36,Efim Geller,2661,56y8m,(#11 all-time among players aged 56y8m)
#37,Jan Smejkal,2658,35y8m,(#98 all-time among players aged 35y8m)
#38,Lev Psakhis,2657,23y0m,(#83 all-time among players aged 23y0m)
#39,Walter Browne,2655,32y10m,(#128 all-time among players aged 32y10m)
#40,Evgeny Vasiukov,2652,48y8m,(#35 all-time among players aged 48y8m)
#41,Lubomír Ftácnik,2650,24y1m,(#102 all-time among players aged 24y1m)
#42,John Nunn,2649,26y7m,(#132 all-time among players aged 26y7m)
#43,Adrian Mikhalchishin,2649,27y0m,(#130 all-time among players aged 27y0m)
#44,Nukhim Rashkovsky,2645,35y7m,(#133 all-time among players aged 35y7m)
#45,Konstantin Lerner,2643,31y9m,(#154 all-time among players aged 31y9m)
#46,Tamaz Georgadze,2640,,
#47,Iosif Dorfman,2631,29y6m,(#200 all-time among players aged 29y6m)
#48,Jonathan Speelman,2630,25y1m,(#160 all-time among players aged 25y1m)
