,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: December 1995 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2835,32y8m,(#3 all-time among players aged 32y8m)
#2,Anatoly Karpov,2814,44y7m,(#1 all-time among players aged 44y7m)
#3,Viswanathan Anand,2801,26y0m,(#6 all-time among players aged 26y0m)
#4,Vladimir Kramnik,2789,20y6m,(#2 all-time among players aged 20y6m)
#5,Vassily Ivanchuk,2785,26y9m,(#9 all-time among players aged 26y9m)
#6,Gata Kamsky,2775,21y6m,(#4 all-time among players aged 21y6m)
#7,Alexei Shirov,2740,23y5m,(#15 all-time among players aged 23y5m)
#8,Valery Salov,2737,31y7m,(#28 all-time among players aged 31y7m)
#9,Boris Gelfand,2727,27y6m,(#38 all-time among players aged 27y6m)
#10,Veselin Topalov,2716,20y9m,(#13 all-time among players aged 20y9m)
#11,Alexey Dreev,2712,26y11m,(#48 all-time among players aged 26y11m)
#12,Evgeny Bareev,2712,29y1m,(#45 all-time among players aged 29y1m)
#13,Judit Polgar,2710,19y5m,(#10 all-time among players aged 19y5m)
#14,Ivan Sokolov,2701,27y6m,(#62 all-time among players aged 27y6m)
#15,Alexander Khalifman,2694,29y11m,(#70 all-time among players aged 29y11m)
#16,Michael Adams,2693,24y1m,(#48 all-time among players aged 24y1m)
#17,Vladimir Epishin,2691,30y5m,(#80 all-time among players aged 30y5m)
#18,Predrag Nikolic,2687,35y3m,(#68 all-time among players aged 35y3m)
#19,Viktor Korchnoi,2686,64y9m,(#1 all-time among players aged 64y9m)
#20,Artur Jussupow,2685,35y10m,(#68 all-time among players aged 35y10m)
#21,Jaan Ehlvest,2685,33y2m,(#75 all-time among players aged 33y2m)
#22,Peter Svidler,2685,19y6m,(#14 all-time among players aged 19y6m)
#23,Nigel Short,2679,30y6m,(#96 all-time among players aged 30y6m)
#24,Joel Lautier,2677,22y8m,(#51 all-time among players aged 22y8m)
#25,Sergei Tiviakov,2677,22y10m,(#56 all-time among players aged 22y10m)
#26,Jonathan Speelman,2674,39y2m,(#58 all-time among players aged 39y2m)
#27,Lembit Oll,2674,29y8m,(#99 all-time among players aged 29y8m)
#28,Yasser Seirawan,2673,35y9m,(#80 all-time among players aged 35y9m)
#29,Vladimir Akopian,2669,24y0m,(#75 all-time among players aged 24y0m)
#30,Sergei Rublevsky,2669,21y2m,(#48 all-time among players aged 21y2m)
#31,Ilia Smirin,2666,27y11m,(#109 all-time among players aged 27y11m)
#32,Alexander Beliavsky,2665,42y0m,(#59 all-time among players aged 42y0m)
#33,Leonid Yudasin,2664,36y4m,(#87 all-time among players aged 36y4m)
#34,Alexander Morozevich,2663,18y5m,(#13 all-time among players aged 18y5m)
#35,Miguel Illescas Cordoba,2663,30y0m,(#116 all-time among players aged 30y0m)
#36,Ulf Andersson,2661,44y6m,(#50 all-time among players aged 44y6m)
#37,Michal Krasenkow,2659,32y1m,(#128 all-time among players aged 32y1m)
#38,Boris Gulko,2658,48y10m,(#31 all-time among players aged 48y10m)
#39,Vladimir Malaniuk,2657,38y5m,(#85 all-time among players aged 38y5m)
#40,Zoltan Almasi,2657,19y4m,(#23 all-time among players aged 19y4m)
#41,Alexander Chernin,2656,35y9m,(#106 all-time among players aged 35y9m)
#42,Kiril Georgiev,2655,30y1m,(#134 all-time among players aged 30y1m)
#43,Alexey Vyzmanavin,2655,35y11m,(#108 all-time among players aged 35y11m)
#44,Robert Hübner,2653,47y1m,(#45 all-time among players aged 47y1m)
#45,Vadim Zvjaginsev,2652,19y4m,(#26 all-time among players aged 19y4m)
#46,Igor Glek,2650,34y1m,(#127 all-time among players aged 34y1m)
#47,Vladimir Tukmakov,2649,49y9m,(#36 all-time among players aged 49y9m)
#48,Jan Timman,2649,44y0m,(#63 all-time among players aged 44y0m)
#49,Andrei Kharlov,2649,27y1m,(#135 all-time among players aged 27y1m)
#50,Yona Kosashvili,2649,25y5m,(#128 all-time among players aged 25y5m)
#51,Jeroen Piket,2647,26y11m,(#133 all-time among players aged 26y11m)
#52,Zbynek Hracek,2647,25y3m,(#124 all-time among players aged 25y3m)
#53,Lev Psakhis,2644,37y1m,(#108 all-time among players aged 37y1m)
#54,Anthony Miles,2643,40y8m,(#99 all-time among players aged 40y8m)
#55,Alexander Huzman,2642,33y8m,(#148 all-time among players aged 33y8m)
#56,Yury Razuvaev,2641,50y2m,(#38 all-time among players aged 50y2m)
#57,Curt Hansen,2640,31y3m,(#165 all-time among players aged 31y3m)
#58,Sergey Dolmatov,2637,36y10m,(#135 all-time among players aged 36y10m)
#59,Julian Hodgson,2637,32y5m,(#174 all-time among players aged 32y5m)
#60,Ferdinand Hellers,2636,26y11m,(#169 all-time among players aged 26y11m)
#61,Zurab Azmaiparashvili,2635,35y9m,(#152 all-time among players aged 35y9m)
#62,Oleg Romanishin,2633,43y11m,(#90 all-time among players aged 43y11m)
#63,Rafael Vaganian,2633,44y2m,(#83 all-time among players aged 44y2m)
#64,Eduardas Rozentalis,2632,32y7m,(#185 all-time among players aged 32y7m)
#65,Andrey Sokolov,2632,32y9m,(#185 all-time among players aged 32y9m)
#66,Julio Granda Zuñiga,2631,28y10m,(#187 all-time among players aged 28y10m)
#67,Vasilios Kotronias,2631,31y4m,(#193 all-time among players aged 31y4m)
#68,Peter Leko,2630,16y3m,(#7 all-time among players aged 16y3m)
#69,John Nunn,2630,40y8m,(#123 all-time among players aged 40y8m)
#70,Viacheslav Eingorn,2629,39y1m,(#130 all-time among players aged 39y1m)
#71,Zoltán Ribli,2629,44y3m,(#91 all-time among players aged 44y3m)
#72,Ljubomir Ljubojevic,2628,45y1m,(#78 all-time among players aged 45y1m)
#73,Utut Adianto,2628,30y9m,(#196 all-time among players aged 30y9m)
#74,Lubomír Ftácnik,2626,38y2m,(#140 all-time among players aged 38y2m)
#75,Giorgi Giorgadze,2626,31y2m,(#202 all-time among players aged 31y2m)
#76,Zdenko Kožul,2626,29y7m,(#210 all-time among players aged 29y7m)
#77,Stanislav Savchenko,2626,28y11m,(#206 all-time among players aged 28y11m)
#78,Yehuda Gruenfeld,2625,39y10m,(#130 all-time among players aged 39y10m)
#79,Igor Novikov,2625,33y7m,(#191 all-time among players aged 33y7m)
#80,Lajos Portisch,2624,58y8m,(#18 all-time among players aged 58y8m)
#81,Boris Alterman,2624,25y7m,(#177 all-time among players aged 25y7m)
#82,Evgeny Pigusov,2624,34y9m,(#199 all-time among players aged 34y9m)
#83,Evgeny Sveshnikov,2624,45y10m,(#77 all-time among players aged 45y10m)
#84,Jóhann Hjartarson,2623,32y10m,(#213 all-time among players aged 32y10m)
#85,Konstantin Sakaev,2623,21y8m,(#109 all-time among players aged 21y8m)
#86,Anatoli Vaisser,2622,46y9m,(#72 all-time among players aged 46y9m)
#87,Alex Yermolinsky,2622,37y8m,(#159 all-time among players aged 37y8m)
#88,Dimitri Komarov,2621,27y0m,(#216 all-time among players aged 27y0m)
#89,Andrey Kharitonov,2620,36y8m,(#175 all-time among players aged 36y8m)
#90,Iván Morovic Fernández,2620,32y9m,(#223 all-time among players aged 32y9m)
#91,Ashot Anastasian,2619,31y5m,(#230 all-time among players aged 31y5m)
#92,Vladislav Tkachiev,2617,22y1m,(#123 all-time among players aged 22y1m)
#93,Gregory Kaidanov,2617,36y2m,(#187 all-time among players aged 36y2m)
#94,Matthew Sadler,2616,21y7m,(#114 all-time among players aged 21y7m)
#95,Rustem Dautov,2616,30y1m,(#243 all-time among players aged 30y1m)
#96,Bogdan Lalic,2616,31y9m,(#240 all-time among players aged 31y9m)
#97,Alexander Onischuk,2615,20y3m,(#69 all-time among players aged 20y3m)
#98,Smbat Lputian,2615,37y10m,(#179 all-time among players aged 37y10m)
#99,Alon Greenfeld,2615,31y8m,(#245 all-time among players aged 31y8m)
#100,Victor Gavrikov,2615,38y5m,(#161 all-time among players aged 38y5m)
