,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: April 1984 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2847,21y0m,(#1 all-time among players aged 21y0m)
#2,Anatoly Karpov,2806,32y11m,(#5 all-time among players aged 32y11m)
#3,Rafael Vaganian,2747,32y6m,(#19 all-time among players aged 32y6m)
#4,Alexander Beliavsky,2739,30y4m,(#28 all-time among players aged 30y4m)
#5,Ulf Andersson,2735,32y10m,(#26 all-time among players aged 32y10m)
#6,Viktor Korchnoi,2735,53y1m,(#5 all-time among players aged 53y1m)
#7,Lajos Portisch,2734,47y0m,(#11 all-time among players aged 47y0m)
#8,Jan Timman,2733,32y4m,(#27 all-time among players aged 32y4m)
#9,Ljubomir Ljubojevic,2731,33y5m,(#26 all-time among players aged 33y5m)
#10,Vassily Smyslov,2725,63y1m,(#2 all-time among players aged 63y1m)
#11,Boris Spassky,2718,47y3m,(#14 all-time among players aged 47y3m)
#12,Lev Polugaevsky,2710,49y5m,(#14 all-time among players aged 49y5m)
#13,Mikhail Tal,2709,47y5m,(#16 all-time among players aged 47y5m)
#14,Zoltán Ribli,2708,32y7m,(#51 all-time among players aged 32y7m)
#15,Vlastimil Hort,2707,40y3m,(#36 all-time among players aged 40y3m)
#16,Artur Jussupow,2699,24y2m,(#42 all-time among players aged 24y2m)
#17,Tigran Petrosian,2698,54y10m,(#6 all-time among players aged 54y10m)
#18,Sergey Dolmatov,2697,25y2m,(#45 all-time among players aged 25y2m)
#19,Georgy Agzamov,2697,29y7m,(#65 all-time among players aged 29y7m)
#20,Lev Psakhis,2697,25y5m,(#49 all-time among players aged 25y5m)
#21,Anthony Miles,2696,29y0m,(#64 all-time among players aged 29y0m)
#22,Iosif Dorfman,2696,31y11m,(#70 all-time among players aged 31y11m)
#23,Oleg Romanishin,2696,32y3m,(#67 all-time among players aged 32y3m)
#24,Robert Hübner,2692,35y5m,(#61 all-time among players aged 35y5m)
#25,Smbat Lputian,2689,26y2m,(#61 all-time among players aged 26y2m)
#26,Predrag Nikolic,2688,23y7m,(#52 all-time among players aged 23y7m)
#27,John Nunn,2686,29y0m,(#80 all-time among players aged 29y0m)
#28,Lubomír Ftácnik,2683,26y6m,(#74 all-time among players aged 26y6m)
#29,Gennadi Sosonko,2682,40y11m,(#52 all-time among players aged 40y11m)
