,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: January 1986 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2842,22y9m,(#1 all-time among players aged 22y9m)
#2,Anatoly Karpov,2823,34y8m,(#3 all-time among players aged 34y8m)
#3,Rafael Vaganian,2759,34y3m,(#13 all-time among players aged 34y3m)
#4,Jan Timman,2751,34y1m,(#16 all-time among players aged 34y1m)
#5,Viktor Korchnoi,2750,54y10m,(#1 all-time among players aged 54y10m)
#6,Alexander Beliavsky,2746,32y1m,(#20 all-time among players aged 32y1m)
#7,Lajos Portisch,2737,48y9m,(#8 all-time among players aged 48y9m)
#8,Artur Jussupow,2731,25y11m,(#24 all-time among players aged 25y11m)
#9,Boris Spassky,2725,49y0m,(#9 all-time among players aged 49y0m)
#10,Robert Hübner,2721,37y2m,(#34 all-time among players aged 37y2m)
#11,Andrey Sokolov,2714,22y10m,(#28 all-time among players aged 22y10m)
#12,Ljubomir Ljubojevic,2714,35y2m,(#40 all-time among players aged 35y2m)
#13,Mikhail Tal,2708,49y2m,(#14 all-time among players aged 49y2m)
#14,Ulf Andersson,2707,34y7m,(#50 all-time among players aged 34y7m)
#15,Lev Polugaevsky,2701,51y2m,(#18 all-time among players aged 51y2m)
#16,Vladimir Tukmakov,2700,39y10m,(#38 all-time among players aged 39y10m)
#17,Zoltán Ribli,2699,34y4m,(#57 all-time among players aged 34y4m)
#18,John Nunn,2699,30y9m,(#59 all-time among players aged 30y9m)
#19,Anthony Miles,2698,30y9m,(#61 all-time among players aged 30y9m)
#20,Viacheslav Eingorn,2697,29y2m,(#62 all-time among players aged 29y2m)
#21,Smbat Lputian,2695,27y11m,(#72 all-time among players aged 27y11m)
#22,Alexander Chernin,2691,25y10m,(#57 all-time among players aged 25y10m)
#23,Evgeny Sveshnikov,2688,35y11m,(#63 all-time among players aged 35y11m)
#24,Georgy Agzamov,2686,31y4m,(#81 all-time among players aged 31y4m)
#25,Predrag Nikolic,2686,25y4m,(#61 all-time among players aged 25y4m)
#26,Yasser Seirawan,2685,25y10m,(#65 all-time among players aged 25y10m)
#27,Victor Gavrikov,2685,28y6m,(#79 all-time among players aged 28y6m)
#28,Lev Psakhis,2683,27y2m,(#80 all-time among players aged 27y2m)
#29,Konstantin Lerner,2683,35y11m,(#71 all-time among players aged 35y11m)
#30,Sergey Smagin,2683,27y4m,(#87 all-time among players aged 27y4m)
#31,Oleg Romanishin,2682,34y0m,(#74 all-time among players aged 34y0m)
#32,Mikhail Gurevich,2681,26y11m,(#80 all-time among players aged 26y11m)
#33,Vassily Smyslov,2676,64y10m,(#2 all-time among players aged 64y10m)
#34,Iosif Dorfman,2675,33y8m,(#82 all-time among players aged 33y8m)
#35,Nigel Short,2675,20y7m,(#28 all-time among players aged 20y7m)
#36,Sergey Dolmatov,2674,26y11m,(#91 all-time among players aged 26y11m)
#37,Bent Larsen,2672,50y10m,(#25 all-time among players aged 50y10m)
#38,Vladimir Malaniuk,2669,28y6m,(#101 all-time among players aged 28y6m)
#39,Larry Christiansen,2666,29y7m,(#117 all-time among players aged 29y7m)
#40,Yury Razuvaev,2665,40y3m,(#62 all-time among players aged 40y3m)
#41,Sergey Makarichev,2663,32y2m,(#119 all-time among players aged 32y2m)
#42,Arshak Petrosian,2663,32y1m,(#120 all-time among players aged 32y1m)
#43,József Pintér,2663,32y2m,(#120 all-time among players aged 32y2m)
#44,Lubomir Kavalek,2663,42y5m,(#65 all-time among players aged 42y5m)
#45,Vlastimil Hort,2662,42y0m,(#63 all-time among players aged 42y0m)
#46,Simen Agdestein,2661,18y8m,(#14 all-time among players aged 18y8m)
#47,Dragoljub Velimirovic,2657,43y8m,(#54 all-time among players aged 43y8m)
#48,Helgi Olafsson,2657,29y5m,(#129 all-time among players aged 29y5m)
#49,Roman Dzindzichashvili,2656,41y8m,(#76 all-time among players aged 41y8m)
#50,András Adorján,2655,35y10m,(#111 all-time among players aged 35y10m)
#51,Adrian Mikhalchishin,2654,31y2m,(#136 all-time among players aged 31y2m)
#52,Gyula Sax,2653,34y7m,(#120 all-time among players aged 34y7m)
#53,Gennady Zaichik,2652,28y11m,(#135 all-time among players aged 28y11m)
#54,Elizbar Ubilava,2650,35y5m,(#121 all-time among players aged 35y5m)
#55,Eugenio Torre,2650,34y2m,(#127 all-time among players aged 34y2m)
#56,Gennadi Sosonko,2650,42y8m,(#71 all-time among players aged 42y8m)
#57,John van der Wiel,2649,26y5m,(#129 all-time among players aged 26y5m)
#58,Boris Gulko,2649,38y11m,(#94 all-time among players aged 38y11m)
#59,Evgeny Bareev,2649,19y2m,(#23 all-time among players aged 19y2m)
#60,Valery Neverov,2649,21y7m,(#64 all-time among players aged 21y7m)
#61,Efim Geller,2648,60y10m,(#6 all-time among players aged 60y10m)
#62,Jonathan Mestel,2648,28y10m,(#144 all-time among players aged 28y10m)
#63,Lubomír Ftácnik,2648,28y3m,(#139 all-time among players aged 28y3m)
#64,Mihai Suba,2648,38y7m,(#99 all-time among players aged 38y7m)
#65,Semen Dvoiris,2647,27y2m,(#140 all-time among players aged 27y2m)
#66,Leonid Yudasin,2647,26y5m,(#138 all-time among players aged 26y5m)
#67,Yury Balashov,2647,36y10m,(#108 all-time among players aged 36y10m)
#68,Jonathan Speelman,2647,29y3m,(#148 all-time among players aged 29y3m)
#69,Alexander Khalifman,2646,20y0m,(#42 all-time among players aged 20y0m)
#70,Yury Dokhoian,2646,21y3m,(#59 all-time among players aged 21y3m)
#71,Petar Popovic,2644,26y11m,(#142 all-time among players aged 26y11m)
#72,Anatoli Vaisser,2641,36y10m,(#125 all-time among players aged 36y10m)
#73,Jesus Nogueiras,2640,26y6m,(#149 all-time among players aged 26y6m)
#74,Valery Chekhov,2638,30y2m,(#167 all-time among players aged 30y2m)
#75,Murray Chandler,2637,25y9m,(#145 all-time among players aged 25y9m)
#76,Alfonso Romero Holmes,2635,20y8m,(#60 all-time among players aged 20y8m)
#77,Igor Novikov,2632,23y8m,(#129 all-time among players aged 23y8m)
#78,Joel Benjamin,2632,21y10m,(#93 all-time among players aged 21y10m)
#79,Slavoljub Marjanovic,2632,31y0m,(#185 all-time among players aged 31y0m)
#80,Andrey Kharitonov,2631,26y9m,(#178 all-time among players aged 26y9m)
#81,Yuri Yakovich,2631,23y2m,(#121 all-time among players aged 23y2m)
#82,Kiril Georgiev,2629,20y2m,(#56 all-time among players aged 20y2m)
#83,Nick deFirmian,2629,28y6m,(#195 all-time among players aged 28y6m)
#84,Vitaly Tseshkovsky,2629,41y4m,(#128 all-time among players aged 41y4m)
#85,Rainer Knaak,2628,32y10m,(#192 all-time among players aged 32y10m)
#86,Daniel Cámpora,2628,28y7m,(#199 all-time among players aged 28y7m)
#87,Jan Smejkal,2625,39y10m,(#131 all-time among players aged 39y10m)
#88,Eduardas Rozentalis,2625,22y8m,(#128 all-time among players aged 22y8m)
#89,Walter Browne,2624,37y0m,(#159 all-time among players aged 37y0m)
#90,Curt Hansen,2623,21y4m,(#88 all-time among players aged 21y4m)
