,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: June 1986 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2849,23y2m,(#1 all-time among players aged 23y2m)
#2,Anatoly Karpov,2826,35y1m,(#3 all-time among players aged 35y1m)
#3,Viktor Korchnoi,2754,55y3m,(#1 all-time among players aged 55y3m)
#4,Artur Jussupow,2752,26y4m,(#16 all-time among players aged 26y4m)
#5,Jan Timman,2740,34y6m,(#22 all-time among players aged 34y6m)
#6,Alexander Beliavsky,2736,32y6m,(#25 all-time among players aged 32y6m)
#7,Andrey Sokolov,2734,23y3m,(#19 all-time among players aged 23y3m)
#8,Rafael Vaganian,2734,34y8m,(#28 all-time among players aged 34y8m)
#9,Lajos Portisch,2732,49y2m,(#8 all-time among players aged 49y2m)
#10,Boris Spassky,2728,49y5m,(#9 all-time among players aged 49y5m)
#11,Robert Hübner,2719,37y7m,(#34 all-time among players aged 37y7m)
#12,Ljubomir Ljubojevic,2714,35y7m,(#41 all-time among players aged 35y7m)
#13,Mikhail Tal,2711,49y7m,(#14 all-time among players aged 49y7m)
#14,John Nunn,2707,31y2m,(#53 all-time among players aged 31y2m)
#15,Zoltán Ribli,2705,34y9m,(#51 all-time among players aged 34y9m)
#16,Ulf Andersson,2701,35y0m,(#55 all-time among players aged 35y0m)
#17,Nigel Short,2701,21y0m,(#20 all-time among players aged 21y0m)
#18,Predrag Nikolic,2701,25y9m,(#47 all-time among players aged 25y9m)
#19,Viacheslav Eingorn,2701,29y7m,(#62 all-time among players aged 29y7m)
#20,Konstantin Lerner,2697,36y4m,(#52 all-time among players aged 36y4m)
#21,Victor Gavrikov,2695,28y11m,(#66 all-time among players aged 28y11m)
#22,Georgy Agzamov,2695,31y9m,(#69 all-time among players aged 31y9m)
#23,Lev Polugaevsky,2694,51y7m,(#19 all-time among players aged 51y7m)
#24,Anthony Miles,2692,31y2m,(#76 all-time among players aged 31y2m)
#25,Lev Psakhis,2692,27y7m,(#74 all-time among players aged 27y7m)
#26,Vladimir Tukmakov,2691,40y3m,(#44 all-time among players aged 40y3m)
#27,Vladimir Malaniuk,2690,28y11m,(#73 all-time among players aged 28y11m)
#28,Smbat Lputian,2689,28y4m,(#69 all-time among players aged 28y4m)
#29,Alexander Chernin,2688,26y3m,(#66 all-time among players aged 26y3m)
#30,Oleg Romanishin,2686,34y5m,(#77 all-time among players aged 34y5m)
#31,Mikhail Gurevich,2685,27y4m,(#80 all-time among players aged 27y4m)
#32,Evgeny Sveshnikov,2682,36y4m,(#70 all-time among players aged 36y4m)
#33,Bent Larsen,2671,51y3m,(#26 all-time among players aged 51y3m)
#34,Sergey Dolmatov,2670,27y4m,(#96 all-time among players aged 27y4m)
#35,Yasser Seirawan,2668,26y3m,(#93 all-time among players aged 26y3m)
#36,Iosif Dorfman,2667,34y1m,(#94 all-time among players aged 34y1m)
#37,József Pintér,2665,32y7m,(#106 all-time among players aged 32y7m)
#38,Yury Razuvaev,2664,40y8m,(#66 all-time among players aged 40y8m)
#39,Helgi Olafsson,2664,29y10m,(#116 all-time among players aged 29y10m)
#40,Evgeny Vladimirov,2663,29y5m,(#114 all-time among players aged 29y5m)
#41,Simen Agdestein,2663,19y1m,(#15 all-time among players aged 19y1m)
#42,Alexander Khalifman,2662,20y5m,(#35 all-time among players aged 20y5m)
#43,John van der Wiel,2662,26y10m,(#110 all-time among players aged 26y10m)
#44,Lubomir Kavalek,2661,42y10m,(#57 all-time among players aged 42y10m)
#45,Murray Chandler,2660,26y2m,(#107 all-time among players aged 26y2m)
#46,Valery Neverov,2660,22y0m,(#63 all-time among players aged 22y0m)
#47,Yury Balashov,2659,37y3m,(#88 all-time among players aged 37y3m)
#48,Vlastimil Hort,2658,42y5m,(#67 all-time among players aged 42y5m)
#49,András Adorján,2657,36y3m,(#102 all-time among players aged 36y3m)
#50,Gennady Zaichik,2657,29y4m,(#128 all-time among players aged 29y4m)
#51,Kiril Georgiev,2654,20y7m,(#45 all-time among players aged 20y7m)
#52,Gyula Sax,2653,35y0m,(#123 all-time among players aged 35y0m)
#53,Mihai Suba,2653,39y0m,(#88 all-time among players aged 39y0m)
#54,Larry Christiansen,2652,30y0m,(#137 all-time among players aged 30y0m)
#55,Sergey Smagin,2652,27y9m,(#132 all-time among players aged 27y9m)
#56,Roman Dzindzichashvili,2652,42y1m,(#77 all-time among players aged 42y1m)
#57,Adrian Mikhalchishin,2652,31y7m,(#143 all-time among players aged 31y7m)
#58,Vitaly Tseshkovsky,2651,41y9m,(#83 all-time among players aged 41y9m)
#59,Daniel Cámpora,2651,29y0m,(#136 all-time among players aged 29y0m)
#60,Arshak Petrosian,2651,32y6m,(#143 all-time among players aged 32y6m)
#61,Lubomír Ftácnik,2650,28y8m,(#139 all-time among players aged 28y8m)
#62,Vassily Smyslov,2650,65y3m,(#2 all-time among players aged 65y3m)
#63,Evgeny Bareev,2649,19y7m,(#30 all-time among players aged 19y7m)
#64,Igor Novikov,2649,24y1m,(#105 all-time among players aged 24y1m)
#65,Eugenio Torre,2649,34y7m,(#126 all-time among players aged 34y7m)
#66,Leonid Yudasin,2647,26y10m,(#132 all-time among players aged 26y10m)
#67,Vassily Ivanchuk,2646,17y3m,(#14 all-time among players aged 17y3m)
#68,Slavoljub Marjanovic,2644,31y5m,(#159 all-time among players aged 31y5m)
#69,Dragoljub Velimirovic,2644,44y1m,(#68 all-time among players aged 44y1m)
#70,Jonathan Speelman,2644,29y8m,(#157 all-time among players aged 29y8m)
#71,Boris Gulko,2644,39y4m,(#100 all-time among players aged 39y4m)
#72,Curt Hansen,2644,21y9m,(#71 all-time among players aged 21y9m)
#73,Gennadi Sosonko,2643,43y1m,(#78 all-time among players aged 43y1m)
#74,Jesus Nogueiras,2643,26y11m,(#148 all-time among players aged 26y11m)
#75,Efim Geller,2641,61y3m,(#6 all-time among players aged 61y3m)
#76,Florin Gheorghiu,2641,42y2m,(#97 all-time among players aged 42y2m)
#77,Yury Dokhoian,2640,21y8m,(#78 all-time among players aged 21y8m)
#78,Joel Benjamin,2639,22y3m,(#87 all-time among players aged 22y3m)
#79,Petar Popovic,2639,27y4m,(#152 all-time among players aged 27y4m)
