,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years Forward five years,,,,
Monthly List: November 1987 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2843,24y7m,(#1 all-time among players aged 24y7m)
#2,Anatoly Karpov,2817,36y6m,(#3 all-time among players aged 36y6m)
#3,Jan Timman,2753,35y11m,(#13 all-time among players aged 35y11m)
#4,Alexander Beliavsky,2750,33y11m,(#16 all-time among players aged 33y11m)
#5,Artur Jussupow,2741,27y9m,(#25 all-time among players aged 27y9m)
#6,Viktor Korchnoi,2737,56y8m,(#3 all-time among players aged 56y8m)
#7,Mikhail Tal,2736,51y0m,(#7 all-time among players aged 51y0m)
#8,Lajos Portisch,2733,50y7m,(#7 all-time among players aged 50y7m)
#9,Rafael Vaganian,2731,36y1m,(#30 all-time among players aged 36y1m)
#10,Predrag Nikolic,2727,27y2m,(#37 all-time among players aged 27y2m)
#11,Evgeny Vladimirov,2726,30y10m,(#35 all-time among players aged 30y10m)
#12,Nigel Short,2717,22y5m,(#22 all-time among players aged 22y5m)
#13,Ljubomir Ljubojevic,2716,37y0m,(#37 all-time among players aged 37y0m)
#14,Valery Salov,2714,23y6m,(#30 all-time among players aged 23y6m)
#15,Yasser Seirawan,2707,27y8m,(#55 all-time among players aged 27y8m)
#16,John Nunn,2704,32y7m,(#56 all-time among players aged 32y7m)
#17,Vladimir Tukmakov,2702,41y8m,(#32 all-time among players aged 41y8m)
#18,Jonathan Speelman,2700,31y1m,(#58 all-time among players aged 31y1m)
#19,Simen Agdestein,2700,20y6m,(#20 all-time among players aged 20y6m)
#20,Ulf Andersson,2699,36y5m,(#54 all-time among players aged 36y5m)
#21,Andrey Sokolov,2699,24y8m,(#45 all-time among players aged 24y8m)
#22,Robert Hübner,2698,39y0m,(#39 all-time among players aged 39y0m)
#23,Zoltán Ribli,2697,36y2m,(#52 all-time among players aged 36y2m)
#24,Boris Spassky,2696,50y10m,(#17 all-time among players aged 50y10m)
#25,Lev Psakhis,2696,29y0m,(#66 all-time among players aged 29y0m)
#26,Jaan Ehlvest,2691,25y1m,(#55 all-time among players aged 25y1m)
#27,Viacheslav Eingorn,2691,31y0m,(#77 all-time among players aged 31y0m)
#28,Oleg Romanishin,2687,35y10m,(#65 all-time among players aged 35y10m)
#29,Yury Balashov,2687,38y8m,(#51 all-time among players aged 38y8m)
#30,Boris Gulko,2687,40y9m,(#49 all-time among players aged 40y9m)
#31,Alexander Chernin,2686,27y8m,(#81 all-time among players aged 27y8m)
#32,Mikhail Gurevich,2685,28y9m,(#76 all-time among players aged 28y9m)
#33,Sergey Dolmatov,2685,28y9m,(#77 all-time among players aged 28y9m)
#34,Victor Gavrikov,2685,30y4m,(#88 all-time among players aged 30y4m)
#35,Smbat Lputian,2684,29y9m,(#84 all-time among players aged 29y9m)
#36,Lev Polugaevsky,2683,53y0m,(#20 all-time among players aged 53y0m)
#37,Murray Chandler,2682,27y7m,(#84 all-time among players aged 27y7m)
#38,Gyula Sax,2681,36y5m,(#66 all-time among players aged 36y5m)
#39,Vassily Ivanchuk,2676,18y8m,(#12 all-time among players aged 18y8m)
#40,József Pintér,2676,34y0m,(#81 all-time among players aged 34y0m)
#41,Alexey Vyzmanavin,2675,27y10m,(#93 all-time among players aged 27y10m)
#42,Bent Larsen,2675,52y8m,(#22 all-time among players aged 52y8m)
#43,John van der Wiel,2672,28y3m,(#97 all-time among players aged 28y3m)
#44,Andrey Kharitonov,2672,28y7m,(#97 all-time among players aged 28y7m)
#45,Vlastimil Hort,2671,43y10m,(#41 all-time among players aged 43y10m)
#46,Larry Christiansen,2669,31y5m,(#114 all-time among players aged 31y5m)
#47,Konstantin Lerner,2665,37y9m,(#81 all-time among players aged 37y9m)
#48,Zurab Azmaiparashvili,2660,27y8m,(#114 all-time among players aged 27y8m)
#49,Evgeny Bareev,2660,21y0m,(#49 all-time among players aged 21y0m)
#50,Anthony Miles,2660,32y7m,(#122 all-time among players aged 32y7m)
#51,Evgeny Pigusov,2660,26y8m,(#110 all-time among players aged 26y8m)
#52,Jóhann Hjartarson,2659,24y9m,(#97 all-time among players aged 24y9m)
#53,Curt Hansen,2657,23y2m,(#84 all-time among players aged 23y2m)
#54,Eduardas Rozentalis,2657,24y6m,(#97 all-time among players aged 24y6m)
#55,Iosif Dorfman,2657,35y6m,(#107 all-time among players aged 35y6m)
#56,Sergey Smagin,2656,29y2m,(#131 all-time among players aged 29y2m)
#57,Vladimir Malaniuk,2655,30y4m,(#128 all-time among players aged 30y4m)
#58,Jesus Nogueiras,2654,28y4m,(#138 all-time among players aged 28y4m)
#59,Utut Adianto,2650,22y8m,(#85 all-time among players aged 22y8m)
#60,Alexey Dreev,2650,18y10m,(#19 all-time among players aged 18y10m)
#61,Alex Yermolinsky,2649,29y7m,(#143 all-time among players aged 29y7m)
#62,Petar Popovic,2649,28y9m,(#141 all-time among players aged 28y9m)
#63,Viswanathan Anand,2649,17y11m,(#15 all-time among players aged 17y11m)
#64,Vassily Smyslov,2649,66y8m,(#3 all-time among players aged 66y8m)
#65,Boris Gelfand,2648,19y5m,(#29 all-time among players aged 19y5m)
#66,Yury Razuvaev,2648,42y1m,(#81 all-time among players aged 42y1m)
#67,Alexander Khalifman,2648,21y10m,(#72 all-time among players aged 21y10m)
#68,Eugenio Torre,2647,36y0m,(#125 all-time among players aged 36y0m)
#69,Lubomir Kavalek,2647,44y3m,(#63 all-time among players aged 44y3m)
#70,Kiril Georgiev,2647,22y0m,(#76 all-time among players aged 22y0m)
#71,András Adorján,2645,37y8m,(#107 all-time among players aged 37y8m)
#72,Joel Benjamin,2643,23y8m,(#110 all-time among players aged 23y8m)
#73,Uwe Bönsch,2642,29y1m,(#164 all-time among players aged 29y1m)
#74,Gregory Kaidanov,2641,28y1m,(#154 all-time among players aged 28y1m)
#75,Nukhim Rashkovsky,2641,41y7m,(#103 all-time among players aged 41y7m)
#76,Anatoli Vaisser,2640,38y8m,(#112 all-time among players aged 38y8m)
#77,Yakov Murey,2637,46y3m,(#56 all-time among players aged 46y3m)
#78,Daniel Cámpora,2636,30y5m,(#173 all-time among players aged 30y5m)
#79,Valery Neverov,2636,23y5m,(#113 all-time among players aged 23y5m)
#80,Adrian Mikhalchishin,2635,33y0m,(#166 all-time among players aged 33y0m)
#81,Yehuda Gruenfeld,2635,31y9m,(#173 all-time among players aged 31y9m)
#82,Alexander Huzman,2635,25y7m,(#144 all-time among players aged 25y7m)
#83,Helgi Olafsson,2634,31y3m,(#181 all-time among players aged 31y3m)
#84,Lubomír Ftácnik,2633,30y1m,(#187 all-time among players aged 30y1m)
#85,Sergey Makarichev,2633,34y0m,(#168 all-time among players aged 34y0m)
#86,Margeir Pétursson,2633,27y9m,(#173 all-time among players aged 27y9m)
#87,Mihai Suba,2633,40y5m,(#117 all-time among players aged 40y5m)
#88,Yury Dokhoian,2632,23y1m,(#119 all-time among players aged 23y1m)
#89,Carlos Garcia Palermo,2632,33y11m,(#172 all-time among players aged 33y11m)
#90,Viktor Kupreichik,2631,38y4m,(#130 all-time among players aged 38y4m)
#91,Aivars Gipslis,2629,50y9m,(#46 all-time among players aged 50y9m)
#92,Alexander Goldin,2629,22y9m,(#119 all-time among players aged 22y9m)
#93,Eduard Gufeld,2629,51y8m,(#41 all-time among players aged 51y8m)
#94,Maia Chiburdanidze,2629,26y10m,(#189 all-time among players aged 26y10m)
#95,Gennady Zaichik,2628,30y9m,(#192 all-time among players aged 30y9m)
#96,Michal Krasenkow,2628,24y0m,(#147 all-time among players aged 24y0m)
#97,John Fedorowicz,2628,29y2m,(#197 all-time among players aged 29y2m)
#98,Leonid Yurtaev,2628,28y6m,(#198 all-time among players aged 28y6m)
#99,Florin Gheorghiu,2627,43y7m,(#102 all-time among players aged 43y7m)
#100,Grigory Serper,2625,18y2m,(#26 all-time among players aged 18y2m)
