,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: February 2000 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2875,36y10m,(#1 all-time among players aged 36y10m)
#2,Viswanathan Anand,2810,30y2m,(#6 all-time among players aged 30y2m)
#3,Vladimir Kramnik,2797,24y8m,(#5 all-time among players aged 24y8m)
#4,Peter Leko,2755,20y5m,(#6 all-time among players aged 20y5m)
#5,Alexei Shirov,2754,27y7m,(#16 all-time among players aged 27y7m)
#6,Alexander Morozevich,2754,22y7m,(#12 all-time among players aged 22y7m)
#7,Vassily Ivanchuk,2744,30y11m,(#25 all-time among players aged 30y11m)
#8,Michael Adams,2739,28y3m,(#25 all-time among players aged 28y3m)
#9,Evgeny Bareev,2737,33y3m,(#24 all-time among players aged 33y3m)
#10,Peter Svidler,2730,23y8m,(#24 all-time among players aged 23y8m)
#11,Veselin Topalov,2730,24y11m,(#28 all-time among players aged 24y11m)
#12,Nigel Short,2720,34y8m,(#36 all-time among players aged 34y8m)
#13,Boris Gelfand,2717,31y8m,(#44 all-time among players aged 31y8m)
#14,Vladimir Akopian,2706,28y2m,(#53 all-time among players aged 28y2m)
#15,Predrag Nikolic,2701,39y5m,(#36 all-time among players aged 39y5m)
#16,Alexey Dreev,2699,31y1m,(#60 all-time among players aged 31y1m)
#17,Michal Krasenkow,2697,36y3m,(#54 all-time among players aged 36y3m)
#18,Kiril Georgiev,2697,34y3m,(#61 all-time among players aged 34y3m)
#19,Mikhail Gurevich,2696,41y0m,(#39 all-time among players aged 41y0m)
#20,Anatoly Karpov,2695,48y9m,(#19 all-time among players aged 48y9m)
#21,Alexander Beliavsky,2691,46y2m,(#30 all-time among players aged 46y2m)
#22,Sergei Rublevsky,2689,25y4m,(#58 all-time among players aged 25y4m)
#23,Alexei Fedorov,2688,27y5m,(#79 all-time among players aged 27y5m)
#24,Konstantin Sakaev,2688,25y10m,(#63 all-time among players aged 25y10m)
#25,Zoltan Almasi,2685,23y6m,(#53 all-time among players aged 23y6m)
#26,Jan Timman,2679,48y2m,(#24 all-time among players aged 48y2m)
#27,Matthew Sadler,2679,25y9m,(#73 all-time among players aged 25y9m)
#28,Sergei Movsesian,2678,21y3m,(#36 all-time among players aged 21y3m)
