,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: March 2000 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2876,36y11m,(#1 all-time among players aged 36y11m)
#2,Viswanathan Anand,2809,30y3m,(#6 all-time among players aged 30y3m)
#3,Vladimir Kramnik,2800,24y9m,(#4 all-time among players aged 24y9m)
#4,Alexander Morozevich,2758,22y8m,(#11 all-time among players aged 22y8m)
#5,Peter Leko,2758,20y6m,(#7 all-time among players aged 20y6m)
#6,Alexei Shirov,2754,27y8m,(#15 all-time among players aged 27y8m)
#7,Michael Adams,2743,28y4m,(#22 all-time among players aged 28y4m)
#8,Vassily Ivanchuk,2742,31y0m,(#27 all-time among players aged 31y0m)
#9,Evgeny Bareev,2740,33y4m,(#20 all-time among players aged 33y4m)
#10,Veselin Topalov,2730,25y0m,(#26 all-time among players aged 25y0m)
#11,Peter Svidler,2729,23y9m,(#24 all-time among players aged 23y9m)
#12,Nigel Short,2724,34y9m,(#32 all-time among players aged 34y9m)
#13,Boris Gelfand,2715,31y9m,(#46 all-time among players aged 31y9m)
#14,Vladimir Akopian,2702,28y3m,(#56 all-time among players aged 28y3m)
#15,Mikhail Gurevich,2702,41y1m,(#37 all-time among players aged 41y1m)
#16,Alexey Dreev,2699,31y2m,(#63 all-time among players aged 31y2m)
#17,Michal Krasenkow,2696,36y4m,(#53 all-time among players aged 36y4m)
#18,Kiril Georgiev,2693,34y4m,(#62 all-time among players aged 34y4m)
#19,Anatoly Karpov,2692,48y10m,(#19 all-time among players aged 48y10m)
#20,Predrag Nikolic,2691,39y6m,(#44 all-time among players aged 39y6m)
#21,Alexander Beliavsky,2689,46y3m,(#31 all-time among players aged 46y3m)
#22,Alexei Fedorov,2688,27y6m,(#81 all-time among players aged 27y6m)
#23,Konstantin Sakaev,2687,25y11m,(#64 all-time among players aged 25y11m)
#24,Sergei Rublevsky,2687,25y5m,(#59 all-time among players aged 25y5m)
#25,Vladislav Tkachiev,2687,26y4m,(#71 all-time among players aged 26y4m)
#26,Zoltan Almasi,2682,23y7m,(#53 all-time among players aged 23y7m)
#27,Viktor Korchnoi,2679,69y0m,(#1 all-time among players aged 69y0m)
#28,Jan Timman,2679,48y3m,(#23 all-time among players aged 48y3m)
#29,Alexander Onischuk,2674,24y6m,(#65 all-time among players aged 24y6m)
#30,Vadim Zvjaginsev,2674,23y7m,(#66 all-time among players aged 23y7m)
#31,Alexander Khalifman,2673,34y2m,(#85 all-time among players aged 34y2m)
#32,Sergei Movsesian,2672,21y4m,(#44 all-time among players aged 21y4m)
#33,Matthew Sadler,2670,25y10m,(#87 all-time among players aged 25y10m)
#34,Zurab Azmaiparashvili,2669,40y0m,(#61 all-time among players aged 40y0m)
#35,Judit Polgar,2668,23y8m,(#71 all-time among players aged 23y8m)
#36,Rustam Kasimdzhanov,2668,20y3m,(#28 all-time among players aged 20y3m)
#37,Joel Lautier,2664,26y11m,(#106 all-time among players aged 26y11m)
#38,Yasser Seirawan,2659,40y0m,(#75 all-time among players aged 40y0m)
#39,Ivan Sokolov,2658,31y9m,(#132 all-time among players aged 31y9m)
#40,Loek van Wely,2658,27y5m,(#121 all-time among players aged 27y5m)
#41,Igor Khenkin,2658,32y0m,(#130 all-time among players aged 32y0m)
#42,Curt Hansen,2656,35y6m,(#109 all-time among players aged 35y6m)
#43,Jeroen Piket,2654,31y2m,(#135 all-time among players aged 31y2m)
#44,Vadim Milov,2652,27y7m,(#132 all-time among players aged 27y7m)
#45,Ilia Smirin,2651,32y2m,(#141 all-time among players aged 32y2m)
#46,Artur Jussupow,2650,40y1m,(#92 all-time among players aged 40y1m)
#47,Peng Xiaomin,2648,26y11m,(#129 all-time among players aged 26y11m)
#48,Sergei Shipov,2648,33y11m,(#132 all-time among players aged 33y11m)
#49,Sergey Dolmatov,2648,41y1m,(#89 all-time among players aged 41y1m)
#50,Ruslan Ponomariov,2647,16y5m,(#6 all-time among players aged 16y5m)
#51,Viktor Bologan,2646,28y3m,(#149 all-time among players aged 28y3m)
#52,Zurab Sturua,2645,40y9m,(#97 all-time among players aged 40y9m)
#53,Lev Psakhis,2644,41y4m,(#95 all-time among players aged 41y4m)
#54,Smbat Lputian,2644,42y1m,(#91 all-time among players aged 42y1m)
#55,Julian Hodgson,2643,36y8m,(#120 all-time among players aged 36y8m)
#56,Nick deFirmian,2641,42y8m,(#83 all-time among players aged 42y8m)
#57,Jonathan Speelman,2640,43y5m,(#79 all-time among players aged 43y5m)
#58,Andrei Kharlov,2640,31y4m,(#163 all-time among players aged 31y4m)
#59,Sergey Volkov,2639,26y1m,(#145 all-time among players aged 26y1m)
#60,Rustem Dautov,2638,34y4m,(#161 all-time among players aged 34y4m)
#61,Jóhann Hjartarson,2637,37y1m,(#128 all-time among players aged 37y1m)
#62,Rafael Vaganian,2636,48y5m,(#43 all-time among players aged 48y5m)
#63,Giorgi Giorgadze,2635,35y5m,(#158 all-time among players aged 35y5m)
#64,Zdenko Kožul,2634,33y10m,(#166 all-time among players aged 33y10m)
#65,Vladimir Epishin,2634,34y8m,(#167 all-time among players aged 34y8m)
#66,Boris Avrukh,2634,22y2m,(#92 all-time among players aged 22y2m)
#67,Ulf Andersson,2634,48y9m,(#48 all-time among players aged 48y9m)
#68,Vladimir Malakhov,2633,19y4m,(#39 all-time among players aged 19y4m)
#69,Sergei Tiviakov,2632,27y1m,(#180 all-time among players aged 27y1m)
#70,Valery Salov,2632,35y10m,(#158 all-time among players aged 35y10m)
#71,Alexander Grischuk,2632,16y5m,(#10 all-time among players aged 16y5m)
#72,Alexander Chernin,2631,40y0m,(#118 all-time among players aged 40y0m)
#73,Aleksej Aleksandrov,2631,26y10m,(#176 all-time among players aged 26y10m)
#74,Emil Sutovsky,2630,22y6m,(#113 all-time among players aged 22y6m)
#75,Ildar Ibragimov,2630,32y7m,(#194 all-time among players aged 32y7m)
#76,Boris Gulko,2629,53y1m,(#37 all-time among players aged 53y1m)
#77,Gilberto Milos,2628,36y5m,(#160 all-time among players aged 36y5m)
#78,Alexander Goldin,2628,35y1m,(#176 all-time among players aged 35y1m)
#79,Anthony Miles,2628,44y11m,(#86 all-time among players aged 44y11m)
#80,Igor Novikov,2627,37y10m,(#140 all-time among players aged 37y10m)
#81,Alex Yermolinsky,2627,41y11m,(#122 all-time among players aged 41y11m)
#82,Oleg Korneev,2627,30y8m,(#196 all-time among players aged 30y8m)
