,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: April 2000 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2871,37y0m,(#1 all-time among players aged 37y0m)
#2,Viswanathan Anand,2803,30y4m,(#6 all-time among players aged 30y4m)
#3,Vladimir Kramnik,2801,24y10m,(#4 all-time among players aged 24y10m)
#4,Peter Leko,2760,20y7m,(#6 all-time among players aged 20y7m)
#5,Alexander Morozevich,2759,22y9m,(#10 all-time among players aged 22y9m)
#6,Alexei Shirov,2750,27y9m,(#17 all-time among players aged 27y9m)
#7,Michael Adams,2744,28y5m,(#22 all-time among players aged 28y5m)
#8,Vassily Ivanchuk,2741,31y1m,(#28 all-time among players aged 31y1m)
#9,Evgeny Bareev,2732,33y5m,(#25 all-time among players aged 33y5m)
#10,Peter Svidler,2729,23y10m,(#24 all-time among players aged 23y10m)
#11,Veselin Topalov,2728,25y1m,(#29 all-time among players aged 25y1m)
#12,Nigel Short,2724,34y10m,(#31 all-time among players aged 34y10m)
#13,Boris Gelfand,2719,31y10m,(#44 all-time among players aged 31y10m)
#14,Michal Krasenkow,2706,36y5m,(#45 all-time among players aged 36y5m)
#15,Mikhail Gurevich,2704,41y2m,(#35 all-time among players aged 41y2m)
#16,Vladimir Akopian,2703,28y4m,(#54 all-time among players aged 28y4m)
#17,Alexey Dreev,2695,31y3m,(#72 all-time among players aged 31y3m)
#18,Kiril Georgiev,2694,34y5m,(#67 all-time among players aged 34y5m)
#19,Anatoly Karpov,2691,48y11m,(#19 all-time among players aged 48y11m)
#20,Alexei Fedorov,2690,27y7m,(#77 all-time among players aged 27y7m)
#21,Vladislav Tkachiev,2690,26y5m,(#64 all-time among players aged 26y5m)
#22,Konstantin Sakaev,2688,26y0m,(#63 all-time among players aged 26y0m)
#23,Alexander Beliavsky,2687,46y4m,(#30 all-time among players aged 46y4m)
#24,Sergei Rublevsky,2686,25y6m,(#63 all-time among players aged 25y6m)
#25,Predrag Nikolic,2686,39y7m,(#46 all-time among players aged 39y7m)
#26,Jan Timman,2682,48y4m,(#23 all-time among players aged 48y4m)
#27,Viktor Korchnoi,2681,69y1m,(#1 all-time among players aged 69y1m)
#28,Zoltan Almasi,2680,23y8m,(#57 all-time among players aged 23y8m)
#29,Alexander Khalifman,2679,34y3m,(#81 all-time among players aged 34y3m)
#30,Sergei Movsesian,2677,21y5m,(#39 all-time among players aged 21y5m)
#31,Matthew Sadler,2673,25y11m,(#83 all-time among players aged 25y11m)
#32,Vadim Zvjaginsev,2672,23y8m,(#69 all-time among players aged 23y8m)
#33,Alexander Onischuk,2671,24y7m,(#74 all-time among players aged 24y7m)
#34,Judit Polgar,2668,23y9m,(#74 all-time among players aged 23y9m)
#35,Zurab Azmaiparashvili,2668,40y1m,(#58 all-time among players aged 40y1m)
#36,Rustam Kasimdzhanov,2663,20y4m,(#35 all-time among players aged 20y4m)
#37,Joel Lautier,2661,27y0m,(#113 all-time among players aged 27y0m)
