,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: June 2000 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2876,37y2m,(#1 all-time among players aged 37y2m)
#2,Viswanathan Anand,2804,30y6m,(#6 all-time among players aged 30y6m)
#3,Vladimir Kramnik,2801,25y0m,(#4 all-time among players aged 25y0m)
#4,Alexander Morozevich,2763,22y11m,(#8 all-time among players aged 22y11m)
#5,Alexei Shirov,2763,27y11m,(#14 all-time among players aged 27y11m)
#6,Peter Leko,2759,20y9m,(#6 all-time among players aged 20y9m)
#7,Vassily Ivanchuk,2751,31y3m,(#22 all-time among players aged 31y3m)
#8,Michael Adams,2750,28y7m,(#19 all-time among players aged 28y7m)
#9,Peter Svidler,2737,24y0m,(#17 all-time among players aged 24y0m)
#10,Evgeny Bareev,2732,33y7m,(#26 all-time among players aged 33y7m)
#11,Veselin Topalov,2728,25y3m,(#26 all-time among players aged 25y3m)
#12,Michal Krasenkow,2711,36y7m,(#40 all-time among players aged 36y7m)
#13,Boris Gelfand,2710,32y0m,(#51 all-time among players aged 32y0m)
#14,Nigel Short,2705,35y0m,(#51 all-time among players aged 35y0m)
#15,Vladimir Akopian,2704,28y6m,(#52 all-time among players aged 28y6m)
#16,Alexey Dreev,2695,31y5m,(#75 all-time among players aged 31y5m)
#17,Mikhail Gurevich,2692,41y4m,(#38 all-time among players aged 41y4m)
#18,Anatoly Karpov,2690,49y1m,(#17 all-time among players aged 49y1m)
#19,Sergei Rublevsky,2686,25y8m,(#65 all-time among players aged 25y8m)
#20,Kiril Georgiev,2685,34y7m,(#75 all-time among players aged 34y7m)
#21,Alexander Khalifman,2684,34y5m,(#79 all-time among players aged 34y5m)
#22,Predrag Nikolic,2682,39y9m,(#48 all-time among players aged 39y9m)
#23,Konstantin Sakaev,2680,26y2m,(#77 all-time among players aged 26y2m)
#24,Judit Polgar,2680,23y11m,(#57 all-time among players aged 23y11m)
#25,Alexander Beliavsky,2679,46y6m,(#34 all-time among players aged 46y6m)
#26,Zoltan Almasi,2677,23y10m,(#62 all-time among players aged 23y10m)
#27,Vadim Zvjaginsev,2673,23y10m,(#66 all-time among players aged 23y10m)
#28,Jan Timman,2671,48y6m,(#24 all-time among players aged 48y6m)
#29,Vladislav Tkachiev,2670,26y7m,(#96 all-time among players aged 26y7m)
#30,Viktor Korchnoi,2669,69y3m,(#1 all-time among players aged 69y3m)
#31,Sergei Movsesian,2668,21y7m,(#49 all-time among players aged 21y7m)
#32,Matthew Sadler,2666,26y1m,(#101 all-time among players aged 26y1m)
#33,Ilia Smirin,2665,32y5m,(#110 all-time among players aged 32y5m)
#34,Alexander Onischuk,2665,24y9m,(#81 all-time among players aged 24y9m)
#35,Loek van Wely,2663,27y8m,(#109 all-time among players aged 27y8m)
#36,Rustam Kasimdzhanov,2663,20y6m,(#32 all-time among players aged 20y6m)
#37,Alexei Fedorov,2662,27y9m,(#111 all-time among players aged 27y9m)
#38,Zurab Azmaiparashvili,2661,40y3m,(#69 all-time among players aged 40y3m)
#39,Joel Lautier,2660,27y2m,(#116 all-time among players aged 27y2m)
#40,Yasser Seirawan,2659,40y3m,(#73 all-time among players aged 40y3m)
#41,Jeroen Piket,2659,31y5m,(#129 all-time among players aged 31y5m)
#42,Igor Khenkin,2658,32y3m,(#127 all-time among players aged 32y3m)
#43,Ruslan Ponomariov,2657,16y8m,(#6 all-time among players aged 16y8m)
#44,Evgenij Ermenkov,2657,50y9m,(#29 all-time among players aged 50y9m)
#45,Zurab Sturua,2656,41y0m,(#73 all-time among players aged 41y0m)
#46,Viktor Bologan,2651,28y6m,(#136 all-time among players aged 28y6m)
#47,Sergey Dolmatov,2649,41y4m,(#85 all-time among players aged 41y4m)
#48,Ivan Sokolov,2649,32y0m,(#142 all-time among players aged 32y0m)
#49,Gilberto Milos,2648,36y8m,(#111 all-time among players aged 36y8m)
#50,Vadim Milov,2646,27y10m,(#143 all-time among players aged 27y10m)
#51,Sergei Shipov,2644,34y2m,(#148 all-time among players aged 34y2m)
#52,Rafael Vaganian,2643,48y8m,(#42 all-time among players aged 48y8m)
#53,Zhang Zhong,2642,21y9m,(#75 all-time among players aged 21y9m)
#54,Rafael Leitao,2641,20y6m,(#55 all-time among players aged 20y6m)
#55,Artur Jussupow,2640,40y4m,(#104 all-time among players aged 40y4m)
#56,Julian Hodgson,2640,36y11m,(#124 all-time among players aged 36y11m)
#57,Ulf Andersson,2639,49y0m,(#44 all-time among players aged 49y0m)
#58,Smbat Lputian,2638,42y4m,(#97 all-time among players aged 42y4m)
#59,Alexander Grischuk,2637,16y8m,(#9 all-time among players aged 16y8m)
#60,Jonathan Speelman,2637,43y8m,(#82 all-time among players aged 43y8m)
#61,Lev Psakhis,2636,41y7m,(#113 all-time among players aged 41y7m)
#62,Rustem Dautov,2636,34y7m,(#160 all-time among players aged 34y7m)
#63,Boris Gulko,2635,53y4m,(#33 all-time among players aged 53y4m)
#64,Sergei Tiviakov,2635,27y4m,(#168 all-time among players aged 27y4m)
#65,Ye Jiangchuan,2635,39y7m,(#114 all-time among players aged 39y7m)
#66,Curt Hansen,2634,35y9m,(#154 all-time among players aged 35y9m)
#67,Alexey Kuzmin,2633,37y3m,(#132 all-time among players aged 37y3m)
#68,Zdenko Kožul,2631,34y1m,(#175 all-time among players aged 34y1m)
#69,Peng Xiaomin,2630,27y2m,(#187 all-time among players aged 27y2m)
#70,Andrei Kharlov,2630,31y7m,(#195 all-time among players aged 31y7m)
#71,Giorgi Giorgadze,2628,35y8m,(#166 all-time among players aged 35y8m)
#72,Emil Sutovsky,2628,22y9m,(#121 all-time among players aged 22y9m)
#73,Evgeny Vladimirov,2628,43y5m,(#102 all-time among players aged 43y5m)
#74,Ildar Ibragimov,2628,32y10m,(#193 all-time among players aged 32y10m)
#75,Sergey Volkov,2627,26y4m,(#179 all-time among players aged 26y4m)
#76,Nick deFirmian,2626,42y11m,(#106 all-time among players aged 42y11m)
#77,Boris Avrukh,2626,22y5m,(#117 all-time among players aged 22y5m)
#78,Vladimir Epishin,2625,34y11m,(#194 all-time among players aged 34y11m)
#79,Aleksander Wojtkiewicz,2624,37y5m,(#150 all-time among players aged 37y5m)
#80,Alexander Lastin,2624,23y8m,(#144 all-time among players aged 23y8m)
#81,Zbynek Hracek,2622,29y9m,(#225 all-time among players aged 29y9m)
#82,Pavel Kotsur,2621,26y5m,(#204 all-time among players aged 26y5m)
#83,Alexander Graf,2621,37y10m,(#160 all-time among players aged 37y10m)
#84,Oleg Korneev,2619,30y11m,(#227 all-time among players aged 30y11m)
#85,Etienne Bacrot,2619,17y5m,(#21 all-time among players aged 17y5m)
#86,Yury Balashov,2618,51y3m,(#49 all-time among players aged 51y3m)
#87,Vladimir Malakhov,2618,19y7m,(#58 all-time among players aged 19y7m)
#88,Valery Salov,2618,36y1m,(#187 all-time among players aged 36y1m)
#89,Alexander Goldin,2617,35y4m,(#204 all-time among players aged 35y4m)
#90,Igor Novikov,2617,38y1m,(#165 all-time among players aged 38y1m)
#91,Alexander Chernin,2616,40y3m,(#146 all-time among players aged 40y3m)
#92,Anthony Miles,2616,45y2m,(#99 all-time among players aged 45y2m)
#93,Andrey Shariyazdanov,2615,23y11m,(#170 all-time among players aged 23y11m)
#94,Vitali Golod,2614,29y0m,(#250 all-time among players aged 29y0m)
#95,Aleksej Aleksandrov,2613,27y1m,(#234 all-time among players aged 27y1m)
#96,Christopher Lutz,2613,29y4m,(#261 all-time among players aged 29y4m)
#97,Alex Yermolinsky,2613,42y2m,(#141 all-time among players aged 42y2m)
#98,Iosif Dorfman,2612,48y1m,(#71 all-time among players aged 48y1m)
#99,Robert Hübner,2611,51y7m,(#52 all-time among players aged 51y7m)
#100,Alexander Fominyh,2610,41y0m,(#159 all-time among players aged 41y0m)
