,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: October 2000 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2871,37y6m,(#1 all-time among players aged 37y6m)
#2,Viswanathan Anand,2808,30y10m,(#5 all-time among players aged 30y10m)
#3,Vladimir Kramnik,2802,25y4m,(#3 all-time among players aged 25y4m)
#4,Peter Leko,2765,21y1m,(#6 all-time among players aged 21y1m)
#5,Alexei Shirov,2758,28y3m,(#15 all-time among players aged 28y3m)
#6,Vassily Ivanchuk,2750,31y7m,(#19 all-time among players aged 31y7m)
#7,Michael Adams,2746,28y11m,(#21 all-time among players aged 28y11m)
#8,Alexander Morozevich,2745,23y3m,(#15 all-time among players aged 23y3m)
#9,Evgeny Bareev,2738,33y11m,(#18 all-time among players aged 33y11m)
#10,Peter Svidler,2737,24y4m,(#17 all-time among players aged 24y4m)
#11,Boris Gelfand,2727,32y4m,(#31 all-time among players aged 32y4m)
#12,Veselin Topalov,2714,25y7m,(#37 all-time among players aged 25y7m)
#13,Mikhail Gurevich,2712,41y8m,(#30 all-time among players aged 41y8m)
#14,Vladimir Akopian,2710,28y10m,(#47 all-time among players aged 28y10m)
#15,Michal Krasenkow,2704,36y11m,(#46 all-time among players aged 36y11m)
#16,Nigel Short,2701,35y4m,(#50 all-time among players aged 35y4m)
#17,Alexey Dreev,2694,31y9m,(#72 all-time among players aged 31y9m)
#18,Kiril Georgiev,2691,34y11m,(#66 all-time among players aged 34y11m)
#19,Judit Polgar,2691,24y3m,(#51 all-time among players aged 24y3m)
#20,Ilia Smirin,2687,32y9m,(#75 all-time among players aged 32y9m)
#21,Zurab Azmaiparashvili,2687,40y7m,(#50 all-time among players aged 40y7m)
#22,Predrag Nikolic,2683,40y1m,(#49 all-time among players aged 40y1m)
#23,Anatoly Karpov,2682,49y5m,(#19 all-time among players aged 49y5m)
#24,Alexander Khalifman,2680,34y9m,(#79 all-time among players aged 34y9m)
#25,Loek van Wely,2678,28y0m,(#87 all-time among players aged 28y0m)
#26,Ruslan Ponomariov,2677,17y0m,(#5 all-time among players aged 17y0m)
#27,Alexander Onischuk,2676,25y1m,(#76 all-time among players aged 25y1m)
#28,Zoltan Almasi,2674,24y2m,(#66 all-time among players aged 24y2m)
#29,Vadim Zvjaginsev,2674,24y2m,(#67 all-time among players aged 24y2m)
#30,Rustam Kasimdzhanov,2673,20y10m,(#33 all-time among players aged 20y10m)
#31,Konstantin Sakaev,2673,26y6m,(#90 all-time among players aged 26y6m)
#32,Vladislav Tkachiev,2673,26y11m,(#95 all-time among players aged 26y11m)
#33,Sergei Movsesian,2672,21y11m,(#50 all-time among players aged 21y11m)
#34,Sergei Rublevsky,2671,26y0m,(#92 all-time among players aged 26y0m)
#35,Viktor Bologan,2670,28y10m,(#97 all-time among players aged 28y10m)
#36,Alexander Beliavsky,2669,46y10m,(#37 all-time among players aged 46y10m)
#37,Joel Lautier,2666,27y6m,(#104 all-time among players aged 27y6m)
#38,Matthew Sadler,2665,26y5m,(#97 all-time among players aged 26y5m)
#39,Ivan Sokolov,2665,32y4m,(#112 all-time among players aged 32y4m)
#40,Ye Jiangchuan,2665,39y11m,(#68 all-time among players aged 39y11m)
#41,Jan Timman,2661,48y10m,(#26 all-time among players aged 48y10m)
#42,Igor Khenkin,2661,32y7m,(#115 all-time among players aged 32y7m)
#43,Viktor Korchnoi,2660,69y7m,(#1 all-time among players aged 69y7m)
#44,Jeroen Piket,2660,31y9m,(#126 all-time among players aged 31y9m)
#45,Vadim Milov,2656,28y2m,(#124 all-time among players aged 28y2m)
#46,Alexander Grischuk,2655,17y0m,(#7 all-time among players aged 17y0m)
#47,Zhang Zhong,2652,22y1m,(#70 all-time among players aged 22y1m)
#48,Evgeny Vladimirov,2651,43y9m,(#59 all-time among players aged 43y9m)
#49,Yasser Seirawan,2650,40y7m,(#92 all-time among players aged 40y7m)
#50,Zdenko Kožul,2647,34y5m,(#142 all-time among players aged 34y5m)
#51,Boris Gulko,2646,53y8m,(#30 all-time among players aged 53y8m)
#52,Andrei Kharlov,2645,31y11m,(#152 all-time among players aged 31y11m)
#53,Jonathan Speelman,2643,44y0m,(#69 all-time among players aged 44y0m)
#54,Sergey Dolmatov,2641,41y8m,(#108 all-time among players aged 41y8m)
#55,Alexei Fedorov,2641,28y1m,(#155 all-time among players aged 28y1m)
#56,Sergei Shipov,2638,34y6m,(#158 all-time among players aged 34y6m)
#57,Sergei Tiviakov,2638,27y8m,(#161 all-time among players aged 27y8m)
#58,Artur Jussupow,2638,40y8m,(#108 all-time among players aged 40y8m)
#59,Alexander Lastin,2638,24y0m,(#128 all-time among players aged 24y0m)
#60,Alexey Kuzmin,2637,37y7m,(#118 all-time among players aged 37y7m)
#61,Gilberto Milos,2637,37y0m,(#131 all-time among players aged 37y0m)
#62,Curt Hansen,2636,36y1m,(#145 all-time among players aged 36y1m)
#63,Boris Avrukh,2636,22y9m,(#109 all-time among players aged 22y9m)
#64,Ulf Andersson,2635,49y4m,(#41 all-time among players aged 49y4m)
#65,Rafael Vaganian,2635,49y0m,(#45 all-time among players aged 49y0m)
