,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: May 2001 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2859,38y1m,(#1 all-time among players aged 38y1m)
#2,Viswanathan Anand,2822,31y5m,(#4 all-time among players aged 31y5m)
#3,Vladimir Kramnik,2817,25y11m,(#4 all-time among players aged 25y11m)
#4,Peter Leko,2759,21y8m,(#9 all-time among players aged 21y8m)
#5,Alexander Morozevich,2759,23y10m,(#11 all-time among players aged 23y10m)
#6,Vassily Ivanchuk,2755,32y2m,(#17 all-time among players aged 32y2m)
#7,Michael Adams,2752,29y6m,(#19 all-time among players aged 29y6m)
#8,Alexei Shirov,2749,28y10m,(#22 all-time among players aged 28y10m)
#9,Evgeny Bareev,2742,34y6m,(#20 all-time among players aged 34y6m)
#10,Boris Gelfand,2733,32y11m,(#25 all-time among players aged 32y11m)
#11,Peter Svidler,2732,24y11m,(#27 all-time among players aged 24y11m)
#12,Veselin Topalov,2715,26y2m,(#42 all-time among players aged 26y2m)
#13,Vladimir Akopian,2712,29y5m,(#46 all-time among players aged 29y5m)
#14,Nigel Short,2703,35y11m,(#46 all-time among players aged 35y11m)
#15,Ruslan Ponomariov,2699,17y7m,(#4 all-time among players aged 17y7m)
#16,Ilia Smirin,2697,33y4m,(#59 all-time among players aged 33y4m)
#17,Alexey Dreev,2695,32y4m,(#69 all-time among players aged 32y4m)
#18,Alexander Khalifman,2695,35y4m,(#58 all-time among players aged 35y4m)
#19,Mikhail Gurevich,2691,42y3m,(#37 all-time among players aged 42y3m)
#20,Judit Polgar,2690,24y10m,(#54 all-time among players aged 24y10m)
#21,Rustam Kasimdzhanov,2689,21y5m,(#31 all-time among players aged 21y5m)
#22,Kiril Georgiev,2688,35y6m,(#66 all-time among players aged 35y6m)
#23,Predrag Nikolic,2687,40y8m,(#50 all-time among players aged 40y8m)
#24,Anatoly Karpov,2683,50y0m,(#20 all-time among players aged 50y0m)
#25,Loek van Wely,2682,28y7m,(#84 all-time among players aged 28y7m)
#26,Alexander Grischuk,2677,17y7m,(#8 all-time among players aged 17y7m)
#27,Zhang Zhong,2676,22y8m,(#52 all-time among players aged 22y8m)
#28,Joel Lautier,2675,28y1m,(#92 all-time among players aged 28y1m)
#29,Vladislav Tkachiev,2673,27y6m,(#95 all-time among players aged 27y6m)
#30,Zurab Azmaiparashvili,2671,41y2m,(#64 all-time among players aged 41y2m)
#31,Alexander Onischuk,2668,25y8m,(#90 all-time among players aged 25y8m)
#32,Konstantin Sakaev,2668,27y1m,(#104 all-time among players aged 27y1m)
#33,Viktor Korchnoi,2666,70y2m,(#1 all-time among players aged 70y2m)
#34,Viktor Bologan,2665,29y5m,(#108 all-time among players aged 29y5m)
