,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: July 2001 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2862,38y3m,(#1 all-time among players aged 38y3m)
#2,Viswanathan Anand,2823,31y7m,(#4 all-time among players aged 31y7m)
#3,Vladimir Kramnik,2821,26y1m,(#4 all-time among players aged 26y1m)
#4,Alexander Morozevich,2760,24y0m,(#11 all-time among players aged 24y0m)
#5,Peter Leko,2759,21y10m,(#11 all-time among players aged 21y10m)
#6,Vassily Ivanchuk,2754,32y4m,(#17 all-time among players aged 32y4m)
#7,Michael Adams,2751,29y8m,(#16 all-time among players aged 29y8m)
#8,Alexei Shirov,2744,29y0m,(#22 all-time among players aged 29y0m)
#9,Evgeny Bareev,2741,34y8m,(#20 all-time among players aged 34y8m)
#10,Boris Gelfand,2738,33y1m,(#23 all-time among players aged 33y1m)
#11,Peter Svidler,2731,25y1m,(#25 all-time among players aged 25y1m)
#12,Veselin Topalov,2720,26y4m,(#40 all-time among players aged 26y4m)
#13,Rustam Kasimdzhanov,2705,21y7m,(#24 all-time among players aged 21y7m)
#14,Ilia Smirin,2704,33y6m,(#49 all-time among players aged 33y6m)
#15,Ruslan Ponomariov,2700,17y9m,(#4 all-time among players aged 17y9m)
#16,Alexey Dreev,2700,32y6m,(#65 all-time among players aged 32y6m)
#17,Judit Polgar,2697,25y0m,(#48 all-time among players aged 25y0m)
#18,Vladimir Akopian,2696,29y7m,(#68 all-time among players aged 29y7m)
#19,Nigel Short,2696,36y1m,(#54 all-time among players aged 36y1m)
#20,Alexander Khalifman,2695,35y6m,(#55 all-time among players aged 35y6m)
#21,Kiril Georgiev,2692,35y8m,(#62 all-time among players aged 35y8m)
#22,Loek van Wely,2690,28y9m,(#72 all-time among players aged 28y9m)
#23,Zurab Azmaiparashvili,2689,41y4m,(#42 all-time among players aged 41y4m)
#24,Predrag Nikolic,2683,40y10m,(#52 all-time among players aged 40y10m)
#25,Anatoly Karpov,2680,50y2m,(#20 all-time among players aged 50y2m)
#26,Zhang Zhong,2679,22y10m,(#52 all-time among players aged 22y10m)
#27,Alexander Grischuk,2678,17y9m,(#8 all-time among players aged 17y9m)
#28,Mikhail Gurevich,2677,42y5m,(#49 all-time among players aged 42y5m)
#29,Vladislav Tkachiev,2674,27y8m,(#95 all-time among players aged 27y8m)
#30,Joel Lautier,2673,28y3m,(#94 all-time among players aged 28y3m)
#31,Alexander Onischuk,2668,25y10m,(#90 all-time among players aged 25y10m)
#32,Viktor Bologan,2668,29y7m,(#112 all-time among players aged 29y7m)
#33,Vladimir Malakhov,2664,20y8m,(#38 all-time among players aged 20y8m)
#34,Alexander Beliavsky,2664,47y7m,(#33 all-time among players aged 47y7m)
#35,Vadim Zvjaginsev,2664,24y11m,(#91 all-time among players aged 24y11m)
#36,Konstantin Sakaev,2663,27y3m,(#112 all-time among players aged 27y3m)
#37,Ye Jiangchuan,2663,40y8m,(#67 all-time among players aged 40y8m)
#38,Andrei Kharlov,2662,32y8m,(#116 all-time among players aged 32y8m)
#39,Zoltan Almasi,2660,24y11m,(#98 all-time among players aged 24y11m)
#40,Ivan Sokolov,2655,33y1m,(#130 all-time among players aged 33y1m)
#41,Viktor Korchnoi,2655,70y4m,(#1 all-time among players aged 70y4m)
#42,Sergei Movsesian,2655,22y8m,(#80 all-time among players aged 22y8m)
#43,Jeroen Piket,2654,32y6m,(#131 all-time among players aged 32y6m)
#44,Alexander Lastin,2654,24y9m,(#110 all-time among players aged 24y9m)
#45,Sergei Rublevsky,2654,26y9m,(#115 all-time among players aged 26y9m)
#46,Aleksej Aleksandrov,2651,28y2m,(#129 all-time among players aged 28y2m)
#47,Evgeny Vladimirov,2651,44y6m,(#57 all-time among players aged 44y6m)
#48,Smbat Lputian,2650,43y5m,(#67 all-time among players aged 43y5m)
#49,Etienne Bacrot,2647,18y6m,(#22 all-time among players aged 18y6m)
#50,Vadim Milov,2646,28y11m,(#151 all-time among players aged 28y11m)
#51,Rafael Vaganian,2646,49y9m,(#38 all-time among players aged 49y9m)
#52,Rustem Dautov,2645,35y8m,(#129 all-time among players aged 35y8m)
#53,Igor Khenkin,2643,33y4m,(#142 all-time among players aged 33y4m)
#54,Igor Novikov,2643,39y2m,(#104 all-time among players aged 39y2m)
#55,Michal Krasenkow,2642,37y8m,(#110 all-time among players aged 37y8m)
#56,Zurab Sturua,2642,42y1m,(#100 all-time among players aged 42y1m)
#57,Jan Timman,2639,49y7m,(#39 all-time among players aged 49y7m)
#58,Alexander Graf,2638,38y11m,(#114 all-time among players aged 38y11m)
#59,Curt Hansen,2638,36y10m,(#132 all-time among players aged 36y10m)
#60,Sergei Tiviakov,2638,28y5m,(#173 all-time among players aged 28y5m)
#61,Jaan Ehlvest,2638,38y9m,(#119 all-time among players aged 38y9m)
#62,Artur Jussupow,2636,41y5m,(#112 all-time among players aged 41y5m)
#63,Matthew Sadler,2636,27y2m,(#167 all-time among players aged 27y2m)
#64,Emil Sutovsky,2634,23y10m,(#126 all-time among players aged 23y10m)
#65,Christopher Lutz,2634,30y5m,(#184 all-time among players aged 30y5m)
#66,Pavel Tregubov,2633,29y7m,(#195 all-time among players aged 29y7m)
#67,Yasser Seirawan,2630,41y4m,(#122 all-time among players aged 41y4m)
#68,Robert Hübner,2629,52y8m,(#37 all-time among players aged 52y8m)
#69,Boris Avrukh,2629,23y6m,(#128 all-time among players aged 23y6m)
#70,Alexander Motylev,2626,22y1m,(#103 all-time among players aged 22y1m)
#71,Rafael Leitao,2626,21y7m,(#93 all-time among players aged 21y7m)
#72,Lev Psakhis,2626,42y8m,(#112 all-time among players aged 42y8m)
#73,Sergey Dolmatov,2625,42y5m,(#120 all-time among players aged 42y5m)
#74,Murtas Kazhgaleyev,2625,,
#75,Jonathan Speelman,2624,44y9m,(#92 all-time among players aged 44y9m)
#76,Evgeniy Najer,2624,24y1m,(#154 all-time among players aged 24y1m)
#77,Alexei Fedorov,2623,28y10m,(#218 all-time among players aged 28y10m)
#78,Karen Asrian,2623,21y3m,(#84 all-time among players aged 21y3m)
#79,Konstantin Landa,2622,29y2m,(#224 all-time among players aged 29y2m)
#80,Evgenij Ermenkov,2621,51y10m,(#45 all-time among players aged 51y10m)
#81,Iosif Dorfman,2620,49y2m,(#55 all-time among players aged 49y2m)
#82,Vladimir Baklan,2619,23y5m,(#148 all-time among players aged 23y5m)
#83,Francisco Vallejo Pons,2619,18y11m,(#46 all-time among players aged 18y11m)
#84,Zbynek Hracek,2617,30y10m,(#233 all-time among players aged 30y10m)
#85,Evgeny Pigusov,2617,40y4m,(#145 all-time among players aged 40y4m)
#86,Boris Gulko,2616,54y5m,(#31 all-time among players aged 54y5m)
#87,Mihail Kobalija,2616,23y2m,(#151 all-time among players aged 23y2m)
#88,Viacheslav Eingorn,2616,44y8m,(#107 all-time among players aged 44y8m)
#89,Andrey Shariyazdanov,2614,25y0m,(#199 all-time among players aged 25y0m)
#90,Ulf Andersson,2614,50y1m,(#61 all-time among players aged 50y1m)
#91,Alexander Chernin,2614,41y4m,(#152 all-time among players aged 41y4m)
#92,Vladimir Epishin,2614,36y0m,(#204 all-time among players aged 36y0m)
#93,Semen Dvoiris,2612,42y8m,(#131 all-time among players aged 42y8m)
#94,Julian Hodgson,2611,38y0m,(#186 all-time among players aged 38y0m)
#95,Xu Jun,2611,38y10m,(#170 all-time among players aged 38y10m)
#96,Liviu-Dieter Nisipeanu,2611,24y11m,(#208 all-time among players aged 24y11m)
#97,Alon Greenfeld,2610,37y3m,(#190 all-time among players aged 37y3m)
#98,Alexander Galkin,2610,22y5m,(#152 all-time among players aged 22y5m)
#99,Gilberto Milos,2610,37y9m,(#198 all-time among players aged 37y9m)
#100,Krishnan Sasikiran,2610,20y6m,(#88 all-time among players aged 20y6m)
