,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: August 2001 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2862,38y4m,(#1 all-time among players aged 38y4m)
#2,Vladimir Kramnik,2826,26y2m,(#3 all-time among players aged 26y2m)
#3,Viswanathan Anand,2805,31y8m,(#5 all-time among players aged 31y8m)
#4,Peter Leko,2764,21y11m,(#10 all-time among players aged 21y11m)
#5,Alexander Morozevich,2761,24y1m,(#10 all-time among players aged 24y1m)
#6,Vassily Ivanchuk,2753,32y5m,(#18 all-time among players aged 32y5m)
#7,Michael Adams,2745,29y9m,(#22 all-time among players aged 29y9m)
#8,Evgeny Bareev,2741,34y9m,(#21 all-time among players aged 34y9m)
#9,Alexei Shirov,2741,29y1m,(#22 all-time among players aged 29y1m)
#10,Veselin Topalov,2735,26y5m,(#30 all-time among players aged 26y5m)
#11,Peter Svidler,2729,25y2m,(#26 all-time among players aged 25y2m)
#12,Boris Gelfand,2728,33y2m,(#31 all-time among players aged 33y2m)
#13,Rustam Kasimdzhanov,2708,21y8m,(#24 all-time among players aged 21y8m)
#14,Ilia Smirin,2704,33y7m,(#51 all-time among players aged 33y7m)
#15,Ruslan Ponomariov,2702,17y10m,(#4 all-time among players aged 17y10m)
#16,Nigel Short,2696,36y2m,(#53 all-time among players aged 36y2m)
#17,Alexey Dreev,2696,32y7m,(#69 all-time among players aged 32y7m)
#18,Judit Polgar,2696,25y1m,(#48 all-time among players aged 25y1m)
#19,Vladimir Akopian,2695,29y8m,(#66 all-time among players aged 29y8m)
#20,Alexander Khalifman,2694,35y7m,(#56 all-time among players aged 35y7m)
#21,Kiril Georgiev,2692,35y9m,(#60 all-time among players aged 35y9m)
#22,Loek van Wely,2692,28y10m,(#73 all-time among players aged 28y10m)
#23,Zurab Azmaiparashvili,2689,41y5m,(#43 all-time among players aged 41y5m)
#24,Predrag Nikolic,2683,40y11m,(#51 all-time among players aged 40y11m)
#25,Mikhail Gurevich,2679,42y6m,(#45 all-time among players aged 42y6m)
#26,Anatoly Karpov,2678,50y3m,(#20 all-time among players aged 50y3m)
#27,Alexander Grischuk,2677,17y10m,(#9 all-time among players aged 17y10m)
#28,Zhang Zhong,2677,22y11m,(#57 all-time among players aged 22y11m)
#29,Ye Jiangchuan,2672,40y9m,(#60 all-time among players aged 40y9m)
#30,Viktor Bologan,2672,29y8m,(#102 all-time among players aged 29y8m)
#31,Joel Lautier,2671,28y4m,(#100 all-time among players aged 28y4m)
#32,Konstantin Sakaev,2669,27y4m,(#97 all-time among players aged 27y4m)
#33,Alexander Onischuk,2668,25y11m,(#92 all-time among players aged 25y11m)
#34,Alexander Beliavsky,2667,47y8m,(#30 all-time among players aged 47y8m)
#35,Vladislav Tkachiev,2666,27y9m,(#107 all-time among players aged 27y9m)
#36,Vladimir Malakhov,2664,20y9m,(#38 all-time among players aged 20y9m)
#37,Andrei Kharlov,2664,32y9m,(#109 all-time among players aged 32y9m)
#38,Viktor Korchnoi,2664,70y5m,(#1 all-time among players aged 70y5m)
#39,Vadim Zvjaginsev,2663,25y0m,(#92 all-time among players aged 25y0m)
#40,Zoltan Almasi,2661,25y0m,(#100 all-time among players aged 25y0m)
#41,Smbat Lputian,2657,43y6m,(#54 all-time among players aged 43y6m)
#42,Jeroen Piket,2656,32y7m,(#131 all-time among players aged 32y7m)
#43,Aleksej Aleksandrov,2655,28y3m,(#128 all-time among players aged 28y3m)
#44,Alexander Lastin,2654,24y10m,(#114 all-time among players aged 24y10m)
#45,Sergei Movsesian,2654,22y9m,(#81 all-time among players aged 22y9m)
#46,Ivan Sokolov,2653,33y2m,(#124 all-time among players aged 33y2m)
#47,Sergei Rublevsky,2652,26y10m,(#119 all-time among players aged 26y10m)
#48,Etienne Bacrot,2648,18y7m,(#21 all-time among players aged 18y7m)
#49,Rafael Vaganian,2647,49y10m,(#38 all-time among players aged 49y10m)
#50,Michal Krasenkow,2647,37y9m,(#100 all-time among players aged 37y9m)
#51,Emil Sutovsky,2647,23y11m,(#103 all-time among players aged 23y11m)
#52,Evgeny Vladimirov,2645,44y7m,(#67 all-time among players aged 44y7m)
#53,Rustem Dautov,2644,35y9m,(#133 all-time among players aged 35y9m)
#54,Alexander Graf,2644,39y0m,(#107 all-time among players aged 39y0m)
#55,Boris Avrukh,2643,23y7m,(#107 all-time among players aged 23y7m)
#56,Zurab Sturua,2642,42y2m,(#94 all-time among players aged 42y2m)
#57,Igor Novikov,2641,39y3m,(#110 all-time among players aged 39y3m)
#58,Jan Timman,2640,49y8m,(#39 all-time among players aged 49y8m)
#59,Jaan Ehlvest,2639,38y10m,(#115 all-time among players aged 38y10m)
#60,Igor Khenkin,2639,33y5m,(#158 all-time among players aged 33y5m)
#61,Vadim Milov,2638,29y0m,(#171 all-time among players aged 29y0m)
#62,Curt Hansen,2638,36y11m,(#131 all-time among players aged 36y11m)
#63,Pavel Tregubov,2636,29y8m,(#187 all-time among players aged 29y8m)
#64,Artur Jussupow,2636,41y6m,(#111 all-time among players aged 41y6m)
#65,Christopher Lutz,2635,30y6m,(#182 all-time among players aged 30y6m)
#66,Evgeniy Najer,2632,24y2m,(#139 all-time among players aged 24y2m)
#67,Yasser Seirawan,2631,41y5m,(#119 all-time among players aged 41y5m)
#68,Matthew Sadler,2629,27y3m,(#185 all-time among players aged 27y3m)
#69,Lev Psakhis,2629,42y9m,(#100 all-time among players aged 42y9m)
#70,Rafael Leitao,2628,21y8m,(#96 all-time among players aged 21y8m)
#71,Alexander Motylev,2627,22y2m,(#105 all-time among players aged 22y2m)
#72,Sergei Tiviakov,2627,28y6m,(#200 all-time among players aged 28y6m)
#73,Peter Heine Nielsen,2627,28y3m,(#194 all-time among players aged 28y3m)
#74,Robert Hübner,2627,52y9m,(#37 all-time among players aged 52y9m)
#75,Karen Asrian,2627,21y4m,(#84 all-time among players aged 21y4m)
#76,Murtas Kazhgaleyev,2625,,
#77,Alexei Fedorov,2623,28y11m,(#218 all-time among players aged 28y11m)
#78,Mihail Kobalija,2621,23y3m,(#143 all-time among players aged 23y3m)
#79,Francisco Vallejo Pons,2620,19y0m,(#46 all-time among players aged 19y0m)
#80,Konstantin Landa,2620,29y3m,(#233 all-time among players aged 29y3m)
#81,Ioannis Papaioannou,2620,25y4m,(#191 all-time among players aged 25y4m)
#82,Gilberto Milos,2619,37y10m,(#167 all-time among players aged 37y10m)
#83,Iosif Dorfman,2619,49y3m,(#55 all-time among players aged 49y3m)
#84,Evgeny Pigusov,2619,40y5m,(#144 all-time among players aged 40y5m)
#85,Xu Jun,2618,38y11m,(#151 all-time among players aged 38y11m)
#86,Jonathan Speelman,2618,44y10m,(#103 all-time among players aged 44y10m)
#87,Viacheslav Eingorn,2617,44y9m,(#108 all-time among players aged 44y9m)
#88,Andrey Shariyazdanov,2616,25y1m,(#199 all-time among players aged 25y1m)
#89,Zbynek Hracek,2615,30y11m,(#249 all-time among players aged 30y11m)
#90,Evgenij Ermenkov,2615,51y11m,(#49 all-time among players aged 51y11m)
#91,Vladimir Baklan,2615,23y6m,(#156 all-time among players aged 23y6m)
#92,Joel Benjamin,2615,37y5m,(#184 all-time among players aged 37y5m)
#93,Sergey Dolmatov,2615,42y6m,(#130 all-time among players aged 42y6m)
#94,Boris Gulko,2614,54y6m,(#30 all-time among players aged 54y6m)
#95,Vladimir Epishin,2614,36y1m,(#194 all-time among players aged 36y1m)
#96,Semen Dvoiris,2614,42y9m,(#134 all-time among players aged 42y9m)
#97,Alexander Galkin,2614,22y6m,(#146 all-time among players aged 22y6m)
#98,Vasilios Kotronias,2613,37y0m,(#184 all-time among players aged 37y0m)
#99,Aleksander Delchev,2613,30y1m,(#256 all-time among players aged 30y1m)
#100,Julian Hodgson,2613,38y1m,(#179 all-time among players aged 38y1m)
