,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: September 2001 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2861,38y5m,(#1 all-time among players aged 38y5m)
#2,Vladimir Kramnik,2826,26y3m,(#3 all-time among players aged 26y3m)
#3,Viswanathan Anand,2805,31y9m,(#5 all-time among players aged 31y9m)
#4,Peter Leko,2764,22y0m,(#10 all-time among players aged 22y0m)
#5,Alexander Morozevich,2760,24y2m,(#11 all-time among players aged 24y2m)
#6,Vassily Ivanchuk,2752,32y6m,(#18 all-time among players aged 32y6m)
#7,Michael Adams,2745,29y10m,(#20 all-time among players aged 29y10m)
#8,Alexei Shirov,2741,29y2m,(#22 all-time among players aged 29y2m)
#9,Evgeny Bareev,2740,34y10m,(#21 all-time among players aged 34y10m)
#10,Veselin Topalov,2736,26y6m,(#28 all-time among players aged 26y6m)
#11,Boris Gelfand,2728,33y3m,(#29 all-time among players aged 33y3m)
#12,Peter Svidler,2727,25y3m,(#27 all-time among players aged 25y3m)
#13,Rustam Kasimdzhanov,2707,21y9m,(#26 all-time among players aged 21y9m)
#14,Ilia Smirin,2705,33y8m,(#51 all-time among players aged 33y8m)
#15,Ruslan Ponomariov,2704,17y11m,(#4 all-time among players aged 17y11m)
#16,Loek van Wely,2700,28y11m,(#60 all-time among players aged 28y11m)
#17,Alexey Dreev,2698,32y8m,(#65 all-time among players aged 32y8m)
#18,Nigel Short,2696,36y3m,(#55 all-time among players aged 36y3m)
#19,Alexander Khalifman,2696,35y8m,(#52 all-time among players aged 35y8m)
#20,Judit Polgar,2695,25y2m,(#48 all-time among players aged 25y2m)
#21,Kiril Georgiev,2692,35y10m,(#58 all-time among players aged 35y10m)
#22,Zurab Azmaiparashvili,2688,41y6m,(#41 all-time among players aged 41y6m)
#23,Vladimir Akopian,2687,29y9m,(#78 all-time among players aged 29y9m)
#24,Zhang Zhong,2679,23y0m,(#56 all-time among players aged 23y0m)
#25,Predrag Nikolic,2678,41y0m,(#54 all-time among players aged 41y0m)
#26,Anatoly Karpov,2676,50y4m,(#20 all-time among players aged 50y4m)
#27,Alexander Grischuk,2676,17y11m,(#9 all-time among players aged 17y11m)
#28,Ye Jiangchuan,2675,40y10m,(#57 all-time among players aged 40y10m)
#29,Alexander Onischuk,2674,26y0m,(#82 all-time among players aged 26y0m)
#30,Mikhail Gurevich,2672,42y7m,(#55 all-time among players aged 42y7m)
#31,Viktor Bologan,2672,29y9m,(#101 all-time among players aged 29y9m)
#32,Alexander Beliavsky,2668,47y9m,(#31 all-time among players aged 47y9m)
#33,Konstantin Sakaev,2668,27y5m,(#101 all-time among players aged 27y5m)
#34,Vladislav Tkachiev,2667,27y10m,(#105 all-time among players aged 27y10m)
#35,Joel Lautier,2665,28y5m,(#107 all-time among players aged 28y5m)
#36,Andrei Kharlov,2665,32y10m,(#105 all-time among players aged 32y10m)
#37,Vadim Zvjaginsev,2664,25y1m,(#93 all-time among players aged 25y1m)
#38,Viktor Korchnoi,2664,70y6m,(#1 all-time among players aged 70y6m)
#39,Jeroen Piket,2663,32y8m,(#111 all-time among players aged 32y8m)
#40,Vladimir Malakhov,2663,20y10m,(#44 all-time among players aged 20y10m)
#41,Zoltan Almasi,2660,25y1m,(#102 all-time among players aged 25y1m)
#42,Alexander Lastin,2656,24y11m,(#107 all-time among players aged 24y11m)
#43,Aleksej Aleksandrov,2656,28y4m,(#131 all-time among players aged 28y4m)
#44,Smbat Lputian,2655,43y7m,(#55 all-time among players aged 43y7m)
#45,Ivan Sokolov,2654,33y3m,(#120 all-time among players aged 33y3m)
#46,Rafael Vaganian,2653,49y11m,(#32 all-time among players aged 49y11m)
#47,Michal Krasenkow,2651,37y10m,(#100 all-time among players aged 37y10m)
#48,Etienne Bacrot,2651,18y8m,(#18 all-time among players aged 18y8m)
#49,Emil Sutovsky,2650,24y0m,(#101 all-time among players aged 24y0m)
