,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: November 2001 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2858,38y7m,(#2 all-time among players aged 38y7m)
#2,Vladimir Kramnik,2825,26y5m,(#3 all-time among players aged 26y5m)
#3,Viswanathan Anand,2802,31y11m,(#5 all-time among players aged 31y11m)
#4,Alexander Morozevich,2758,24y4m,(#10 all-time among players aged 24y4m)
#5,Peter Leko,2753,22y2m,(#11 all-time among players aged 22y2m)
#6,Vassily Ivanchuk,2751,32y8m,(#17 all-time among players aged 32y8m)
#7,Michael Adams,2746,30y0m,(#19 all-time among players aged 30y0m)
#8,Alexei Shirov,2744,29y4m,(#20 all-time among players aged 29y4m)
#9,Veselin Topalov,2737,26y8m,(#26 all-time among players aged 26y8m)
#10,Evgeny Bareev,2729,35y0m,(#26 all-time among players aged 35y0m)
#11,Boris Gelfand,2727,33y5m,(#31 all-time among players aged 33y5m)
#12,Ruslan Ponomariov,2726,18y1m,(#4 all-time among players aged 18y1m)
#13,Peter Svidler,2722,25y5m,(#33 all-time among players aged 25y5m)
#14,Ilia Smirin,2707,33y10m,(#49 all-time among players aged 33y10m)
#15,Rustam Kasimdzhanov,2705,21y11m,(#29 all-time among players aged 21y11m)
#16,Loek van Wely,2704,29y1m,(#53 all-time among players aged 29y1m)
#17,Alexey Dreev,2701,32y10m,(#56 all-time among players aged 32y10m)
#18,Kiril Georgiev,2699,36y0m,(#54 all-time among players aged 36y0m)
#19,Vladimir Akopian,2698,29y11m,(#62 all-time among players aged 29y11m)
#20,Alexander Khalifman,2698,35y10m,(#50 all-time among players aged 35y10m)
#21,Nigel Short,2691,36y5m,(#58 all-time among players aged 36y5m)
#22,Zurab Azmaiparashvili,2689,41y8m,(#39 all-time among players aged 41y8m)
#23,Judit Polgar,2688,25y4m,(#60 all-time among players aged 25y4m)
#24,Alexander Grischuk,2686,18y1m,(#8 all-time among players aged 18y1m)
#25,Anatoly Karpov,2682,50y6m,(#20 all-time among players aged 50y6m)
#26,Mikhail Gurevich,2678,42y9m,(#47 all-time among players aged 42y9m)
#27,Zhang Zhong,2677,23y2m,(#64 all-time among players aged 23y2m)
#28,Ye Jiangchuan,2677,41y0m,(#56 all-time among players aged 41y0m)
#29,Predrag Nikolic,2675,41y2m,(#54 all-time among players aged 41y2m)
#30,Vladimir Malakhov,2674,21y0m,(#38 all-time among players aged 21y0m)
#31,Zoltan Almasi,2670,25y3m,(#86 all-time among players aged 25y3m)
#32,Viktor Bologan,2670,29y11m,(#101 all-time among players aged 29y11m)
#33,Alexander Onischuk,2669,26y2m,(#93 all-time among players aged 26y2m)
#34,Vadim Zvjaginsev,2669,25y3m,(#89 all-time among players aged 25y3m)
#35,Konstantin Sakaev,2668,27y7m,(#105 all-time among players aged 27y7m)
#36,Alexander Beliavsky,2667,47y11m,(#33 all-time among players aged 47y11m)
#37,Joel Lautier,2666,28y7m,(#109 all-time among players aged 28y7m)
#38,Vladislav Tkachiev,2666,28y0m,(#108 all-time among players aged 28y0m)
#39,Jeroen Piket,2664,32y10m,(#110 all-time among players aged 32y10m)
#40,Rafael Vaganian,2663,50y1m,(#27 all-time among players aged 50y1m)
#41,Alexander Lastin,2661,25y1m,(#100 all-time among players aged 25y1m)
#42,Smbat Lputian,2661,43y9m,(#49 all-time among players aged 43y9m)
#43,Andrei Kharlov,2660,33y0m,(#116 all-time among players aged 33y0m)
#44,Ivan Sokolov,2660,33y5m,(#107 all-time among players aged 33y5m)
#45,Sergei Rublevsky,2660,27y1m,(#118 all-time among players aged 27y1m)
#46,Viktor Korchnoi,2658,70y8m,(#1 all-time among players aged 70y8m)
#47,Michal Krasenkow,2655,38y0m,(#95 all-time among players aged 38y0m)
