,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: December 2001 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2857,38y8m,(#2 all-time among players aged 38y8m)
#2,Vladimir Kramnik,2825,26y6m,(#4 all-time among players aged 26y6m)
#3,Viswanathan Anand,2795,32y0m,(#5 all-time among players aged 32y0m)
#4,Alexander Morozevich,2759,24y5m,(#9 all-time among players aged 24y5m)
#5,Michael Adams,2753,30y1m,(#16 all-time among players aged 30y1m)
#6,Alexei Shirov,2746,29y5m,(#21 all-time among players aged 29y5m)
#7,Peter Leko,2743,22y3m,(#13 all-time among players aged 22y3m)
#8,Vassily Ivanchuk,2739,32y9m,(#22 all-time among players aged 32y9m)
#9,Veselin Topalov,2739,26y9m,(#25 all-time among players aged 26y9m)
#10,Evgeny Bareev,2732,35y1m,(#25 all-time among players aged 35y1m)
#11,Boris Gelfand,2730,33y6m,(#27 all-time among players aged 33y6m)
#12,Ruslan Ponomariov,2727,18y2m,(#3 all-time among players aged 18y2m)
#13,Peter Svidler,2719,25y6m,(#32 all-time among players aged 25y6m)
#14,Ilia Smirin,2716,33y11m,(#43 all-time among players aged 33y11m)
#15,Rustam Kasimdzhanov,2707,22y0m,(#29 all-time among players aged 22y0m)
#16,Loek van Wely,2705,29y2m,(#52 all-time among players aged 29y2m)
#17,Alexey Dreev,2704,32y11m,(#54 all-time among players aged 32y11m)
#18,Vladimir Akopian,2700,30y0m,(#58 all-time among players aged 30y0m)
#19,Kiril Georgiev,2695,36y1m,(#56 all-time among players aged 36y1m)
#20,Judit Polgar,2693,25y5m,(#51 all-time among players aged 25y5m)
#21,Alexander Khalifman,2693,35y11m,(#60 all-time among players aged 35y11m)
#22,Zurab Azmaiparashvili,2690,41y9m,(#40 all-time among players aged 41y9m)
#23,Nigel Short,2689,36y6m,(#59 all-time among players aged 36y6m)
#24,Alexander Grischuk,2686,18y2m,(#8 all-time among players aged 18y2m)
#25,Joel Lautier,2686,28y8m,(#74 all-time among players aged 28y8m)
#26,Mikhail Gurevich,2681,42y10m,(#45 all-time among players aged 42y10m)
#27,Predrag Nikolic,2679,41y3m,(#50 all-time among players aged 41y3m)
#28,Anatoly Karpov,2679,50y7m,(#22 all-time among players aged 50y7m)
#29,Zhang Zhong,2678,23y3m,(#63 all-time among players aged 23y3m)
#30,Vadim Zvjaginsev,2675,25y4m,(#77 all-time among players aged 25y4m)
#31,Vladimir Malakhov,2673,21y1m,(#38 all-time among players aged 21y1m)
#32,Ye Jiangchuan,2672,41y1m,(#60 all-time among players aged 41y1m)
