,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year Forward three years,,,,
Monthly List: January 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2854,38y9m,(#2 all-time among players aged 38y9m)
#2,Vladimir Kramnik,2825,26y7m,(#4 all-time among players aged 26y7m)
#3,Viswanathan Anand,2792,32y1m,(#5 all-time among players aged 32y1m)
#4,Alexander Morozevich,2759,24y6m,(#10 all-time among players aged 24y6m)
#5,Michael Adams,2750,30y2m,(#20 all-time among players aged 30y2m)
#6,Peter Leko,2747,22y4m,(#13 all-time among players aged 22y4m)
#7,Vassily Ivanchuk,2746,32y10m,(#19 all-time among players aged 32y10m)
#8,Veselin Topalov,2741,26y10m,(#24 all-time among players aged 26y10m)
#9,Alexei Shirov,2740,29y6m,(#22 all-time among players aged 29y6m)
#10,Evgeny Bareev,2736,35y2m,(#23 all-time among players aged 35y2m)
#11,Ruslan Ponomariov,2734,18y3m,(#3 all-time among players aged 18y3m)
#12,Boris Gelfand,2733,33y7m,(#25 all-time among players aged 33y7m)
#13,Peter Svidler,2721,25y7m,(#32 all-time among players aged 25y7m)
#14,Ilia Smirin,2713,34y0m,(#43 all-time among players aged 34y0m)
#15,Rustam Kasimdzhanov,2705,22y1m,(#26 all-time among players aged 22y1m)
#16,Alexey Dreev,2702,33y0m,(#56 all-time among players aged 33y0m)
#17,Loek van Wely,2702,29y3m,(#57 all-time among players aged 29y3m)
#18,Vladimir Akopian,2697,30y1m,(#65 all-time among players aged 30y1m)
#19,Alexander Khalifman,2690,36y0m,(#60 all-time among players aged 36y0m)
#20,Judit Polgar,2690,25y6m,(#56 all-time among players aged 25y6m)
#21,Zurab Azmaiparashvili,2690,41y10m,(#38 all-time among players aged 41y10m)
#22,Kiril Georgiev,2686,36y2m,(#64 all-time among players aged 36y2m)
#23,Nigel Short,2686,36y7m,(#62 all-time among players aged 36y7m)
#24,Alexander Grischuk,2685,18y3m,(#8 all-time among players aged 18y3m)
#25,Joel Lautier,2684,28y9m,(#79 all-time among players aged 28y9m)
#26,Predrag Nikolic,2678,41y4m,(#54 all-time among players aged 41y4m)
#27,Mikhail Gurevich,2676,42y11m,(#47 all-time among players aged 42y11m)
