,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: March 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2852,38y11m,(#1 all-time among players aged 38y11m)
#2,Vladimir Kramnik,2826,26y9m,(#4 all-time among players aged 26y9m)
#3,Viswanathan Anand,2789,32y3m,(#5 all-time among players aged 32y3m)
#4,Michael Adams,2753,30y4m,(#18 all-time among players aged 30y4m)
#5,Evgeny Bareev,2751,35y4m,(#13 all-time among players aged 35y4m)
#6,Alexander Morozevich,2748,24y8m,(#14 all-time among players aged 24y8m)
#7,Peter Leko,2745,22y6m,(#16 all-time among players aged 22y6m)
#8,Ruslan Ponomariov,2743,18y5m,(#3 all-time among players aged 18y5m)
#9,Veselin Topalov,2741,27y0m,(#22 all-time among players aged 27y0m)
#10,Alexei Shirov,2739,29y8m,(#24 all-time among players aged 29y8m)
#11,Vassily Ivanchuk,2736,33y0m,(#24 all-time among players aged 33y0m)
#12,Boris Gelfand,2731,33y9m,(#26 all-time among players aged 33y9m)
#13,Peter Svidler,2721,25y9m,(#34 all-time among players aged 25y9m)
#14,Vladimir Akopian,2708,30y3m,(#49 all-time among players aged 30y3m)
#15,Alexander Grischuk,2706,18y5m,(#6 all-time among players aged 18y5m)
#16,Ilia Smirin,2705,34y2m,(#49 all-time among players aged 34y2m)
#17,Alexander Khalifman,2701,36y2m,(#48 all-time among players aged 36y2m)
#18,Alexey Dreev,2698,33y2m,(#57 all-time among players aged 33y2m)
#19,Judit Polgar,2696,25y8m,(#49 all-time among players aged 25y8m)
#20,Anatoly Karpov,2693,50y10m,(#18 all-time among players aged 50y10m)
#21,Nigel Short,2691,36y9m,(#52 all-time among players aged 36y9m)
#22,Rustam Kasimdzhanov,2689,22y3m,(#44 all-time among players aged 22y3m)
#23,Zurab Azmaiparashvili,2689,42y0m,(#39 all-time among players aged 42y0m)
#24,Predrag Nikolic,2686,41y6m,(#43 all-time among players aged 41y6m)
#25,Joel Lautier,2686,28y11m,(#81 all-time among players aged 28y11m)
#26,Vladimir Malakhov,2684,21y4m,(#31 all-time among players aged 21y4m)
#27,Kiril Georgiev,2682,36y4m,(#69 all-time among players aged 36y4m)
#28,Loek van Wely,2682,29y5m,(#90 all-time among players aged 29y5m)
#29,Vladislav Tkachiev,2676,28y4m,(#92 all-time among players aged 28y4m)
#30,Viktor Bologan,2674,30y3m,(#103 all-time among players aged 30y3m)
#31,Mikhail Gurevich,2674,43y1m,(#47 all-time among players aged 43y1m)
#32,Konstantin Sakaev,2674,27y11m,(#94 all-time among players aged 27y11m)
#33,Alexander Beliavsky,2672,48y3m,(#29 all-time among players aged 48y3m)
#34,Zoltan Almasi,2672,25y7m,(#83 all-time among players aged 25y7m)
#35,Ye Jiangchuan,2671,41y4m,(#62 all-time among players aged 41y4m)
#36,Alexander Graf,2671,39y7m,(#60 all-time among players aged 39y7m)
#37,Rafael Vaganian,2671,50y5m,(#24 all-time among players aged 50y5m)
#38,Vadim Zvjaginsev,2670,25y7m,(#87 all-time among players aged 25y7m)
#39,Jeroen Piket,2669,33y2m,(#95 all-time among players aged 33y2m)
#40,Aleksej Aleksandrov,2667,28y10m,(#106 all-time among players aged 28y10m)
#41,Andrei Kharlov,2664,33y4m,(#103 all-time among players aged 33y4m)
#42,Smbat Lputian,2663,44y1m,(#48 all-time among players aged 44y1m)
#43,Zhang Zhong,2662,23y6m,(#80 all-time among players aged 23y6m)
#44,Viktor Korchnoi,2660,71y0m,(#1 all-time among players aged 71y0m)
#45,Emil Sutovsky,2659,24y6m,(#92 all-time among players aged 24y6m)
#46,Ivan Sokolov,2657,33y9m,(#116 all-time among players aged 33y9m)
#47,Rustem Dautov,2657,36y4m,(#99 all-time among players aged 36y4m)
#48,Alexander Lastin,2657,25y5m,(#113 all-time among players aged 25y5m)
#49,Etienne Bacrot,2656,19y2m,(#18 all-time among players aged 19y2m)
#50,Alexander Onischuk,2652,26y6m,(#126 all-time among players aged 26y6m)
#51,Christopher Lutz,2651,31y1m,(#141 all-time among players aged 31y1m)
#52,Sergei Rublevsky,2651,27y5m,(#134 all-time among players aged 27y5m)
#53,Michal Krasenkow,2650,38y4m,(#100 all-time among players aged 38y4m)
#54,Sergei Movsesian,2648,23y4m,(#98 all-time among players aged 23y4m)
#55,Alexander Motylev,2647,22y9m,(#93 all-time among players aged 22y9m)
#56,Francisco Vallejo Pons,2644,19y7m,(#35 all-time among players aged 19y7m)
#57,Evgeny Vladimirov,2643,45y2m,(#60 all-time among players aged 45y2m)
#58,Jan Timman,2641,50y3m,(#35 all-time among players aged 50y3m)
#59,Vadim Milov,2641,29y7m,(#172 all-time among players aged 29y7m)
#60,Pavel Tregubov,2641,30y3m,(#169 all-time among players aged 30y3m)
#61,Xu Jun,2641,39y6m,(#107 all-time among players aged 39y6m)
#62,Peter Heine Nielsen,2640,28y10m,(#164 all-time among players aged 28y10m)
#63,Sergei Tiviakov,2639,29y1m,(#169 all-time among players aged 29y1m)
#64,Evgeny Pigusov,2638,41y0m,(#109 all-time among players aged 41y0m)
#65,Artur Jussupow,2638,42y1m,(#107 all-time among players aged 42y1m)
#66,Zurab Sturua,2637,42y9m,(#90 all-time among players aged 42y9m)
#67,Robert Hübner,2636,53y4m,(#32 all-time among players aged 53y4m)
#68,Evgeniy Najer,2635,24y9m,(#148 all-time among players aged 24y9m)
#69,Igor Novikov,2634,39y10m,(#116 all-time among players aged 39y10m)
#70,Lev Psakhis,2634,43y4m,(#86 all-time among players aged 43y4m)
#71,Vladimir Baklan,2633,24y1m,(#135 all-time among players aged 24y1m)
#72,Curt Hansen,2632,37y6m,(#124 all-time among players aged 37y6m)
#73,Mihail Kobalija,2632,23y10m,(#131 all-time among players aged 23y10m)
#74,Igor Khenkin,2632,34y0m,(#174 all-time among players aged 34y0m)
#75,Gregory Kaidanov,2631,42y5m,(#110 all-time among players aged 42y5m)
#76,Ioannis Papaioannou,2630,25y11m,(#162 all-time among players aged 25y11m)
#77,Iosif Dorfman,2629,49y10m,(#47 all-time among players aged 49y10m)
#78,Karen Asrian,2627,21y11m,(#107 all-time among players aged 21y11m)
#79,Andrey Sokolov,2624,39y0m,(#137 all-time among players aged 39y0m)
#80,Liviu-Dieter Nisipeanu,2624,25y7m,(#181 all-time among players aged 25y7m)
#81,Sergey Dolmatov,2624,43y1m,(#111 all-time among players aged 43y1m)
#82,Matthew Sadler,2623,27y10m,(#197 all-time among players aged 27y10m)
#83,Ashot Anastasian,2623,37y8m,(#154 all-time among players aged 37y8m)
#84,Konstantin Landa,2623,29y10m,(#222 all-time among players aged 29y10m)
#85,Vladimir Epishin,2623,36y8m,(#162 all-time among players aged 36y8m)
#86,Joel Benjamin,2622,38y0m,(#149 all-time among players aged 38y0m)
#87,Murtas Kazhgaleyev,2622,,
#88,Jaan Ehlvest,2621,39y5m,(#142 all-time among players aged 39y5m)
#89,Sergey Volkov,2621,28y1m,(#206 all-time among players aged 28y1m)
#90,Andrey Shariyazdanov,2621,25y8m,(#194 all-time among players aged 25y8m)
#91,Krishnan Sasikiran,2619,21y2m,(#89 all-time among players aged 21y2m)
#92,Julian Hodgson,2618,38y8m,(#157 all-time among players aged 38y8m)
#93,Alexander Shabalov,2618,34y6m,(#209 all-time among players aged 34y6m)
#94,Yasser Seirawan,2618,42y0m,(#137 all-time among players aged 42y0m)
#95,Andrei Istratescu,2617,26y3m,(#208 all-time among players aged 26y3m)
#96,Valerij Filippov,2617,26y4m,(#209 all-time among players aged 26y4m)
#97,Ulf Andersson,2616,50y9m,(#57 all-time among players aged 50y9m)
#98,Zdenko Kožul,2615,35y10m,(#205 all-time among players aged 35y10m)
#99,Yuri Yakovich,2615,39y4m,(#162 all-time among players aged 39y4m)
#100,Alexander Galkin,2614,23y1m,(#160 all-time among players aged 23y1m)
