,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: April 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2854,39y0m,(#1 all-time among players aged 39y0m)
#2,Vladimir Kramnik,2825,26y10m,(#5 all-time among players aged 26y10m)
#3,Viswanathan Anand,2785,32y4m,(#6 all-time among players aged 32y4m)
#4,Michael Adams,2757,30y5m,(#18 all-time among players aged 30y5m)
#5,Ruslan Ponomariov,2748,18y6m,(#3 all-time among players aged 18y6m)
#6,Veselin Topalov,2747,27y1m,(#22 all-time among players aged 27y1m)
#7,Evgeny Bareev,2745,35y5m,(#16 all-time among players aged 35y5m)
#8,Alexander Morozevich,2741,24y9m,(#17 all-time among players aged 24y9m)
#9,Peter Leko,2741,22y7m,(#17 all-time among players aged 22y7m)
#10,Vassily Ivanchuk,2740,33y1m,(#20 all-time among players aged 33y1m)
#11,Boris Gelfand,2734,33y10m,(#24 all-time among players aged 33y10m)
#12,Peter Svidler,2730,25y10m,(#28 all-time among players aged 25y10m)
#13,Alexei Shirov,2729,29y9m,(#30 all-time among players aged 29y9m)
#14,Vladimir Akopian,2709,30y4m,(#49 all-time among players aged 30y4m)
#15,Alexander Grischuk,2708,18y6m,(#6 all-time among players aged 18y6m)
#16,Ilia Smirin,2703,34y3m,(#51 all-time among players aged 34y3m)
#17,Alexander Khalifman,2701,36y3m,(#49 all-time among players aged 36y3m)
#18,Alexey Dreev,2700,33y3m,(#51 all-time among players aged 33y3m)
#19,Judit Polgar,2694,25y9m,(#54 all-time among players aged 25y9m)
#20,Nigel Short,2692,36y10m,(#50 all-time among players aged 36y10m)
#21,Zurab Azmaiparashvili,2687,42y1m,(#41 all-time among players aged 42y1m)
#22,Rustam Kasimdzhanov,2687,22y4m,(#42 all-time among players aged 22y4m)
#23,Joel Lautier,2685,29y0m,(#82 all-time among players aged 29y0m)
#24,Vladimir Malakhov,2685,21y5m,(#35 all-time among players aged 21y5m)
