,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: May 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2852,39y1m,(#1 all-time among players aged 39y1m)
#2,Vladimir Kramnik,2825,26y11m,(#5 all-time among players aged 26y11m)
#3,Viswanathan Anand,2784,32y5m,(#8 all-time among players aged 32y5m)
#4,Veselin Topalov,2756,27y2m,(#15 all-time among players aged 27y2m)
#5,Michael Adams,2754,30y6m,(#19 all-time among players aged 30y6m)
#6,Ruslan Ponomariov,2750,18y7m,(#3 all-time among players aged 18y7m)
#7,Evgeny Bareev,2746,35y6m,(#15 all-time among players aged 35y6m)
#8,Peter Leko,2740,22y8m,(#17 all-time among players aged 22y8m)
#9,Alexander Morozevich,2740,24y10m,(#21 all-time among players aged 24y10m)
#10,Vassily Ivanchuk,2738,33y2m,(#24 all-time among players aged 33y2m)
#11,Boris Gelfand,2734,33y11m,(#24 all-time among players aged 33y11m)
#12,Peter Svidler,2730,25y11m,(#26 all-time among players aged 25y11m)
#13,Alexei Shirov,2729,29y10m,(#30 all-time among players aged 29y10m)
#14,Vladimir Akopian,2709,30y5m,(#50 all-time among players aged 30y5m)
#15,Alexander Grischuk,2708,18y7m,(#6 all-time among players aged 18y7m)
#16,Alexander Khalifman,2701,36y4m,(#49 all-time among players aged 36y4m)
#17,Alexey Dreev,2700,33y4m,(#53 all-time among players aged 33y4m)
#18,Ilia Smirin,2700,34y4m,(#56 all-time among players aged 34y4m)
#19,Judit Polgar,2694,25y10m,(#54 all-time among players aged 25y10m)
#20,Nigel Short,2690,36y11m,(#52 all-time among players aged 36y11m)
#21,Rustam Kasimdzhanov,2688,22y5m,(#42 all-time among players aged 22y5m)
#22,Vladimir Malakhov,2687,21y6m,(#35 all-time among players aged 21y6m)
#23,Zurab Azmaiparashvili,2687,42y2m,(#42 all-time among players aged 42y2m)
#24,Joel Lautier,2685,29y1m,(#79 all-time among players aged 29y1m)
#25,Predrag Nikolic,2683,41y8m,(#46 all-time among players aged 41y8m)
#26,Kiril Georgiev,2681,36y6m,(#66 all-time among players aged 36y6m)
