,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: June 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2851,39y2m,(#1 all-time among players aged 39y2m)
#2,Vladimir Kramnik,2822,27y0m,(#5 all-time among players aged 27y0m)
#3,Viswanathan Anand,2783,32y6m,(#8 all-time among players aged 32y6m)
#4,Veselin Topalov,2756,27y3m,(#16 all-time among players aged 27y3m)
#5,Michael Adams,2753,30y7m,(#21 all-time among players aged 30y7m)
#6,Ruslan Ponomariov,2750,18y8m,(#3 all-time among players aged 18y8m)
#7,Peter Leko,2749,22y9m,(#14 all-time among players aged 22y9m)
#8,Evgeny Bareev,2746,35y7m,(#16 all-time among players aged 35y7m)
#9,Vassily Ivanchuk,2738,33y3m,(#23 all-time among players aged 33y3m)
#10,Alexander Morozevich,2737,24y11m,(#23 all-time among players aged 24y11m)
#11,Boris Gelfand,2733,34y0m,(#24 all-time among players aged 34y0m)
#12,Peter Svidler,2730,26y0m,(#28 all-time among players aged 26y0m)
#13,Alexei Shirov,2727,29y11m,(#29 all-time among players aged 29y11m)
#14,Vladimir Akopian,2709,30y6m,(#46 all-time among players aged 30y6m)
#15,Alexander Grischuk,2708,18y8m,(#7 all-time among players aged 18y8m)
#16,Alexey Dreev,2700,33y5m,(#54 all-time among players aged 33y5m)
#17,Alexander Khalifman,2700,36y5m,(#52 all-time among players aged 36y5m)
#18,Ilia Smirin,2699,34y5m,(#59 all-time among players aged 34y5m)
#19,Vladimir Malakhov,2693,21y7m,(#29 all-time among players aged 21y7m)
#20,Vadim Zvjaginsev,2693,25y10m,(#55 all-time among players aged 25y10m)
#21,Judit Polgar,2693,25y11m,(#55 all-time among players aged 25y11m)
#22,Nigel Short,2691,37y0m,(#49 all-time among players aged 37y0m)
#23,Zurab Azmaiparashvili,2685,42y3m,(#42 all-time among players aged 42y3m)
#24,Loek van Wely,2684,29y8m,(#83 all-time among players aged 29y8m)
