,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: July 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2850,39y3m,(#1 all-time among players aged 39y3m)
#2,Vladimir Kramnik,2822,27y1m,(#5 all-time among players aged 27y1m)
#3,Viswanathan Anand,2782,32y7m,(#8 all-time among players aged 32y7m)
#4,Veselin Topalov,2758,27y4m,(#14 all-time among players aged 27y4m)
#5,Michael Adams,2757,30y8m,(#17 all-time among players aged 30y8m)
#6,Ruslan Ponomariov,2749,18y9m,(#3 all-time among players aged 18y9m)
#7,Peter Leko,2749,22y10m,(#14 all-time among players aged 22y10m)
#8,Evgeny Bareev,2743,35y8m,(#20 all-time among players aged 35y8m)
#9,Alexander Morozevich,2737,25y0m,(#23 all-time among players aged 25y0m)
#10,Vassily Ivanchuk,2737,33y4m,(#24 all-time among players aged 33y4m)
#11,Boris Gelfand,2732,34y1m,(#25 all-time among players aged 34y1m)
#12,Peter Svidler,2730,26y1m,(#29 all-time among players aged 26y1m)
#13,Alexei Shirov,2726,30y0m,(#29 all-time among players aged 30y0m)
#14,Vladimir Akopian,2710,30y7m,(#47 all-time among players aged 30y7m)
#15,Alexander Grischuk,2708,18y9m,(#7 all-time among players aged 18y9m)
#16,Alexander Khalifman,2702,36y6m,(#49 all-time among players aged 36y6m)
#17,Alexey Dreev,2700,33y6m,(#55 all-time among players aged 33y6m)
#18,Ilia Smirin,2699,34y6m,(#58 all-time among players aged 34y6m)
#19,Loek van Wely,2695,29y9m,(#67 all-time among players aged 29y9m)
#20,Vadim Zvjaginsev,2693,25y11m,(#56 all-time among players aged 25y11m)
#21,Judit Polgar,2692,26y0m,(#53 all-time among players aged 26y0m)
#22,Vladimir Malakhov,2692,21y8m,(#34 all-time among players aged 21y8m)
#23,Nigel Short,2692,37y1m,(#50 all-time among players aged 37y1m)
#24,Joel Lautier,2687,29y3m,(#78 all-time among players aged 29y3m)
#25,Zurab Azmaiparashvili,2682,42y4m,(#44 all-time among players aged 42y4m)
#26,Kiril Georgiev,2682,36y8m,(#63 all-time among players aged 36y8m)
#27,Predrag Nikolic,2682,41y10m,(#45 all-time among players aged 41y10m)
#28,Mikhail Gurevich,2678,43y5m,(#41 all-time among players aged 43y5m)
