,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: October 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2843,39y6m,(#1 all-time among players aged 39y6m)
#2,Vladimir Kramnik,2818,27y4m,(#5 all-time among players aged 27y4m)
#3,Viswanathan Anand,2776,32y10m,(#9 all-time among players aged 32y10m)
#4,Peter Leko,2760,23y1m,(#10 all-time among players aged 23y1m)
#5,Veselin Topalov,2757,27y7m,(#14 all-time among players aged 27y7m)
#6,Michael Adams,2752,30y11m,(#20 all-time among players aged 30y11m)
#7,Ruslan Ponomariov,2750,19y0m,(#4 all-time among players aged 19y0m)
#8,Evgeny Bareev,2740,35y11m,(#25 all-time among players aged 35y11m)
#9,Vassily Ivanchuk,2737,33y7m,(#20 all-time among players aged 33y7m)
#10,Peter Svidler,2732,26y4m,(#29 all-time among players aged 26y4m)
#11,Alexei Shirov,2732,30y3m,(#27 all-time among players aged 30y3m)
#12,Boris Gelfand,2726,34y4m,(#32 all-time among players aged 34y4m)
#13,Alexander Morozevich,2724,25y3m,(#30 all-time among players aged 25y3m)
#14,Alexander Grischuk,2718,19y0m,(#6 all-time among players aged 19y0m)
#15,Alexey Dreev,2705,33y9m,(#53 all-time among players aged 33y9m)
#16,Alexander Khalifman,2704,36y9m,(#45 all-time among players aged 36y9m)
#17,Judit Polgar,2704,26y3m,(#50 all-time among players aged 26y3m)
#18,Loek van Wely,2703,30y0m,(#51 all-time among players aged 30y0m)
#19,Ilia Smirin,2699,34y9m,(#60 all-time among players aged 34y9m)
#20,Vladimir Akopian,2699,30y10m,(#58 all-time among players aged 30y10m)
#21,Joel Lautier,2689,29y6m,(#75 all-time among players aged 29y6m)
#22,Vadim Zvjaginsev,2688,26y2m,(#63 all-time among players aged 26y2m)
#23,Zurab Azmaiparashvili,2685,42y7m,(#41 all-time among players aged 42y7m)
#24,Vladimir Malakhov,2680,21y11m,(#41 all-time among players aged 21y11m)
#25,Nigel Short,2680,37y4m,(#61 all-time among players aged 37y4m)
#26,Konstantin Sakaev,2677,28y6m,(#92 all-time among players aged 28y6m)
#27,Kiril Georgiev,2676,36y11m,(#70 all-time among players aged 36y11m)
#28,Anatoly Karpov,2674,51y5m,(#25 all-time among players aged 51y5m)
#29,Vladislav Tkachiev,2674,28y11m,(#94 all-time among players aged 28y11m)
#30,Ivan Sokolov,2672,34y4m,(#87 all-time among players aged 34y4m)
#31,Mikhail Gurevich,2670,43y8m,(#45 all-time among players aged 43y8m)
#32,Rustam Kasimdzhanov,2669,22y10m,(#63 all-time among players aged 22y10m)
#33,Emil Sutovsky,2665,25y1m,(#91 all-time among players aged 25y1m)
#34,Zoltan Almasi,2665,26y2m,(#101 all-time among players aged 26y2m)
#35,Predrag Nikolic,2664,42y1m,(#61 all-time among players aged 42y1m)
#36,Sergei Rublevsky,2664,28y0m,(#111 all-time among players aged 28y0m)
#37,Alexander Beliavsky,2663,48y10m,(#25 all-time among players aged 48y10m)
#38,Zhang Zhong,2663,24y1m,(#84 all-time among players aged 24y1m)
#39,Alexander Motylev,2662,23y4m,(#83 all-time among players aged 23y4m)
#40,Alexander Graf,2661,40y2m,(#66 all-time among players aged 40y2m)
#41,Sergei Movsesian,2660,23y11m,(#86 all-time among players aged 23y11m)
#42,Ye Jiangchuan,2660,41y11m,(#64 all-time among players aged 41y11m)
#43,Viktor Bologan,2659,30y10m,(#123 all-time among players aged 30y10m)
#44,Rafael Vaganian,2658,51y0m,(#30 all-time among players aged 51y0m)
#45,Alexander Lastin,2658,26y0m,(#111 all-time among players aged 26y0m)
#46,Jeroen Piket,2658,33y9m,(#114 all-time among players aged 33y9m)
#47,Aleksej Aleksandrov,2656,29y5m,(#130 all-time among players aged 29y5m)
#48,Lev Psakhis,2655,43y11m,(#56 all-time among players aged 43y11m)
#49,Etienne Bacrot,2655,19y9m,(#31 all-time among players aged 19y9m)
#50,Christopher Lutz,2655,31y8m,(#139 all-time among players aged 31y8m)
#51,Francisco Vallejo Pons,2654,20y2m,(#38 all-time among players aged 20y2m)
#52,Alexander Onischuk,2653,27y1m,(#127 all-time among players aged 27y1m)
#53,Viktor Korchnoi,2649,71y7m,(#1 all-time among players aged 71y7m)
#54,Michal Krasenkow,2648,38y11m,(#97 all-time among players aged 38y11m)
#55,Gregory Kaidanov,2648,43y0m,(#69 all-time among players aged 43y0m)
#56,Evgeny Pigusov,2647,41y7m,(#90 all-time among players aged 41y7m)
#57,Andrei Kharlov,2647,33y11m,(#135 all-time among players aged 33y11m)
#58,Sergei Tiviakov,2646,29y8m,(#150 all-time among players aged 29y8m)
#59,Smbat Lputian,2645,44y8m,(#65 all-time among players aged 44y8m)
#60,Vladimir Baklan,2642,24y8m,(#131 all-time among players aged 24y8m)
#61,Mihail Kobalija,2642,24y5m,(#123 all-time among players aged 24y5m)
#62,Sergey Volkov,2641,28y8m,(#165 all-time among players aged 28y8m)
#63,Evgeny Vladimirov,2641,45y9m,(#59 all-time among players aged 45y9m)
#64,Lenier Dominguez,2640,19y1m,(#33 all-time among players aged 19y1m)
#65,Rustem Dautov,2640,36y11m,(#125 all-time among players aged 36y11m)
#66,Merab Gagunashvili,2639,17y9m,(#18 all-time among players aged 17y9m)
#67,Krishnan Sasikiran,2636,21y9m,(#82 all-time among players aged 21y9m)
#68,Andrei Istratescu,2636,26y10m,(#163 all-time among players aged 26y10m)
#69,Murtas Kazhgaleyev,2634,,
#70,Pavel Tregubov,2634,30y10m,(#179 all-time among players aged 30y10m)
#71,Peter Heine Nielsen,2634,29y5m,(#191 all-time among players aged 29y5m)
#72,Xu Jun,2633,40y1m,(#116 all-time among players aged 40y1m)
#73,Lazaro Bruzon Bautista,2631,20y5m,(#60 all-time among players aged 20y5m)
#74,Igor Khenkin,2631,34y7m,(#174 all-time among players aged 34y7m)
#75,Karen Asrian,2630,22y6m,(#111 all-time among players aged 22y6m)
#76,Zurab Sturua,2628,43y4m,(#98 all-time among players aged 43y4m)
#77,Igor Novikov,2628,40y5m,(#122 all-time among players aged 40y5m)
#78,Teimour Radjabov,2628,15y7m,(#6 all-time among players aged 15y7m)
#79,Vadim Milov,2627,30y2m,(#201 all-time among players aged 30y2m)
#80,Iosif Dorfman,2626,50y5m,(#51 all-time among players aged 50y5m)
#81,Viacheslav Eingorn,2625,45y11m,(#75 all-time among players aged 45y11m)
#82,Jaan Ehlvest,2624,40y0m,(#126 all-time among players aged 40y0m)
#83,Vladimir Epishin,2624,37y3m,(#157 all-time among players aged 37y3m)
#84,Bartlomiej Macieja,2623,25y0m,(#179 all-time among players aged 25y0m)
#85,Artur Jussupow,2622,42y8m,(#118 all-time among players aged 42y8m)
#86,Vasily Yemelin,2622,26y8m,(#206 all-time among players aged 26y8m)
#87,Sergey Dolmatov,2621,43y8m,(#111 all-time among players aged 43y8m)
#88,Jan Timman,2619,50y10m,(#54 all-time among players aged 50y10m)
#89,Joel Benjamin,2619,38y7m,(#152 all-time among players aged 38y7m)
#90,Vladislav Borovikov,2619,29y2m,(#235 all-time among players aged 29y2m)
#91,Evgeniy Najer,2619,25y4m,(#198 all-time among players aged 25y4m)
#92,Konstantin Landa,2619,30y5m,(#232 all-time among players aged 30y5m)
#93,Zviad Izoria,2618,18y9m,(#43 all-time among players aged 18y9m)
#94,Andrey Sokolov,2617,39y7m,(#153 all-time among players aged 39y7m)
#95,Shakhriyar Mamedyarov,2617,17y6m,(#23 all-time among players aged 17y6m)
#96,Alexander Goldin,2617,37y8m,(#173 all-time among players aged 37y8m)
#97,Levon Aronian,2617,20y0m,(#66 all-time among players aged 20y0m)
#98,Alexey Kuzmin,2616,39y7m,(#158 all-time among players aged 39y7m)
#99,Boris Avrukh,2616,24y9m,(#196 all-time among players aged 24y9m)
#100,Sarunas Sulskis,2615,29y11m,(#244 all-time among players aged 29y11m)
