,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: November 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2848,39y7m,(#1 all-time among players aged 39y7m)
#2,Vladimir Kramnik,2818,27y5m,(#6 all-time among players aged 27y5m)
#3,Viswanathan Anand,2778,32y11m,(#9 all-time among players aged 32y11m)
#4,Veselin Topalov,2757,27y8m,(#14 all-time among players aged 27y8m)
#5,Peter Leko,2757,23y2m,(#10 all-time among players aged 23y2m)
#6,Ruslan Ponomariov,2753,19y1m,(#4 all-time among players aged 19y1m)
#7,Michael Adams,2750,31y0m,(#19 all-time among players aged 31y0m)
#8,Peter Svidler,2742,26y5m,(#21 all-time among players aged 26y5m)
#9,Alexei Shirov,2740,30y4m,(#27 all-time among players aged 30y4m)
#10,Evgeny Bareev,2738,36y0m,(#27 all-time among players aged 36y0m)
#11,Vassily Ivanchuk,2734,33y8m,(#23 all-time among players aged 33y8m)
#12,Boris Gelfand,2720,34y5m,(#39 all-time among players aged 34y5m)
#13,Alexander Grischuk,2716,19y1m,(#8 all-time among players aged 19y1m)
#14,Alexey Dreev,2711,33y10m,(#45 all-time among players aged 33y10m)
#15,Alexander Khalifman,2707,36y10m,(#44 all-time among players aged 36y10m)
#16,Judit Polgar,2706,26y4m,(#49 all-time among players aged 26y4m)
#17,Alexander Morozevich,2705,25y4m,(#43 all-time among players aged 25y4m)
#18,Vladimir Akopian,2705,30y11m,(#53 all-time among players aged 30y11m)
#19,Loek van Wely,2702,30y1m,(#54 all-time among players aged 30y1m)
#20,Ilia Smirin,2697,34y10m,(#63 all-time among players aged 34y10m)
#21,Vladimir Malakhov,2691,22y0m,(#35 all-time among players aged 22y0m)
#22,Joel Lautier,2690,29y7m,(#76 all-time among players aged 29y7m)
#23,Vadim Zvjaginsev,2689,26y3m,(#63 all-time among players aged 26y3m)
#24,Nigel Short,2688,37y5m,(#54 all-time among players aged 37y5m)
#25,Rustam Kasimdzhanov,2686,22y11m,(#44 all-time among players aged 22y11m)
#26,Zurab Azmaiparashvili,2681,42y8m,(#42 all-time among players aged 42y8m)
#27,Ivan Sokolov,2677,34y5m,(#85 all-time among players aged 34y5m)
#28,Predrag Nikolic,2676,42y2m,(#54 all-time among players aged 42y2m)
#29,Konstantin Sakaev,2676,28y7m,(#90 all-time among players aged 28y7m)
#30,Anatoly Karpov,2675,51y6m,(#24 all-time among players aged 51y6m)
#31,Vladislav Tkachiev,2674,29y0m,(#92 all-time among players aged 29y0m)
#32,Kiril Georgiev,2673,37y0m,(#74 all-time among players aged 37y0m)
#33,Alexander Beliavsky,2670,48y11m,(#23 all-time among players aged 48y11m)
#34,Zhang Zhong,2669,24y2m,(#72 all-time among players aged 24y2m)
#35,Ye Jiangchuan,2668,42y0m,(#57 all-time among players aged 42y0m)
#36,Mikhail Gurevich,2668,43y9m,(#43 all-time among players aged 43y9m)
#37,Emil Sutovsky,2667,25y2m,(#90 all-time among players aged 25y2m)
#38,Sergei Rublevsky,2664,28y1m,(#112 all-time among players aged 28y1m)
#39,Viktor Bologan,2663,30y11m,(#119 all-time among players aged 30y11m)
#40,Aleksej Aleksandrov,2663,29y6m,(#121 all-time among players aged 29y6m)
#41,Sergei Movsesian,2662,24y0m,(#87 all-time among players aged 24y0m)
#42,Alexander Motylev,2662,23y5m,(#81 all-time among players aged 23y5m)
#43,Etienne Bacrot,2660,19y10m,(#27 all-time among players aged 19y10m)
#44,Zoltan Almasi,2660,26y3m,(#108 all-time among players aged 26y3m)
#45,Alexander Graf,2660,40y3m,(#72 all-time among players aged 40y3m)
#46,Rafael Vaganian,2659,51y1m,(#31 all-time among players aged 51y1m)
#47,Alexander Lastin,2657,26y1m,(#112 all-time among players aged 26y1m)
#48,Francisco Vallejo Pons,2655,20y3m,(#35 all-time among players aged 20y3m)
#49,Merab Gagunashvili,2655,17y10m,(#14 all-time among players aged 17y10m)
#50,Jeroen Piket,2654,33y10m,(#124 all-time among players aged 33y10m)
#51,Alexander Onischuk,2653,27y2m,(#130 all-time among players aged 27y2m)
#52,Gregory Kaidanov,2653,43y1m,(#67 all-time among players aged 43y1m)
#53,Christopher Lutz,2652,31y9m,(#143 all-time among players aged 31y9m)
#54,Lev Psakhis,2650,44y0m,(#61 all-time among players aged 44y0m)
#55,Michal Krasenkow,2650,39y0m,(#96 all-time among players aged 39y0m)
#56,Viktor Korchnoi,2650,71y8m,(#1 all-time among players aged 71y8m)
#57,Evgeny Pigusov,2649,41y8m,(#88 all-time among players aged 41y8m)
#58,Andrei Kharlov,2648,34y0m,(#134 all-time among players aged 34y0m)
#59,Smbat Lputian,2647,44y9m,(#63 all-time among players aged 44y9m)
#60,Sergei Tiviakov,2646,29y9m,(#151 all-time among players aged 29y9m)
#61,Mihail Kobalija,2645,24y6m,(#120 all-time among players aged 24y6m)
#62,Rustem Dautov,2644,37y0m,(#113 all-time among players aged 37y0m)
#63,Lenier Dominguez,2643,19y2m,(#30 all-time among players aged 19y2m)
#64,Evgeny Vladimirov,2641,45y10m,(#55 all-time among players aged 45y10m)
#65,Vladimir Baklan,2640,24y9m,(#139 all-time among players aged 24y9m)
#66,Sergey Volkov,2639,28y9m,(#169 all-time among players aged 28y9m)
