,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: December 2002 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2853,39y8m,(#1 all-time among players aged 39y8m)
#2,Vladimir Kramnik,2816,27y6m,(#6 all-time among players aged 27y6m)
#3,Viswanathan Anand,2777,33y0m,(#9 all-time among players aged 33y0m)
#4,Veselin Topalov,2756,27y9m,(#14 all-time among players aged 27y9m)
#5,Peter Leko,2755,23y3m,(#10 all-time among players aged 23y3m)
#6,Michael Adams,2752,31y1m,(#19 all-time among players aged 31y1m)
#7,Ruslan Ponomariov,2749,19y2m,(#4 all-time among players aged 19y2m)
#8,Alexei Shirov,2739,30y5m,(#27 all-time among players aged 30y5m)
#9,Evgeny Bareev,2736,36y1m,(#26 all-time among players aged 36y1m)
#10,Peter Svidler,2732,26y6m,(#34 all-time among players aged 26y6m)
#11,Vassily Ivanchuk,2726,33y9m,(#28 all-time among players aged 33y9m)
#12,Judit Polgar,2723,26y5m,(#40 all-time among players aged 26y5m)
#13,Boris Gelfand,2722,34y6m,(#37 all-time among players aged 34y6m)
#14,Alexander Grischuk,2717,19y2m,(#9 all-time among players aged 19y2m)
#15,Vladimir Akopian,2714,31y0m,(#44 all-time among players aged 31y0m)
#16,Alexander Khalifman,2711,36y11m,(#40 all-time among players aged 36y11m)
#17,Alexey Dreev,2709,33y11m,(#46 all-time among players aged 33y11m)
#18,Alexander Morozevich,2700,25y5m,(#44 all-time among players aged 25y5m)
#19,Loek van Wely,2700,30y2m,(#60 all-time among players aged 30y2m)
#20,Ilia Smirin,2700,34y11m,(#60 all-time among players aged 34y11m)
#21,Vladimir Malakhov,2697,22y1m,(#35 all-time among players aged 22y1m)
#22,Joel Lautier,2689,29y8m,(#75 all-time among players aged 29y8m)
#23,Nigel Short,2689,37y6m,(#51 all-time among players aged 37y6m)
#24,Vadim Zvjaginsev,2688,26y4m,(#66 all-time among players aged 26y4m)
#25,Rustam Kasimdzhanov,2687,23y0m,(#45 all-time among players aged 23y0m)
#26,Predrag Nikolic,2682,42y3m,(#44 all-time among players aged 42y3m)
#27,Zurab Azmaiparashvili,2682,42y9m,(#41 all-time among players aged 42y9m)
#28,Ye Jiangchuan,2681,42y1m,(#46 all-time among players aged 42y1m)
#29,Ivan Sokolov,2680,34y6m,(#84 all-time among players aged 34y6m)
#30,Anatoly Karpov,2679,51y7m,(#24 all-time among players aged 51y7m)
#31,Kiril Georgiev,2677,37y1m,(#71 all-time among players aged 37y1m)
#32,Konstantin Sakaev,2676,28y8m,(#89 all-time among players aged 28y8m)
#33,Emil Sutovsky,2675,25y3m,(#76 all-time among players aged 25y3m)
#34,Vladislav Tkachiev,2673,29y1m,(#97 all-time among players aged 29y1m)
#35,Zoltan Almasi,2671,26y4m,(#87 all-time among players aged 26y4m)
#36,Etienne Bacrot,2669,19y11m,(#24 all-time among players aged 19y11m)
#37,Mikhail Gurevich,2669,43y10m,(#43 all-time among players aged 43y10m)
#38,Viktor Bologan,2668,31y0m,(#115 all-time among players aged 31y0m)
#39,Alexander Beliavsky,2668,49y0m,(#25 all-time among players aged 49y0m)
#40,Zhang Zhong,2665,24y3m,(#80 all-time among players aged 24y3m)
#41,Viktor Korchnoi,2662,71y9m,(#1 all-time among players aged 71y9m)
#42,Sergei Rublevsky,2661,28y2m,(#117 all-time among players aged 28y2m)
#43,Alexander Lastin,2660,26y2m,(#108 all-time among players aged 26y2m)
#44,Alexander Motylev,2659,23y6m,(#86 all-time among players aged 23y6m)
#45,Aleksej Aleksandrov,2659,29y7m,(#129 all-time among players aged 29y7m)
#46,Sergei Movsesian,2658,24y1m,(#88 all-time among players aged 24y1m)
#47,Francisco Vallejo Pons,2656,20y4m,(#38 all-time among players aged 20y4m)
#48,Christopher Lutz,2654,31y10m,(#137 all-time among players aged 31y10m)
#49,Smbat Lputian,2653,44y10m,(#55 all-time among players aged 44y10m)
#50,Sergei Tiviakov,2653,29y10m,(#140 all-time among players aged 29y10m)
#51,Alexander Graf,2653,40y4m,(#85 all-time among players aged 40y4m)
#52,Alexander Onischuk,2652,27y3m,(#127 all-time among players aged 27y3m)
#53,Rafael Vaganian,2652,51y2m,(#33 all-time among players aged 51y2m)
#54,Merab Gagunashvili,2651,17y11m,(#14 all-time among players aged 17y11m)
#55,Konstantin Landa,2651,30y7m,(#142 all-time among players aged 30y7m)
#56,Jeroen Piket,2650,33y11m,(#130 all-time among players aged 33y11m)
#57,Michal Krasenkow,2648,39y1m,(#99 all-time among players aged 39y1m)
#58,Mihail Kobalija,2647,24y7m,(#124 all-time among players aged 24y7m)
#59,Evgeny Pigusov,2647,41y9m,(#95 all-time among players aged 41y9m)
#60,Andrei Kharlov,2647,34y1m,(#140 all-time among players aged 34y1m)
#61,Lev Psakhis,2644,44y1m,(#66 all-time among players aged 44y1m)
#62,Krishnan Sasikiran,2640,21y11m,(#81 all-time among players aged 21y11m)
#63,Evgeny Vladimirov,2639,45y11m,(#57 all-time among players aged 45y11m)
#64,Sergey Volkov,2638,28y10m,(#168 all-time among players aged 28y10m)
#65,Vladimir Epishin,2638,37y5m,(#118 all-time among players aged 37y5m)
#66,Pavel Tregubov,2637,31y0m,(#174 all-time among players aged 31y0m)
#67,Karen Asrian,2636,22y8m,(#105 all-time among players aged 22y8m)
#68,Murtas Kazhgaleyev,2636,,
#69,Peter Heine Nielsen,2636,29y7m,(#189 all-time among players aged 29y7m)
#70,Vladimir Baklan,2634,24y10m,(#153 all-time among players aged 24y10m)
#71,Levon Aronian,2633,20y2m,(#52 all-time among players aged 20y2m)
#72,Rustem Dautov,2633,37y1m,(#137 all-time among players aged 37y1m)
#73,Bartlomiej Macieja,2632,25y2m,(#156 all-time among players aged 25y2m)
#74,Igor Khenkin,2632,34y9m,(#170 all-time among players aged 34y9m)
#75,Lenier Dominguez,2632,19y3m,(#38 all-time among players aged 19y3m)
#76,Alexander Goldin,2630,37y10m,(#132 all-time among players aged 37y10m)
#77,Andrei Istratescu,2629,27y0m,(#190 all-time among players aged 27y0m)
#78,Jaan Ehlvest,2629,40y2m,(#124 all-time among players aged 40y2m)
#79,Yasser Seirawan,2628,42y9m,(#102 all-time among players aged 42y9m)
#80,Teimour Radjabov,2627,15y9m,(#6 all-time among players aged 15y9m)
#81,Xu Jun,2627,40y3m,(#123 all-time among players aged 40y3m)
#82,Semen Dvoiris,2626,44y1m,(#104 all-time among players aged 44y1m)
#83,Gregory Kaidanov,2625,43y2m,(#107 all-time among players aged 43y2m)
#84,Zurab Sturua,2624,43y6m,(#106 all-time among players aged 43y6m)
#85,Boris Avrukh,2623,24y11m,(#179 all-time among players aged 24y11m)
#86,Jan Timman,2622,51y0m,(#49 all-time among players aged 51y0m)
#87,Evgeny Alekseev,2621,17y1m,(#16 all-time among players aged 17y1m)
#88,Vadim Milov,2621,30y4m,(#218 all-time among players aged 30y4m)
#89,Lazaro Bruzon Bautista,2621,20y7m,(#74 all-time among players aged 20y7m)
#90,Zviad Izoria,2619,18y11m,(#45 all-time among players aged 18y11m)
#91,Iosif Dorfman,2619,50y7m,(#55 all-time among players aged 50y7m)
