,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: January 2003 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2852,39y9m,(#1 all-time among players aged 39y9m)
#2,Vladimir Kramnik,2816,27y7m,(#7 all-time among players aged 27y7m)
#3,Viswanathan Anand,2787,33y1m,(#8 all-time among players aged 33y1m)
#4,Veselin Topalov,2756,27y10m,(#14 all-time among players aged 27y10m)
#5,Peter Leko,2754,23y4m,(#10 all-time among players aged 23y4m)
#6,Michael Adams,2754,31y2m,(#19 all-time among players aged 31y2m)
#7,Ruslan Ponomariov,2750,19y3m,(#4 all-time among players aged 19y3m)
#8,Alexei Shirov,2739,30y6m,(#26 all-time among players aged 30y6m)
#9,Evgeny Bareev,2735,36y2m,(#26 all-time among players aged 36y2m)
#10,Peter Svidler,2730,26y7m,(#34 all-time among players aged 26y7m)
#11,Vassily Ivanchuk,2728,33y10m,(#30 all-time among players aged 33y10m)
#12,Alexander Grischuk,2722,19y3m,(#8 all-time among players aged 19y3m)
#13,Boris Gelfand,2721,34y7m,(#37 all-time among players aged 34y7m)
#14,Judit Polgar,2717,26y6m,(#44 all-time among players aged 26y6m)
#15,Vladimir Akopian,2712,31y1m,(#45 all-time among players aged 31y1m)
#16,Alexander Khalifman,2712,37y0m,(#42 all-time among players aged 37y0m)
#17,Alexey Dreev,2709,34y0m,(#46 all-time among players aged 34y0m)
#18,Loek van Wely,2698,30y3m,(#62 all-time among players aged 30y3m)
#19,Alexander Morozevich,2698,25y6m,(#46 all-time among players aged 25y6m)
#20,Ilia Smirin,2695,35y0m,(#65 all-time among players aged 35y0m)
#21,Vladimir Malakhov,2695,22y2m,(#37 all-time among players aged 22y2m)
#22,Joel Lautier,2688,29y9m,(#76 all-time among players aged 29y9m)
#23,Nigel Short,2687,37y7m,(#52 all-time among players aged 37y7m)
#24,Vadim Zvjaginsev,2686,26y5m,(#70 all-time among players aged 26y5m)
#25,Rustam Kasimdzhanov,2685,23y1m,(#46 all-time among players aged 23y1m)
#26,Predrag Nikolic,2683,42y4m,(#42 all-time among players aged 42y4m)
#27,Anatoly Karpov,2682,51y8m,(#23 all-time among players aged 51y8m)
#28,Ye Jiangchuan,2678,42y2m,(#50 all-time among players aged 42y2m)
#29,Ivan Sokolov,2678,34y7m,(#83 all-time among players aged 34y7m)
#30,Zurab Azmaiparashvili,2678,42y10m,(#47 all-time among players aged 42y10m)
#31,Kiril Georgiev,2675,37y2m,(#73 all-time among players aged 37y2m)
#32,Konstantin Sakaev,2673,28y9m,(#93 all-time among players aged 28y9m)
#33,Alexander Beliavsky,2669,49y1m,(#25 all-time among players aged 49y1m)
#34,Vladislav Tkachiev,2669,29y2m,(#99 all-time among players aged 29y2m)
#35,Zoltan Almasi,2668,26y5m,(#94 all-time among players aged 26y5m)
#36,Etienne Bacrot,2667,20y0m,(#25 all-time among players aged 20y0m)
#37,Emil Sutovsky,2666,25y4m,(#91 all-time among players aged 25y4m)
#38,Viktor Bologan,2665,31y1m,(#117 all-time among players aged 31y1m)
#39,Mikhail Gurevich,2665,43y11m,(#44 all-time among players aged 43y11m)
#40,Zhang Zhong,2662,24y4m,(#85 all-time among players aged 24y4m)
#41,Merab Gagunashvili,2660,18y0m,(#12 all-time among players aged 18y0m)
#42,Alexander Motylev,2660,23y7m,(#85 all-time among players aged 23y7m)
#43,Sergei Rublevsky,2659,28y3m,(#121 all-time among players aged 28y3m)
#44,Viktor Korchnoi,2658,71y10m,(#1 all-time among players aged 71y10m)
#45,Matthew Sadler,2658,28y8m,(#121 all-time among players aged 28y8m)
#46,Sergei Movsesian,2658,24y2m,(#90 all-time among players aged 24y2m)
#47,Francisco Vallejo Pons,2657,20y5m,(#39 all-time among players aged 20y5m)
#48,Alexander Graf,2656,40y5m,(#78 all-time among players aged 40y5m)
#49,Aleksej Aleksandrov,2655,29y8m,(#133 all-time among players aged 29y8m)
#50,Alexander Lastin,2654,26y3m,(#121 all-time among players aged 26y3m)
#51,Smbat Lputian,2654,44y11m,(#50 all-time among players aged 44y11m)
#52,Sergei Tiviakov,2653,29y11m,(#141 all-time among players aged 29y11m)
#53,Christopher Lutz,2651,31y11m,(#140 all-time among players aged 31y11m)
#54,Rafael Vaganian,2649,51y3m,(#33 all-time among players aged 51y3m)
#55,Evgeny Pigusov,2647,41y10m,(#89 all-time among players aged 41y10m)
#56,Michal Krasenkow,2647,39y2m,(#99 all-time among players aged 39y2m)
#57,Jeroen Piket,2646,34y0m,(#139 all-time among players aged 34y0m)
#58,Sergey Volkov,2646,28y11m,(#150 all-time among players aged 28y11m)
#59,Krishnan Sasikiran,2644,22y0m,(#81 all-time among players aged 22y0m)
#60,Andrei Kharlov,2642,34y2m,(#156 all-time among players aged 34y2m)
#61,Konstantin Landa,2642,30y8m,(#166 all-time among players aged 30y8m)
#62,Mihail Kobalija,2641,24y8m,(#134 all-time among players aged 24y8m)
#63,Lev Psakhis,2638,44y2m,(#70 all-time among players aged 44y2m)
#64,Alexander Onischuk,2638,27y4m,(#158 all-time among players aged 27y4m)
#65,Levon Aronian,2638,20y3m,(#49 all-time among players aged 20y3m)
#66,Evgeny Vladimirov,2637,46y0m,(#58 all-time among players aged 46y0m)
#67,Pavel Tregubov,2636,31y1m,(#175 all-time among players aged 31y1m)
#68,Murtas Kazhgaleyev,2635,,
#69,Karen Asrian,2635,22y9m,(#110 all-time among players aged 22y9m)
#70,Igor Khenkin,2635,34y10m,(#162 all-time among players aged 34y10m)
#71,Peter Heine Nielsen,2634,29y8m,(#191 all-time among players aged 29y8m)
#72,Vladimir Baklan,2632,24y11m,(#156 all-time among players aged 24y11m)
#73,Lenier Dominguez,2630,19y4m,(#43 all-time among players aged 19y4m)
#74,Andrei Istratescu,2629,27y1m,(#188 all-time among players aged 27y1m)
#75,Rustem Dautov,2628,37y2m,(#149 all-time among players aged 37y2m)
#76,Vladimir Epishin,2627,37y6m,(#139 all-time among players aged 37y6m)
#77,Teimour Radjabov,2627,15y10m,(#6 all-time among players aged 15y10m)
#78,Bartlomiej Macieja,2627,25y3m,(#171 all-time among players aged 25y3m)
#79,Boris Avrukh,2624,25y0m,(#174 all-time among players aged 25y0m)
#80,Alexander Goldin,2624,37y11m,(#150 all-time among players aged 37y11m)
#81,Gregory Kaidanov,2624,43y3m,(#106 all-time among players aged 43y3m)
#82,Jaan Ehlvest,2623,40y3m,(#131 all-time among players aged 40y3m)
#83,Zurab Sturua,2623,43y7m,(#109 all-time among players aged 43y7m)
#84,Jan Timman,2620,51y1m,(#51 all-time among players aged 51y1m)
#85,Evgeniy Najer,2620,25y7m,(#194 all-time among players aged 25y7m)
#86,Laurent Fressinet,2619,21y2m,(#90 all-time among players aged 21y2m)
#87,Evgeny Alekseev,2619,17y2m,(#20 all-time among players aged 17y2m)
#88,Lazaro Bruzon Bautista,2618,20y8m,(#77 all-time among players aged 20y8m)
#89,Vasily Yemelin,2617,26y11m,(#220 all-time among players aged 26y11m)
#90,Xu Jun,2617,40y4m,(#144 all-time among players aged 40y4m)
#91,Yasser Seirawan,2617,42y10m,(#122 all-time among players aged 42y10m)
#92,Shakhriyar Mamedyarov,2615,17y9m,(#31 all-time among players aged 17y9m)
#93,Artyom Timofeev,2614,18y0m,(#28 all-time among players aged 18y0m)
#94,Vlastimil Babula,2614,29y3m,(#257 all-time among players aged 29y3m)
#95,Sergey Dolmatov,2614,43y11m,(#118 all-time among players aged 43y11m)
#96,Viacheslav Eingorn,2614,46y2m,(#90 all-time among players aged 46y2m)
#97,Peng Xiaomin,2614,29y9m,(#258 all-time among players aged 29y9m)
#98,Yuri Yakovich,2614,40y2m,(#155 all-time among players aged 40y2m)
#99,Bu Xiangzhi,2613,17y1m,(#21 all-time among players aged 17y1m)
#100,Uwe Bönsch,2613,44y3m,(#123 all-time among players aged 44y3m)
