,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: February 2003 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2847,39y10m,(#1 all-time among players aged 39y10m)
#2,Vladimir Kramnik,2800,27y8m,(#8 all-time among players aged 27y8m)
#3,Viswanathan Anand,2793,33y2m,(#8 all-time among players aged 33y2m)
#4,Peter Leko,2753,23y5m,(#11 all-time among players aged 23y5m)
#5,Veselin Topalov,2751,27y11m,(#16 all-time among players aged 27y11m)
#6,Michael Adams,2748,31y3m,(#25 all-time among players aged 31y3m)
#7,Ruslan Ponomariov,2744,19y4m,(#4 all-time among players aged 19y4m)
#8,Evgeny Bareev,2741,36y3m,(#24 all-time among players aged 36y3m)
#9,Alexei Shirov,2738,30y7m,(#26 all-time among players aged 30y7m)
#10,Peter Svidler,2733,26y8m,(#31 all-time among players aged 26y8m)
#11,Vassily Ivanchuk,2729,33y11m,(#28 all-time among players aged 33y11m)
#12,Judit Polgar,2728,26y7m,(#36 all-time among players aged 26y7m)
#13,Alexander Grischuk,2725,19y4m,(#6 all-time among players aged 19y4m)
#14,Boris Gelfand,2720,34y8m,(#35 all-time among players aged 34y8m)
#15,Alexander Khalifman,2711,37y1m,(#41 all-time among players aged 37y1m)
#16,Vladimir Akopian,2710,31y2m,(#48 all-time among players aged 31y2m)
#17,Alexey Dreev,2704,34y1m,(#49 all-time among players aged 34y1m)
#18,Loek van Wely,2701,30y4m,(#58 all-time among players aged 30y4m)
#19,Alexander Morozevich,2696,25y7m,(#48 all-time among players aged 25y7m)
#20,Ilia Smirin,2691,35y1m,(#67 all-time among players aged 35y1m)
#21,Joel Lautier,2690,29y10m,(#71 all-time among players aged 29y10m)
#22,Vladimir Malakhov,2690,22y3m,(#42 all-time among players aged 22y3m)
#23,Nigel Short,2688,37y8m,(#51 all-time among players aged 37y8m)
#24,Vadim Zvjaginsev,2684,26y6m,(#72 all-time among players aged 26y6m)
#25,Rustam Kasimdzhanov,2684,23y2m,(#49 all-time among players aged 23y2m)
#26,Predrag Nikolic,2683,42y5m,(#40 all-time among players aged 42y5m)
#27,Anatoly Karpov,2683,51y9m,(#23 all-time among players aged 51y9m)
#28,Ivan Sokolov,2681,34y8m,(#79 all-time among players aged 34y8m)
#29,Zhang Zhong,2680,24y5m,(#61 all-time among players aged 24y5m)
#30,Ye Jiangchuan,2679,42y3m,(#50 all-time among players aged 42y3m)
#31,Kiril Georgiev,2676,37y3m,(#69 all-time among players aged 37y3m)
#32,Zurab Azmaiparashvili,2675,42y11m,(#48 all-time among players aged 42y11m)
#33,Konstantin Sakaev,2672,28y10m,(#95 all-time among players aged 28y10m)
#34,Alexander Beliavsky,2671,49y2m,(#25 all-time among players aged 49y2m)
#35,Vladislav Tkachiev,2667,29y3m,(#103 all-time among players aged 29y3m)
#36,Etienne Bacrot,2666,20y1m,(#29 all-time among players aged 20y1m)
#37,Mikhail Gurevich,2666,44y0m,(#43 all-time among players aged 44y0m)
#38,Zoltan Almasi,2665,26y6m,(#102 all-time among players aged 26y6m)
#39,Viktor Bologan,2664,31y2m,(#118 all-time among players aged 31y2m)
#40,Emil Sutovsky,2663,25y5m,(#100 all-time among players aged 25y5m)
#41,Alexander Motylev,2662,23y8m,(#83 all-time among players aged 23y8m)
#42,Smbat Lputian,2659,45y0m,(#48 all-time among players aged 45y0m)
#43,Merab Gagunashvili,2658,18y1m,(#14 all-time among players aged 18y1m)
#44,Sergei Rublevsky,2657,28y4m,(#128 all-time among players aged 28y4m)
#45,Alexander Graf,2656,40y6m,(#78 all-time among players aged 40y6m)
#46,Aleksej Aleksandrov,2655,29y9m,(#136 all-time among players aged 29y9m)
#47,Francisco Vallejo Pons,2653,20y6m,(#42 all-time among players aged 20y6m)
#48,Sergei Movsesian,2653,24y3m,(#99 all-time among players aged 24y3m)
#49,Alexander Lastin,2653,26y4m,(#120 all-time among players aged 26y4m)
#50,Christopher Lutz,2652,32y0m,(#136 all-time among players aged 32y0m)
#51,Rafael Vaganian,2652,51y4m,(#31 all-time among players aged 51y4m)
#52,Sergei Tiviakov,2648,30y0m,(#148 all-time among players aged 30y0m)
#53,Krishnan Sasikiran,2647,22y1m,(#76 all-time among players aged 22y1m)
#54,Sergey Volkov,2647,29y0m,(#148 all-time among players aged 29y0m)
#55,Viktor Korchnoi,2645,71y11m,(#1 all-time among players aged 71y11m)
#56,Evgeny Pigusov,2645,41y11m,(#94 all-time among players aged 41y11m)
#57,Jeroen Piket,2644,34y1m,(#149 all-time among players aged 34y1m)
#58,Michal Krasenkow,2642,39y3m,(#107 all-time among players aged 39y3m)
#59,Teimour Radjabov,2640,15y11m,(#6 all-time among players aged 15y11m)
#60,Mihail Kobalija,2639,24y9m,(#142 all-time among players aged 24y9m)
#61,Andrei Kharlov,2639,34y3m,(#158 all-time among players aged 34y3m)
#62,Konstantin Landa,2638,30y9m,(#175 all-time among players aged 30y9m)
#63,Lev Psakhis,2637,44y3m,(#74 all-time among players aged 44y3m)
#64,Evgeny Vladimirov,2636,46y1m,(#58 all-time among players aged 46y1m)
#65,Rustem Dautov,2635,37y3m,(#126 all-time among players aged 37y3m)
#66,Levon Aronian,2635,20y4m,(#54 all-time among players aged 20y4m)
#67,Alexander Onischuk,2633,27y5m,(#173 all-time among players aged 27y5m)
#68,Karen Asrian,2632,22y10m,(#116 all-time among players aged 22y10m)
#69,Igor Khenkin,2632,34y11m,(#165 all-time among players aged 34y11m)
#70,Pavel Tregubov,2632,31y2m,(#187 all-time among players aged 31y2m)
#71,Alexander Goldin,2632,38y0m,(#125 all-time among players aged 38y0m)
#72,Peter Heine Nielsen,2631,29y9m,(#199 all-time among players aged 29y9m)
#73,Murtas Kazhgaleyev,2631,,
#74,Lenier Dominguez,2631,19y5m,(#42 all-time among players aged 19y5m)
#75,Andrei Istratescu,2630,27y2m,(#186 all-time among players aged 27y2m)
#76,Vladimir Epishin,2629,37y7m,(#132 all-time among players aged 37y7m)
#77,Vladimir Baklan,2628,25y0m,(#165 all-time among players aged 25y0m)
#78,Gregory Kaidanov,2624,43y4m,(#104 all-time among players aged 43y4m)
#79,Vasily Yemelin,2624,27y0m,(#207 all-time among players aged 27y0m)
#80,Joel Benjamin,2623,38y11m,(#138 all-time among players aged 38y11m)
#81,Zurab Sturua,2621,43y8m,(#112 all-time among players aged 43y8m)
#82,Jaan Ehlvest,2621,40y4m,(#138 all-time among players aged 40y4m)
#83,Yuri Yakovich,2620,40y3m,(#136 all-time among players aged 40y3m)
#84,Vlastimil Babula,2620,29y4m,(#232 all-time among players aged 29y4m)
#85,Viacheslav Eingorn,2619,46y3m,(#80 all-time among players aged 46y3m)
#86,Bartlomiej Macieja,2619,25y4m,(#193 all-time among players aged 25y4m)
#87,Boris Avrukh,2619,25y1m,(#193 all-time among players aged 25y1m)
#88,Matthew Sadler,2618,28y9m,(#235 all-time among players aged 28y9m)
#89,Lazaro Bruzon Bautista,2617,20y9m,(#83 all-time among players aged 20y9m)
#90,Artyom Timofeev,2617,18y1m,(#30 all-time among players aged 18y1m)
#91,Giovanni Vescovi,2617,24y8m,(#190 all-time among players aged 24y8m)
#92,Liviu-Dieter Nisipeanu,2616,26y6m,(#219 all-time among players aged 26y6m)
#93,Peng Xiaomin,2616,29y10m,(#249 all-time among players aged 29y10m)
#94,Sarunas Sulskis,2616,30y3m,(#239 all-time among players aged 30y3m)
#95,Sergey Dolmatov,2615,44y0m,(#118 all-time among players aged 44y0m)
#96,Evgeniy Najer,2615,25y8m,(#206 all-time among players aged 25y8m)
#97,Laurent Fressinet,2615,21y3m,(#96 all-time among players aged 21y3m)
#98,Vadim Milov,2615,30y6m,(#243 all-time among players aged 30y6m)
#99,Igor Novikov,2614,40y9m,(#151 all-time among players aged 40y9m)
#100,Yasser Seirawan,2614,42y11m,(#126 all-time among players aged 42y11m)
