,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: August 2003 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2823,40y4m,(#1 all-time among players aged 40y4m)
#2,Vladimir Kramnik,2789,28y2m,(#8 all-time among players aged 28y2m)
#3,Viswanathan Anand,2782,33y8m,(#9 all-time among players aged 33y8m)
#4,Ruslan Ponomariov,2749,19y10m,(#4 all-time among players aged 19y10m)
#5,Peter Leko,2748,23y11m,(#14 all-time among players aged 23y11m)
#6,Alexander Grischuk,2745,19y10m,(#5 all-time among players aged 19y10m)
#7,Evgeny Bareev,2744,36y9m,(#21 all-time among players aged 36y9m)
#8,Alexei Shirov,2742,31y1m,(#27 all-time among players aged 31y1m)
#9,Michael Adams,2742,31y9m,(#25 all-time among players aged 31y9m)
#10,Veselin Topalov,2738,28y5m,(#26 all-time among players aged 28y5m)
#11,Judit Polgar,2737,27y1m,(#29 all-time among players aged 27y1m)
#12,Peter Svidler,2735,27y2m,(#30 all-time among players aged 27y2m)
#13,Vassily Ivanchuk,2730,34y5m,(#30 all-time among players aged 34y5m)
#14,Boris Gelfand,2715,35y2m,(#38 all-time among players aged 35y2m)
#15,Vladimir Malakhov,2713,22y9m,(#29 all-time among players aged 22y9m)
#16,Alexey Dreev,2713,34y7m,(#43 all-time among players aged 34y7m)
#17,Anatoly Karpov,2707,52y3m,(#10 all-time among players aged 52y3m)
#18,Alexander Morozevich,2705,26y1m,(#47 all-time among players aged 26y1m)
#19,Alexander Khalifman,2696,37y7m,(#45 all-time among players aged 37y7m)
#20,Ivan Sokolov,2696,35y2m,(#59 all-time among players aged 35y2m)
#21,Nigel Short,2696,38y2m,(#47 all-time among players aged 38y2m)
#22,Loek van Wely,2694,30y10m,(#71 all-time among players aged 30y10m)
#23,Zurab Azmaiparashvili,2692,43y5m,(#34 all-time among players aged 43y5m)
#24,Mikhail Gurevich,2688,44y6m,(#34 all-time among players aged 44y6m)
#25,Vladimir Akopian,2685,31y8m,(#84 all-time among players aged 31y8m)
#26,Ye Jiangchuan,2681,42y9m,(#42 all-time among players aged 42y9m)
#27,Kiril Georgiev,2681,37y9m,(#57 all-time among players aged 37y9m)
#28,Ilia Smirin,2679,35y7m,(#74 all-time among players aged 35y7m)
#29,Rustam Kasimdzhanov,2678,23y8m,(#60 all-time among players aged 23y8m)
#30,Joel Lautier,2677,30y4m,(#97 all-time among players aged 30y4m)
#31,Vadim Zvjaginsev,2674,27y0m,(#90 all-time among players aged 27y0m)
#32,Vladislav Tkachiev,2672,29y9m,(#100 all-time among players aged 29y9m)
#33,Aleksej Aleksandrov,2672,30y3m,(#107 all-time among players aged 30y3m)
#34,Predrag Nikolic,2671,42y11m,(#50 all-time among players aged 42y11m)
#35,Etienne Bacrot,2669,20y7m,(#32 all-time among players aged 20y7m)
#36,Konstantin Sakaev,2668,29y4m,(#103 all-time among players aged 29y4m)
#37,Sergei Rublevsky,2667,28y10m,(#105 all-time among players aged 28y10m)
#38,Viktor Bologan,2667,31y8m,(#116 all-time among players aged 31y8m)
#39,Zhang Zhong,2666,24y11m,(#89 all-time among players aged 24y11m)
#40,Krishnan Sasikiran,2664,22y7m,(#63 all-time among players aged 22y7m)
#41,Emil Sutovsky,2664,25y11m,(#101 all-time among players aged 25y11m)
#42,Alexander Beliavsky,2659,49y8m,(#30 all-time among players aged 49y8m)
#43,Sergei Movsesian,2658,24y9m,(#101 all-time among players aged 24y9m)
#44,Francisco Vallejo Pons,2655,21y0m,(#53 all-time among players aged 21y0m)
#45,Mihail Kobalija,2655,25y3m,(#111 all-time among players aged 25y3m)
#46,Alexander Motylev,2655,24y2m,(#95 all-time among players aged 24y2m)
#47,Alexander Graf,2654,41y0m,(#77 all-time among players aged 41y0m)
#48,Levon Aronian,2654,20y10m,(#52 all-time among players aged 20y10m)
#49,Alexander Lastin,2654,26y10m,(#118 all-time among players aged 26y10m)
#50,Liviu-Dieter Nisipeanu,2653,27y0m,(#122 all-time among players aged 27y0m)
#51,Sergey Volkov,2653,29y6m,(#138 all-time among players aged 29y6m)
#52,Alexander Onischuk,2649,27y11m,(#135 all-time among players aged 27y11m)
#53,Julio Granda Zuñiga,2647,36y6m,(#114 all-time among players aged 36y6m)
#54,Evgeny Vladimirov,2645,46y7m,(#52 all-time among players aged 46y7m)
#55,Teimour Radjabov,2644,16y5m,(#8 all-time among players aged 16y5m)
#56,Andrei Kharlov,2640,34y9m,(#151 all-time among players aged 34y9m)
#57,Evgeny Alekseev,2638,17y9m,(#19 all-time among players aged 17y9m)
#58,Zoltan Almasi,2638,27y0m,(#164 all-time among players aged 27y0m)
#59,Karen Asrian,2638,23y4m,(#109 all-time among players aged 23y4m)
#60,Rafael Vaganian,2637,51y10m,(#36 all-time among players aged 51y10m)
#61,Vasily Yemelin,2636,27y6m,(#166 all-time among players aged 27y6m)
#62,Christopher Lutz,2635,32y6m,(#179 all-time among players aged 32y6m)
#63,Sergei Tiviakov,2634,30y6m,(#184 all-time among players aged 30y6m)
#64,Jeroen Piket,2634,34y7m,(#167 all-time among players aged 34y7m)
#65,Peter Heine Nielsen,2633,30y3m,(#185 all-time among players aged 30y3m)
#66,Smbat Lputian,2633,45y6m,(#68 all-time among players aged 45y6m)
#67,Alexander Moiseenko,2633,23y3m,(#114 all-time among players aged 23y3m)
#68,Rustem Dautov,2632,37y9m,(#132 all-time among players aged 37y9m)
#69,Eduardas Rozentalis,2630,40y3m,(#119 all-time among players aged 40y3m)
#70,Sergey Dolmatov,2629,44y6m,(#88 all-time among players aged 44y6m)
#71,Vladimir Epishin,2628,38y1m,(#136 all-time among players aged 38y1m)
#72,Yuri Yakovich,2628,40y9m,(#127 all-time among players aged 40y9m)
#73,Laurent Fressinet,2628,21y9m,(#99 all-time among players aged 21y9m)
#74,Merab Gagunashvili,2627,18y7m,(#33 all-time among players aged 18y7m)
#75,Sarunas Sulskis,2627,30y9m,(#199 all-time among players aged 30y9m)
#76,Bartlomiej Macieja,2625,25y10m,(#174 all-time among players aged 25y10m)
#77,Ashot Anastasian,2625,39y1m,(#136 all-time among players aged 39y1m)
#78,Pavel Tregubov,2625,31y8m,(#206 all-time among players aged 31y8m)
#79,Alexander Goldin,2624,38y6m,(#140 all-time among players aged 38y6m)
#80,Viktor Korchnoi,2624,72y5m,(#1 all-time among players aged 72y5m)
#81,Michal Krasenkow,2623,39y9m,(#137 all-time among players aged 39y9m)
#82,Viacheslav Eingorn,2623,46y9m,(#69 all-time among players aged 46y9m)
#83,Andrei Istratescu,2623,27y8m,(#193 all-time among players aged 27y8m)
#84,Giovanni Vescovi,2623,25y2m,(#178 all-time among players aged 25y2m)
#85,Matthew Sadler,2622,29y3m,(#218 all-time among players aged 29y3m)
#86,Evgeniy Najer,2621,26y2m,(#194 all-time among players aged 26y2m)
#87,Igor Khenkin,2621,35y5m,(#197 all-time among players aged 35y5m)
#88,Evgeny Pigusov,2621,42y5m,(#127 all-time among players aged 42y5m)
#89,Vasilios Kotronias,2620,39y0m,(#148 all-time among players aged 39y0m)
#90,Lev Psakhis,2618,44y9m,(#104 all-time among players aged 44y9m)
#91,Shakhriyar Mamedyarov,2618,18y4m,(#34 all-time among players aged 18y4m)
#92,Lenier Dominguez,2618,19y11m,(#67 all-time among players aged 19y11m)
#93,Christian Bauer,2618,26y7m,(#214 all-time among players aged 26y7m)
#94,Konstantin Landa,2617,31y3m,(#236 all-time among players aged 31y3m)
#95,Boris Avrukh,2617,25y7m,(#202 all-time among players aged 25y7m)
#96,Vladimir Baklan,2616,25y6m,(#204 all-time among players aged 25y6m)
#97,Gregory Kaidanov,2615,43y10m,(#120 all-time among players aged 43y10m)
#98,Artyom Timofeev,2614,18y7m,(#42 all-time among players aged 18y7m)
#99,Luke McShane,2613,19y7m,(#64 all-time among players aged 19y7m)
#100,Evgenij Agrest,2612,37y0m,(#192 all-time among players aged 37y0m)
