,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month Forward one year,,,,
Monthly List: September 2003 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2818,40y5m,(#1 all-time among players aged 40y5m)
#2,Viswanathan Anand,2776,33y9m,(#9 all-time among players aged 33y9m)
#3,Vladimir Kramnik,2774,28y3m,(#10 all-time among players aged 28y3m)
#4,Ruslan Ponomariov,2749,19y11m,(#5 all-time among players aged 19y11m)
#5,Alexander Grischuk,2748,19y11m,(#6 all-time among players aged 19y11m)
#6,Evgeny Bareev,2747,36y10m,(#18 all-time among players aged 36y10m)
#7,Michael Adams,2742,31y10m,(#25 all-time among players aged 31y10m)
#8,Alexei Shirov,2741,31y2m,(#29 all-time among players aged 31y2m)
#9,Peter Svidler,2739,27y3m,(#27 all-time among players aged 27y3m)
#10,Judit Polgar,2737,27y2m,(#28 all-time among players aged 27y2m)
#11,Veselin Topalov,2737,28y6m,(#27 all-time among players aged 28y6m)
#12,Vassily Ivanchuk,2731,34y6m,(#30 all-time among players aged 34y6m)
#13,Peter Leko,2730,24y0m,(#23 all-time among players aged 24y0m)
#14,Boris Gelfand,2716,35y3m,(#38 all-time among players aged 35y3m)
#15,Vladimir Malakhov,2716,22y10m,(#26 all-time among players aged 22y10m)
#16,Alexey Dreev,2714,34y8m,(#44 all-time among players aged 34y8m)
#17,Anatoly Karpov,2708,52y4m,(#11 all-time among players aged 52y4m)
#18,Alexander Morozevich,2704,26y2m,(#48 all-time among players aged 26y2m)
#19,Alexander Khalifman,2700,37y8m,(#42 all-time among players aged 37y8m)
#20,Nigel Short,2700,38y3m,(#43 all-time among players aged 38y3m)
#21,Ivan Sokolov,2699,35y3m,(#53 all-time among players aged 35y3m)
#22,Loek van Wely,2697,30y11m,(#66 all-time among players aged 30y11m)
#23,Zurab Azmaiparashvili,2695,43y6m,(#33 all-time among players aged 43y6m)
#24,Mikhail Gurevich,2687,44y7m,(#34 all-time among players aged 44y7m)
#25,Ye Jiangchuan,2687,42y10m,(#40 all-time among players aged 42y10m)
#26,Vladimir Akopian,2687,31y9m,(#82 all-time among players aged 31y9m)
#27,Viktor Bologan,2687,31y9m,(#83 all-time among players aged 31y9m)
#28,Kiril Georgiev,2686,37y10m,(#52 all-time among players aged 37y10m)
#29,Rustam Kasimdzhanov,2685,23y9m,(#54 all-time among players aged 23y9m)
#30,Etienne Bacrot,2683,20y8m,(#28 all-time among players aged 20y8m)
#31,Joel Lautier,2680,30y5m,(#94 all-time among players aged 30y5m)
#32,Ilia Smirin,2679,35y8m,(#76 all-time among players aged 35y8m)
#33,Vadim Zvjaginsev,2676,27y1m,(#87 all-time among players aged 27y1m)
#34,Aleksej Aleksandrov,2676,30y4m,(#99 all-time among players aged 30y4m)
#35,Predrag Nikolic,2672,43y0m,(#51 all-time among players aged 43y0m)
#36,Konstantin Sakaev,2670,29y5m,(#101 all-time among players aged 29y5m)
#37,Sergei Rublevsky,2670,28y11m,(#98 all-time among players aged 28y11m)
#38,Emil Sutovsky,2669,26y0m,(#99 all-time among players aged 26y0m)
#39,Vladislav Tkachiev,2668,29y10m,(#110 all-time among players aged 29y10m)
#40,Zhang Zhong,2667,25y0m,(#87 all-time among players aged 25y0m)
#41,Krishnan Sasikiran,2667,22y8m,(#63 all-time among players aged 22y8m)
#42,Alexander Beliavsky,2663,49y9m,(#27 all-time among players aged 49y9m)
#43,Sergei Movsesian,2662,24y10m,(#97 all-time among players aged 24y10m)
#44,Liviu-Dieter Nisipeanu,2661,27y1m,(#116 all-time among players aged 27y1m)
#45,Sergey Volkov,2660,29y7m,(#127 all-time among players aged 29y7m)
#46,Alexander Graf,2659,41y1m,(#72 all-time among players aged 41y1m)
#47,Francisco Vallejo Pons,2658,21y1m,(#53 all-time among players aged 21y1m)
#48,Levon Aronian,2658,20y11m,(#50 all-time among players aged 20y11m)
#49,Mihail Kobalija,2657,25y4m,(#116 all-time among players aged 25y4m)
#50,Alexander Motylev,2656,24y3m,(#89 all-time among players aged 24y3m)
#51,Alexander Lastin,2655,26y11m,(#118 all-time among players aged 26y11m)
#52,Alexander Onischuk,2655,28y0m,(#123 all-time among players aged 28y0m)
#53,Teimour Radjabov,2654,16y6m,(#5 all-time among players aged 16y6m)
#54,Vasily Yemelin,2650,27y7m,(#136 all-time among players aged 27y7m)
#55,Evgeny Vladimirov,2650,46y8m,(#47 all-time among players aged 46y8m)
#56,Alexander Goldin,2646,38y7m,(#102 all-time among players aged 38y7m)
#57,Rafael Vaganian,2644,51y11m,(#35 all-time among players aged 51y11m)
#58,Andrei Kharlov,2644,34y10m,(#141 all-time among players aged 34y10m)
#59,Eduardas Rozentalis,2642,40y4m,(#101 all-time among players aged 40y4m)
#60,Smbat Lputian,2642,45y7m,(#62 all-time among players aged 45y7m)
#61,Karen Asrian,2641,23y5m,(#107 all-time among players aged 23y5m)
#62,Evgeny Alekseev,2640,17y10m,(#20 all-time among players aged 17y10m)
#63,Zoltan Almasi,2639,27y1m,(#163 all-time among players aged 27y1m)
#64,Peter Heine Nielsen,2637,30y4m,(#179 all-time among players aged 30y4m)
#65,Jeroen Piket,2637,34y8m,(#161 all-time among players aged 34y8m)
#66,Alexander Moiseenko,2636,23y4m,(#111 all-time among players aged 23y4m)
#67,Giovanni Vescovi,2634,25y3m,(#154 all-time among players aged 25y3m)
#68,Rustem Dautov,2634,37y10m,(#124 all-time among players aged 37y10m)
#69,Vladimir Epishin,2633,38y2m,(#124 all-time among players aged 38y2m)
#70,Christopher Lutz,2633,32y7m,(#183 all-time among players aged 32y7m)
#71,Gabriel Sargissian,2632,20y7m,(#58 all-time among players aged 20y7m)
#72,Sergey Dolmatov,2632,44y7m,(#85 all-time among players aged 44y7m)
#73,Sergei Tiviakov,2632,30y7m,(#188 all-time among players aged 30y7m)
#74,Vasilios Kotronias,2632,39y1m,(#127 all-time among players aged 39y1m)
#75,Laurent Fressinet,2630,21y10m,(#98 all-time among players aged 21y10m)
