,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: February 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2811,40y10m,(#2 all-time among players aged 40y10m)
#2,Viswanathan Anand,2789,34y2m,(#7 all-time among players aged 34y2m)
#3,Vladimir Kramnik,2755,28y8m,(#15 all-time among players aged 28y8m)
#4,Ruslan Ponomariov,2749,20y4m,(#6 all-time among players aged 20y4m)
#5,Judit Polgar,2745,27y7m,(#21 all-time among players aged 27y7m)
#6,Peter Svidler,2745,27y8m,(#19 all-time among players aged 27y8m)
#7,Alexei Shirov,2743,31y7m,(#23 all-time among players aged 31y7m)
#8,Alexander Grischuk,2741,20y4m,(#7 all-time among players aged 20y4m)
#9,Michael Adams,2738,32y3m,(#23 all-time among players aged 32y3m)
#10,Peter Leko,2735,24y5m,(#21 all-time among players aged 24y5m)
#11,Veselin Topalov,2733,28y11m,(#33 all-time among players aged 28y11m)
#12,Vassily Ivanchuk,2728,34y11m,(#29 all-time among players aged 34y11m)
#13,Evgeny Bareev,2726,37y3m,(#31 all-time among players aged 37y3m)
#14,Alexander Morozevich,2723,26y7m,(#41 all-time among players aged 26y7m)
#15,Vladimir Malakhov,2723,23y3m,(#24 all-time among players aged 23y3m)
#16,Boris Gelfand,2722,35y8m,(#38 all-time among players aged 35y8m)
#17,Nigel Short,2720,38y8m,(#29 all-time among players aged 38y8m)
#18,Ivan Sokolov,2703,35y8m,(#46 all-time among players aged 35y8m)
#19,Alexey Dreev,2699,35y1m,(#56 all-time among players aged 35y1m)
#20,Vladimir Akopian,2694,32y2m,(#72 all-time among players aged 32y2m)
#21,Alexander Khalifman,2693,38y1m,(#49 all-time among players aged 38y1m)
#22,Anatoly Karpov,2691,52y9m,(#18 all-time among players aged 52y9m)
#23,Mikhail Gurevich,2687,45y0m,(#28 all-time among players aged 45y0m)
#24,Joel Lautier,2687,30y10m,(#86 all-time among players aged 30y10m)
#25,Viktor Bologan,2686,32y2m,(#86 all-time among players aged 32y2m)
#26,Zurab Azmaiparashvili,2685,43y11m,(#35 all-time among players aged 43y11m)
#27,Etienne Bacrot,2680,21y1m,(#31 all-time among players aged 21y1m)
