,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: March 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2803,40y11m,(#4 all-time among players aged 40y11m)
#2,Viswanathan Anand,2788,34y3m,(#7 all-time among players aged 34y3m)
#3,Vladimir Kramnik,2753,28y9m,(#17 all-time among players aged 28y9m)
#4,Peter Svidler,2748,27y9m,(#18 all-time among players aged 27y9m)
#5,Alexander Grischuk,2747,20y5m,(#7 all-time among players aged 20y5m)
#6,Ruslan Ponomariov,2747,20y5m,(#8 all-time among players aged 20y5m)
#7,Judit Polgar,2744,27y8m,(#21 all-time among players aged 27y8m)
#8,Peter Leko,2742,24y6m,(#15 all-time among players aged 24y6m)
#9,Alexei Shirov,2741,31y8m,(#25 all-time among players aged 31y8m)
#10,Michael Adams,2737,32y4m,(#23 all-time among players aged 32y4m)
#11,Veselin Topalov,2732,29y0m,(#33 all-time among players aged 29y0m)
#12,Vassily Ivanchuk,2729,35y0m,(#27 all-time among players aged 35y0m)
#13,Nigel Short,2726,38y9m,(#21 all-time among players aged 38y9m)
#14,Evgeny Bareev,2724,37y4m,(#32 all-time among players aged 37y4m)
#15,Boris Gelfand,2722,35y9m,(#38 all-time among players aged 35y9m)
#16,Alexander Morozevich,2719,26y8m,(#42 all-time among players aged 26y8m)
#17,Vladimir Malakhov,2714,23y4m,(#31 all-time among players aged 23y4m)
#18,Alexey Dreev,2705,35y2m,(#47 all-time among players aged 35y2m)
#19,Ivan Sokolov,2701,35y9m,(#48 all-time among players aged 35y9m)
#20,Mikhail Gurevich,2692,45y1m,(#27 all-time among players aged 45y1m)
#21,Anatoly Karpov,2690,52y10m,(#18 all-time among players aged 52y10m)
#22,Vladimir Akopian,2688,32y3m,(#81 all-time among players aged 32y3m)
#23,Joel Lautier,2686,30y11m,(#87 all-time among players aged 30y11m)
#24,Viktor Bologan,2684,32y3m,(#89 all-time among players aged 32y3m)
#25,Alexander Khalifman,2684,38y2m,(#51 all-time among players aged 38y2m)
#26,Loek van Wely,2678,31y5m,(#92 all-time among players aged 31y5m)
#27,Etienne Bacrot,2678,21y2m,(#36 all-time among players aged 21y2m)
#28,Ye Jiangchuan,2676,43y4m,(#43 all-time among players aged 43y4m)
#29,Zurab Azmaiparashvili,2676,44y0m,(#39 all-time among players aged 44y0m)
#30,Predrag Nikolic,2675,43y6m,(#41 all-time among players aged 43y6m)
#31,Alexander Beliavsky,2672,50y3m,(#23 all-time among players aged 50y3m)
#32,Konstantin Sakaev,2672,29y11m,(#99 all-time among players aged 29y11m)
#33,Emil Sutovsky,2671,26y6m,(#93 all-time among players aged 26y6m)
#34,Ilia Smirin,2670,36y2m,(#90 all-time among players aged 36y2m)
#35,Liviu-Dieter Nisipeanu,2668,27y7m,(#103 all-time among players aged 27y7m)
#36,Rustam Kasimdzhanov,2668,24y3m,(#74 all-time among players aged 24y3m)
#37,Rafael Vaganian,2667,52y5m,(#29 all-time among players aged 52y5m)
#38,Kiril Georgiev,2666,38y4m,(#76 all-time among players aged 38y4m)
#39,Alexander Motylev,2665,24y9m,(#85 all-time among players aged 24y9m)
#40,Sergei Movsesian,2664,25y4m,(#97 all-time among players aged 25y4m)
#41,Levon Aronian,2664,21y5m,(#51 all-time among players aged 21y5m)
#42,Sergei Rublevsky,2664,29y5m,(#109 all-time among players aged 29y5m)
#43,Aleksej Aleksandrov,2664,30y10m,(#116 all-time among players aged 30y10m)
#44,Krishnan Sasikiran,2659,23y2m,(#83 all-time among players aged 23y2m)
#45,Vadim Zvjaginsev,2659,27y7m,(#120 all-time among players aged 27y7m)
#46,Giovanni Vescovi,2658,25y9m,(#110 all-time among players aged 25y9m)
#47,Teimour Radjabov,2657,17y0m,(#6 all-time among players aged 17y0m)
#48,Alexander Graf,2656,41y7m,(#78 all-time among players aged 41y7m)
