,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: April 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2798,41y0m,(#4 all-time among players aged 41y0m)
#2,Viswanathan Anand,2788,34y4m,(#7 all-time among players aged 34y4m)
#3,Vladimir Kramnik,2758,28y10m,(#13 all-time among players aged 28y10m)
#4,Alexander Grischuk,2750,20y6m,(#8 all-time among players aged 20y6m)
#5,Peter Svidler,2746,27y10m,(#20 all-time among players aged 27y10m)
#6,Ruslan Ponomariov,2745,20y6m,(#9 all-time among players aged 20y6m)
#7,Judit Polgar,2745,27y9m,(#21 all-time among players aged 27y9m)
#8,Alexei Shirov,2738,31y9m,(#27 all-time among players aged 31y9m)
#9,Peter Leko,2738,24y7m,(#20 all-time among players aged 24y7m)
#10,Michael Adams,2736,32y5m,(#24 all-time among players aged 32y5m)
#11,Veselin Topalov,2732,29y1m,(#32 all-time among players aged 29y1m)
#12,Vassily Ivanchuk,2728,35y1m,(#28 all-time among players aged 35y1m)
#13,Nigel Short,2727,38y10m,(#20 all-time among players aged 38y10m)
#14,Evgeny Bareev,2724,37y5m,(#31 all-time among players aged 37y5m)
#15,Boris Gelfand,2721,35y10m,(#38 all-time among players aged 35y10m)
#16,Alexander Morozevich,2715,26y9m,(#44 all-time among players aged 26y9m)
#17,Alexey Dreev,2709,35y3m,(#42 all-time among players aged 35y3m)
#18,Ivan Sokolov,2704,35y10m,(#46 all-time among players aged 35y10m)
#19,Mikhail Gurevich,2691,45y2m,(#26 all-time among players aged 45y2m)
#20,Viktor Bologan,2690,32y4m,(#80 all-time among players aged 32y4m)
#21,Anatoly Karpov,2690,52y11m,(#17 all-time among players aged 52y11m)
#22,Vladimir Akopian,2689,32y4m,(#81 all-time among players aged 32y4m)
#23,Joel Lautier,2687,31y0m,(#84 all-time among players aged 31y0m)
#24,Zurab Azmaiparashvili,2684,44y1m,(#33 all-time among players aged 44y1m)
#25,Alexander Khalifman,2681,38y3m,(#52 all-time among players aged 38y3m)
#26,Vladimir Malakhov,2680,23y5m,(#55 all-time among players aged 23y5m)
#27,Loek van Wely,2677,31y6m,(#94 all-time among players aged 31y6m)
#28,Sergei Rublevsky,2677,29y6m,(#95 all-time among players aged 29y6m)
#29,Etienne Bacrot,2677,21y3m,(#37 all-time among players aged 21y3m)
#30,Alexander Beliavsky,2675,50y4m,(#21 all-time among players aged 50y4m)
#31,Ye Jiangchuan,2672,43y5m,(#46 all-time among players aged 43y5m)
#32,Predrag Nikolic,2671,43y7m,(#42 all-time among players aged 43y7m)
#33,Konstantin Sakaev,2670,30y0m,(#98 all-time among players aged 30y0m)
#34,Emil Sutovsky,2670,26y7m,(#95 all-time among players aged 26y7m)
#35,Levon Aronian,2669,21y6m,(#48 all-time among players aged 21y6m)
#36,Teimour Radjabov,2669,17y1m,(#6 all-time among players aged 17y1m)
#37,Rafael Vaganian,2668,52y6m,(#28 all-time among players aged 52y6m)
#38,Liviu-Dieter Nisipeanu,2667,27y8m,(#102 all-time among players aged 27y8m)
#39,Vadim Zvjaginsev,2665,27y8m,(#106 all-time among players aged 27y8m)
#40,Ilia Smirin,2664,36y3m,(#95 all-time among players aged 36y3m)
#41,Rustam Kasimdzhanov,2662,24y4m,(#84 all-time among players aged 24y4m)
#42,Alexander Motylev,2662,24y10m,(#93 all-time among players aged 24y10m)
#43,Sergei Movsesian,2662,25y5m,(#104 all-time among players aged 25y5m)
#44,Kiril Georgiev,2662,38y5m,(#80 all-time among players aged 38y5m)
#45,Alexander Graf,2660,41y8m,(#69 all-time among players aged 41y8m)
#46,Krishnan Sasikiran,2659,23y3m,(#85 all-time among players aged 23y3m)
#47,Aleksej Aleksandrov,2657,30y11m,(#126 all-time among players aged 30y11m)
