,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: May 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2794,41y1m,(#5 all-time among players aged 41y1m)
#2,Viswanathan Anand,2787,34y5m,(#8 all-time among players aged 34y5m)
#3,Vladimir Kramnik,2755,28y11m,(#16 all-time among players aged 28y11m)
#4,Ruslan Ponomariov,2744,20y7m,(#8 all-time among players aged 20y7m)
#5,Judit Polgar,2743,27y10m,(#23 all-time among players aged 27y10m)
#6,Peter Svidler,2743,27y11m,(#23 all-time among players aged 27y11m)
#7,Alexander Grischuk,2742,20y7m,(#9 all-time among players aged 20y7m)
#8,Michael Adams,2737,32y6m,(#24 all-time among players aged 32y6m)
#9,Peter Leko,2736,24y8m,(#20 all-time among players aged 24y8m)
#10,Alexei Shirov,2735,31y10m,(#27 all-time among players aged 31y10m)
#11,Alexander Morozevich,2735,26y10m,(#32 all-time among players aged 26y10m)
#12,Veselin Topalov,2731,29y2m,(#33 all-time among players aged 29y2m)
#13,Vassily Ivanchuk,2727,35y2m,(#29 all-time among players aged 35y2m)
#14,Evgeny Bareev,2725,37y6m,(#29 all-time among players aged 37y6m)
#15,Boris Gelfand,2725,35y11m,(#37 all-time among players aged 35y11m)
#16,Nigel Short,2722,38y11m,(#23 all-time among players aged 38y11m)
#17,Ivan Sokolov,2707,35y11m,(#44 all-time among players aged 35y11m)
#18,Alexey Dreev,2707,35y4m,(#44 all-time among players aged 35y4m)
#19,Vladimir Akopian,2697,32y5m,(#72 all-time among players aged 32y5m)
#20,Mikhail Gurevich,2695,45y3m,(#26 all-time among players aged 45y3m)
#21,Anatoly Karpov,2687,53y0m,(#18 all-time among players aged 53y0m)
#22,Vladimir Malakhov,2685,23y6m,(#54 all-time among players aged 23y6m)
#23,Alexander Khalifman,2684,38y4m,(#51 all-time among players aged 38y4m)
#24,Zurab Azmaiparashvili,2683,44y2m,(#35 all-time among players aged 44y2m)
#25,Viktor Bologan,2682,32y5m,(#89 all-time among players aged 32y5m)
#26,Loek van Wely,2682,31y7m,(#87 all-time among players aged 31y7m)
#27,Joel Lautier,2682,31y1m,(#89 all-time among players aged 31y1m)
#28,Etienne Bacrot,2680,21y4m,(#34 all-time among players aged 21y4m)
#29,Sergei Rublevsky,2675,29y7m,(#98 all-time among players aged 29y7m)
#30,Liviu-Dieter Nisipeanu,2673,27y9m,(#95 all-time among players aged 27y9m)
#31,Predrag Nikolic,2673,43y8m,(#41 all-time among players aged 43y8m)
#32,Konstantin Sakaev,2673,30y1m,(#99 all-time among players aged 30y1m)
#33,Alexander Beliavsky,2672,50y5m,(#23 all-time among players aged 50y5m)
#34,Emil Sutovsky,2670,26y8m,(#95 all-time among players aged 26y8m)
#35,Levon Aronian,2668,21y7m,(#50 all-time among players aged 21y7m)
