,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: June 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2794,41y2m,(#5 all-time among players aged 41y2m)
#2,Viswanathan Anand,2789,34y6m,(#7 all-time among players aged 34y6m)
#3,Vladimir Kramnik,2759,29y0m,(#15 all-time among players aged 29y0m)
#4,Peter Svidler,2745,28y0m,(#20 all-time among players aged 28y0m)
#5,Ruslan Ponomariov,2745,20y8m,(#8 all-time among players aged 20y8m)
#6,Alexei Shirov,2744,31y11m,(#23 all-time among players aged 31y11m)
#7,Judit Polgar,2744,27y11m,(#21 all-time among players aged 27y11m)
#8,Alexander Grischuk,2739,20y8m,(#9 all-time among players aged 20y8m)
#9,Peter Leko,2737,24y9m,(#20 all-time among players aged 24y9m)
#10,Michael Adams,2737,32y7m,(#25 all-time among players aged 32y7m)
#11,Alexander Morozevich,2734,26y11m,(#31 all-time among players aged 26y11m)
#12,Veselin Topalov,2731,29y3m,(#33 all-time among players aged 29y3m)
#13,Vassily Ivanchuk,2730,35y3m,(#27 all-time among players aged 35y3m)
#14,Evgeny Bareev,2724,37y7m,(#29 all-time among players aged 37y7m)
#15,Boris Gelfand,2724,36y0m,(#37 all-time among players aged 36y0m)
#16,Alexey Dreev,2710,35y5m,(#42 all-time among players aged 35y5m)
#17,Nigel Short,2707,39y0m,(#32 all-time among players aged 39y0m)
#18,Ivan Sokolov,2700,36y0m,(#53 all-time among players aged 36y0m)
#19,Mikhail Gurevich,2698,45y4m,(#27 all-time among players aged 45y4m)
#20,Vladimir Akopian,2697,32y6m,(#69 all-time among players aged 32y6m)
#21,Anatoly Karpov,2687,53y1m,(#18 all-time among players aged 53y1m)
#22,Loek van Wely,2687,31y8m,(#82 all-time among players aged 31y8m)
#23,Viktor Bologan,2686,32y6m,(#82 all-time among players aged 32y6m)
#24,Etienne Bacrot,2685,21y5m,(#32 all-time among players aged 21y5m)
#25,Joel Lautier,2684,31y2m,(#87 all-time among players aged 31y2m)
#26,Zurab Azmaiparashvili,2683,44y3m,(#35 all-time among players aged 44y3m)
#27,Vladimir Malakhov,2682,23y7m,(#54 all-time among players aged 23y7m)
#28,Predrag Nikolic,2680,43y9m,(#40 all-time among players aged 43y9m)
#29,Alexander Khalifman,2680,38y5m,(#55 all-time among players aged 38y5m)
#30,Kiril Georgiev,2677,38y7m,(#58 all-time among players aged 38y7m)
#31,Emil Sutovsky,2677,26y9m,(#83 all-time among players aged 26y9m)
#32,Levon Aronian,2677,21y8m,(#41 all-time among players aged 21y8m)
#33,Alexander Motylev,2676,25y0m,(#75 all-time among players aged 25y0m)
#34,Sergei Rublevsky,2674,29y8m,(#100 all-time among players aged 29y8m)
#35,Liviu-Dieter Nisipeanu,2673,27y10m,(#95 all-time among players aged 27y10m)
#36,Alexander Beliavsky,2672,50y6m,(#25 all-time among players aged 50y6m)
#37,Rafael Vaganian,2670,52y8m,(#26 all-time among players aged 52y8m)
#38,Konstantin Sakaev,2670,30y2m,(#106 all-time among players aged 30y2m)
#39,Sergei Movsesian,2667,25y7m,(#95 all-time among players aged 25y7m)
#40,Teimour Radjabov,2664,17y3m,(#8 all-time among players aged 17y3m)
#41,Aleksej Aleksandrov,2664,31y1m,(#119 all-time among players aged 31y1m)
#42,Alexander Graf,2664,41y10m,(#63 all-time among players aged 41y10m)
#43,Ye Jiangchuan,2662,43y7m,(#48 all-time among players aged 43y7m)
#44,Vadim Zvjaginsev,2662,27y10m,(#115 all-time among players aged 27y10m)
#45,Rustam Kasimdzhanov,2661,24y6m,(#86 all-time among players aged 24y6m)
#46,Giovanni Vescovi,2658,26y0m,(#113 all-time among players aged 26y0m)
#47,Krishnan Sasikiran,2657,23y5m,(#89 all-time among players aged 23y5m)
#48,Francisco Vallejo Pons,2657,21y10m,(#60 all-time among players aged 21y10m)
#49,Ilia Smirin,2656,36y5m,(#97 all-time among players aged 36y5m)
#50,Vadim Milov,2651,31y10m,(#140 all-time among players aged 31y10m)
#51,Shakhriyar Mamedyarov,2650,19y2m,(#22 all-time among players aged 19y2m)
#52,Alexander Onischuk,2649,28y9m,(#144 all-time among players aged 28y9m)
#53,Peter Heine Nielsen,2647,31y1m,(#153 all-time among players aged 31y1m)
#54,Evgeny Vladimirov,2647,47y5m,(#45 all-time among players aged 47y5m)
#55,Luke McShane,2645,20y5m,(#50 all-time among players aged 20y5m)
#56,Zhang Zhong,2645,25y9m,(#135 all-time among players aged 25y9m)
#57,Alexander Moiseenko,2644,24y1m,(#112 all-time among players aged 24y1m)
#58,Evgeniy Najer,2643,27y0m,(#148 all-time among players aged 27y0m)
#59,Eduardas Rozentalis,2642,41y1m,(#99 all-time among players aged 41y1m)
#60,Zoltan Almasi,2640,27y10m,(#157 all-time among players aged 27y10m)
#61,Bartlomiej Macieja,2639,26y8m,(#155 all-time among players aged 26y8m)
#62,Gabriel Sargissian,2639,21y4m,(#64 all-time among players aged 21y4m)
#63,Lenier Dominguez,2639,20y9m,(#59 all-time among players aged 20y9m)
#64,Karen Asrian,2637,24y2m,(#124 all-time among players aged 24y2m)
#65,Bu Xiangzhi,2633,18y6m,(#26 all-time among players aged 18y6m)
#66,Sergey Volkov,2631,30y4m,(#189 all-time among players aged 30y4m)
#67,Vladislav Tkachiev,2631,30y7m,(#195 all-time among players aged 30y7m)
#68,Lazaro Bruzon Bautista,2628,22y1m,(#98 all-time among players aged 22y1m)
#69,Andrei Istratescu,2628,28y6m,(#196 all-time among players aged 28y6m)
#70,Jaan Ehlvest,2625,41y8m,(#134 all-time among players aged 41y8m)
#71,Andrey Kharitonov,2625,45y2m,(#83 all-time among players aged 45y2m)
#72,Curt Hansen,2624,39y9m,(#134 all-time among players aged 39y9m)
#73,Pavel Tregubov,2624,32y6m,(#209 all-time among players aged 32y6m)
#74,Evgeny Alekseev,2623,18y7m,(#34 all-time among players aged 18y7m)
#75,Michal Krasenkow,2622,40y7m,(#138 all-time among players aged 40y7m)
#76,Vasilios Kotronias,2621,39y10m,(#142 all-time among players aged 39y10m)
#77,Smbat Lputian,2620,46y4m,(#77 all-time among players aged 46y4m)
#78,Rustem Dautov,2620,38y7m,(#149 all-time among players aged 38y7m)
#79,Artyom Timofeev,2619,19y5m,(#51 all-time among players aged 19y5m)
#80,Andrei Volokitin,2619,18y0m,(#27 all-time among players aged 18y0m)
#81,Andrei Kharlov,2618,35y7m,(#200 all-time among players aged 35y7m)
#82,Semen Dvoiris,2617,45y7m,(#94 all-time among players aged 45y7m)
#83,Vladimir Epishin,2615,38y11m,(#163 all-time among players aged 38y11m)
#84,Yasser Seirawan,2615,44y3m,(#119 all-time among players aged 44y3m)
#85,Darmen Sadvakasov,2615,25y2m,(#205 all-time among players aged 25y2m)
#86,Laurent Fressinet,2614,22y7m,(#148 all-time among players aged 22y7m)
#87,Evgenij Agrest,2614,37y10m,(#182 all-time among players aged 37y10m)
#88,Sergei Tiviakov,2613,31y4m,(#250 all-time among players aged 31y4m)
#89,Jeroen Piket,2613,35y5m,(#217 all-time among players aged 35y5m)
#90,Miguel Illescas Cordoba,2613,38y6m,(#168 all-time among players aged 38y6m)
#91,Ashot Anastasian,2613,39y11m,(#160 all-time among players aged 39y11m)
#92,Nguyen Anh Dung,2611,28y3m,(#244 all-time among players aged 28y3m)
#93,Boris Avrukh,2611,26y5m,(#240 all-time among players aged 26y5m)
#94,Mohamad Al Modiahki,2611,30y0m,(#270 all-time among players aged 30y0m)
#95,Leonid Yudasin,2610,44y10m,(#112 all-time among players aged 44y10m)
#96,Mihail Kobalija,2609,26y1m,(#232 all-time among players aged 26y1m)
#97,Penteala Harikrishna,2608,18y1m,(#41 all-time among players aged 18y1m)
#98,Igor Novikov,2608,42y1m,(#152 all-time among players aged 42y1m)
#99,David Navara,2607,19y3m,(#60 all-time among players aged 19y3m)
#100,Alexander Goldin,2607,39y4m,(#184 all-time among players aged 39y4m)
