,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: July 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2793,41y3m,(#4 all-time among players aged 41y3m)
#2,Viswanathan Anand,2789,34y7m,(#7 all-time among players aged 34y7m)
#3,Vladimir Kramnik,2759,29y1m,(#15 all-time among players aged 29y1m)
#4,Veselin Topalov,2756,29y4m,(#15 all-time among players aged 29y4m)
#5,Alexei Shirov,2749,32y0m,(#19 all-time among players aged 32y0m)
#6,Peter Leko,2745,24y10m,(#15 all-time among players aged 24y10m)
#7,Ruslan Ponomariov,2744,20y9m,(#8 all-time among players aged 20y9m)
#8,Judit Polgar,2742,28y0m,(#24 all-time among players aged 28y0m)
#9,Peter Svidler,2742,28y1m,(#22 all-time among players aged 28y1m)
#10,Michael Adams,2740,32y8m,(#23 all-time among players aged 32y8m)
#11,Alexander Grischuk,2736,20y9m,(#10 all-time among players aged 20y9m)
#12,Alexander Morozevich,2732,27y0m,(#34 all-time among players aged 27y0m)
#13,Vassily Ivanchuk,2724,35y4m,(#32 all-time among players aged 35y4m)
#14,Evgeny Bareev,2724,37y8m,(#28 all-time among players aged 37y8m)
#15,Boris Gelfand,2715,36y1m,(#39 all-time among players aged 36y1m)
#16,Alexey Dreev,2710,35y6m,(#42 all-time among players aged 35y6m)
#17,Vladimir Akopian,2697,32y7m,(#65 all-time among players aged 32y7m)
#18,Nigel Short,2697,39y1m,(#42 all-time among players aged 39y1m)
#19,Ivan Sokolov,2694,36y1m,(#57 all-time among players aged 36y1m)
#20,Etienne Bacrot,2694,21y6m,(#27 all-time among players aged 21y6m)
#21,Mikhail Gurevich,2693,45y5m,(#30 all-time among players aged 45y5m)
#22,Anatoly Karpov,2688,53y2m,(#19 all-time among players aged 53y2m)
#23,Joel Lautier,2683,31y3m,(#86 all-time among players aged 31y3m)
#24,Emil Sutovsky,2681,26y10m,(#78 all-time among players aged 26y10m)
#25,Viktor Bologan,2680,32y7m,(#85 all-time among players aged 32y7m)
#26,Alexander Khalifman,2677,38y6m,(#58 all-time among players aged 38y6m)
#27,Loek van Wely,2676,31y9m,(#103 all-time among players aged 31y9m)
#28,Liviu-Dieter Nisipeanu,2676,27y11m,(#88 all-time among players aged 27y11m)
#29,Levon Aronian,2675,21y9m,(#42 all-time among players aged 21y9m)
#30,Konstantin Sakaev,2675,30y3m,(#101 all-time among players aged 30y3m)
