,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: August 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2789,41y4m,(#4 all-time among players aged 41y4m)
#2,Viswanathan Anand,2787,34y8m,(#6 all-time among players aged 34y8m)
#3,Vladimir Kramnik,2751,29y2m,(#18 all-time among players aged 29y2m)
#4,Veselin Topalov,2751,29y5m,(#17 all-time among players aged 29y5m)
#5,Alexander Morozevich,2749,27y1m,(#17 all-time among players aged 27y1m)
#6,Alexei Shirov,2748,32y1m,(#19 all-time among players aged 32y1m)
#7,Peter Svidler,2742,28y2m,(#22 all-time among players aged 28y2m)
#8,Peter Leko,2742,24y11m,(#20 all-time among players aged 24y11m)
#9,Judit Polgar,2742,28y1m,(#23 all-time among players aged 28y1m)
#10,Michael Adams,2742,32y9m,(#21 all-time among players aged 32y9m)
#11,Alexander Grischuk,2740,20y10m,(#8 all-time among players aged 20y10m)
#12,Ruslan Ponomariov,2730,20y10m,(#10 all-time among players aged 20y10m)
#13,Vassily Ivanchuk,2724,35y5m,(#36 all-time among players aged 35y5m)
#14,Evgeny Bareev,2724,37y9m,(#29 all-time among players aged 37y9m)
#15,Boris Gelfand,2714,36y2m,(#39 all-time among players aged 36y2m)
#16,Nigel Short,2711,39y2m,(#33 all-time among players aged 39y2m)
#17,Alexey Dreev,2709,35y7m,(#45 all-time among players aged 35y7m)
#18,Vladimir Akopian,2696,32y8m,(#69 all-time among players aged 32y8m)
#19,Ivan Sokolov,2693,36y2m,(#57 all-time among players aged 36y2m)
#20,Etienne Bacrot,2691,21y7m,(#31 all-time among players aged 21y7m)
#21,Anatoly Karpov,2686,53y3m,(#19 all-time among players aged 53y3m)
#22,Joel Lautier,2686,31y4m,(#83 all-time among players aged 31y4m)
#23,Mikhail Gurevich,2686,45y6m,(#33 all-time among players aged 45y6m)
#24,Liviu-Dieter Nisipeanu,2685,28y0m,(#78 all-time among players aged 28y0m)
#25,Viktor Bologan,2684,32y8m,(#81 all-time among players aged 32y8m)
#26,Emil Sutovsky,2682,26y11m,(#77 all-time among players aged 26y11m)
#27,Predrag Nikolic,2681,43y11m,(#37 all-time among players aged 43y11m)
#28,Rafael Vaganian,2678,52y10m,(#21 all-time among players aged 52y10m)
#29,Levon Aronian,2676,21y10m,(#44 all-time among players aged 21y10m)
#30,Rustam Kasimdzhanov,2676,24y8m,(#69 all-time among players aged 24y8m)
#31,Konstantin Sakaev,2675,30y4m,(#100 all-time among players aged 30y4m)
#32,Alexander Khalifman,2675,38y7m,(#64 all-time among players aged 38y7m)
#33,Loek van Wely,2673,31y10m,(#110 all-time among players aged 31y10m)
#34,Vladimir Malakhov,2672,23y9m,(#69 all-time among players aged 23y9m)
#35,Teimour Radjabov,2669,17y5m,(#7 all-time among players aged 17y5m)
#36,Zurab Azmaiparashvili,2669,44y5m,(#42 all-time among players aged 44y5m)
#37,Alexander Graf,2664,42y0m,(#61 all-time among players aged 42y0m)
#38,Alexander Motylev,2662,25y2m,(#95 all-time among players aged 25y2m)
#39,Alexander Beliavsky,2661,50y8m,(#29 all-time among players aged 50y8m)
#40,Kiril Georgiev,2659,38y9m,(#80 all-time among players aged 38y9m)
