,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: September 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2789,41y5m,(#4 all-time among players aged 41y5m)
#2,Viswanathan Anand,2785,34y9m,(#7 all-time among players aged 34y9m)
#3,Vladimir Kramnik,2754,29y3m,(#17 all-time among players aged 29y3m)
#4,Veselin Topalov,2752,29y6m,(#17 all-time among players aged 29y6m)
#5,Alexander Morozevich,2751,27y2m,(#17 all-time among players aged 27y2m)
#6,Alexei Shirov,2744,32y2m,(#21 all-time among players aged 32y2m)
#7,Peter Leko,2744,25y0m,(#19 all-time among players aged 25y0m)
#8,Michael Adams,2743,32y10m,(#21 all-time among players aged 32y10m)
#9,Judit Polgar,2742,28y2m,(#23 all-time among players aged 28y2m)
#10,Peter Svidler,2741,28y3m,(#22 all-time among players aged 28y3m)
#11,Alexander Grischuk,2737,20y11m,(#11 all-time among players aged 20y11m)
#12,Ruslan Ponomariov,2730,20y11m,(#12 all-time among players aged 20y11m)
#13,Evgeny Bareev,2724,37y10m,(#31 all-time among players aged 37y10m)
#14,Vassily Ivanchuk,2715,35y6m,(#40 all-time among players aged 35y6m)
#15,Alexey Dreev,2715,35y8m,(#41 all-time among players aged 35y8m)
#16,Boris Gelfand,2715,36y3m,(#37 all-time among players aged 36y3m)
#17,Nigel Short,2707,39y3m,(#34 all-time among players aged 39y3m)
#18,Joel Lautier,2701,31y5m,(#67 all-time among players aged 31y5m)
#19,Etienne Bacrot,2699,21y8m,(#28 all-time among players aged 21y8m)
#20,Vladimir Akopian,2694,32y9m,(#70 all-time among players aged 32y9m)
#21,Ivan Sokolov,2693,36y3m,(#59 all-time among players aged 36y3m)
#22,Liviu-Dieter Nisipeanu,2692,28y1m,(#68 all-time among players aged 28y1m)
#23,Viktor Bologan,2687,32y9m,(#74 all-time among players aged 32y9m)
#24,Mikhail Gurevich,2683,45y7m,(#34 all-time among players aged 45y7m)
#25,Anatoly Karpov,2683,53y4m,(#20 all-time among players aged 53y4m)
#26,Loek van Wely,2682,31y11m,(#91 all-time among players aged 31y11m)
#27,Emil Sutovsky,2682,27y0m,(#78 all-time among players aged 27y0m)
#28,Predrag Nikolic,2678,44y0m,(#37 all-time among players aged 44y0m)
#29,Zurab Azmaiparashvili,2677,44y6m,(#39 all-time among players aged 44y6m)
