,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: October 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Garry Kasparov,2788,41y6m,(#4 all-time among players aged 41y6m)
#2,Viswanathan Anand,2785,34y10m,(#6 all-time among players aged 34y10m)
#3,Vladimir Kramnik,2758,29y4m,(#13 all-time among players aged 29y4m)
#4,Veselin Topalov,2752,29y7m,(#15 all-time among players aged 29y7m)
#5,Alexander Morozevich,2751,27y3m,(#18 all-time among players aged 27y3m)
#6,Alexei Shirov,2746,32y3m,(#20 all-time among players aged 32y3m)
#7,Peter Svidler,2744,28y4m,(#21 all-time among players aged 28y4m)
#8,Michael Adams,2743,32y11m,(#20 all-time among players aged 32y11m)
#9,Judit Polgar,2742,28y3m,(#21 all-time among players aged 28y3m)
#10,Peter Leko,2742,25y1m,(#20 all-time among players aged 25y1m)
#11,Alexander Grischuk,2736,21y0m,(#11 all-time among players aged 21y0m)
#12,Ruslan Ponomariov,2729,21y0m,(#12 all-time among players aged 21y0m)
#13,Evgeny Bareev,2725,37y11m,(#30 all-time among players aged 37y11m)
#14,Boris Gelfand,2716,36y4m,(#37 all-time among players aged 36y4m)
#15,Alexey Dreev,2715,35y9m,(#42 all-time among players aged 35y9m)
#16,Vassily Ivanchuk,2714,35y7m,(#42 all-time among players aged 35y7m)
#17,Nigel Short,2707,39y4m,(#34 all-time among players aged 39y4m)
#18,Etienne Bacrot,2699,21y9m,(#28 all-time among players aged 21y9m)
#19,Joel Lautier,2697,31y6m,(#72 all-time among players aged 31y6m)
#20,Liviu-Dieter Nisipeanu,2697,28y2m,(#64 all-time among players aged 28y2m)
#21,Vladimir Akopian,2697,32y10m,(#65 all-time among players aged 32y10m)
#22,Ivan Sokolov,2695,36y4m,(#57 all-time among players aged 36y4m)
#23,Mikhail Gurevich,2691,45y8m,(#31 all-time among players aged 45y8m)
#24,Viktor Bologan,2685,32y10m,(#76 all-time among players aged 32y10m)
#25,Anatoly Karpov,2684,53y5m,(#20 all-time among players aged 53y5m)
#26,Loek van Wely,2680,32y0m,(#96 all-time among players aged 32y0m)
#27,Levon Aronian,2679,22y0m,(#46 all-time among players aged 22y0m)
#28,Rustam Kasimdzhanov,2679,24y10m,(#69 all-time among players aged 24y10m)
#29,Predrag Nikolic,2678,44y1m,(#38 all-time among players aged 44y1m)
#30,Teimour Radjabov,2673,17y7m,(#9 all-time among players aged 17y7m)
#31,Emil Sutovsky,2672,27y1m,(#94 all-time among players aged 27y1m)
#32,Rafael Vaganian,2671,53y0m,(#23 all-time among players aged 53y0m)
#33,Kiril Georgiev,2668,38y11m,(#71 all-time among players aged 38y11m)
#34,Alexander Motylev,2666,25y4m,(#93 all-time among players aged 25y4m)
#35,Alexander Khalifman,2666,38y9m,(#71 all-time among players aged 38y9m)
#36,Zurab Azmaiparashvili,2664,44y7m,(#49 all-time among players aged 44y7m)
#37,Vladimir Malakhov,2662,23y11m,(#85 all-time among players aged 23y11m)
#38,Luke McShane,2660,20y9m,(#44 all-time among players aged 20y9m)
#39,Giovanni Vescovi,2659,26y4m,(#111 all-time among players aged 26y4m)
#40,Krishnan Sasikiran,2659,23y9m,(#87 all-time among players aged 23y9m)
#41,Alexander Graf,2657,42y2m,(#70 all-time among players aged 42y2m)
#42,Lenier Dominguez,2655,21y1m,(#54 all-time among players aged 21y1m)
#43,Shakhriyar Mamedyarov,2655,19y6m,(#26 all-time among players aged 19y6m)
#44,Konstantin Sakaev,2655,30y6m,(#133 all-time among players aged 30y6m)
#45,Vadim Zvjaginsev,2653,28y2m,(#127 all-time among players aged 28y2m)
#46,Ilia Smirin,2651,36y9m,(#97 all-time among players aged 36y9m)
#47,Sergei Rublevsky,2651,30y0m,(#144 all-time among players aged 30y0m)
#48,Alexander Beliavsky,2651,50y10m,(#33 all-time among players aged 50y10m)
#49,Darmen Sadvakasov,2650,25y6m,(#128 all-time among players aged 25y6m)
#50,Zoltan Almasi,2650,28y2m,(#137 all-time among players aged 28y2m)
#51,Alexander Moiseenko,2649,24y5m,(#113 all-time among players aged 24y5m)
