,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: November 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Viswanathan Anand,2794,34y11m,(#4 all-time among players aged 34y11m)
#2,Garry Kasparov,2771,41y7m,(#9 all-time among players aged 41y7m)
#3,Vladimir Kramnik,2752,29y5m,(#16 all-time among players aged 29y5m)
#4,Peter Svidler,2751,28y5m,(#19 all-time among players aged 28y5m)
#5,Alexander Morozevich,2750,27y4m,(#17 all-time among players aged 27y4m)
#6,Michael Adams,2748,33y0m,(#16 all-time among players aged 33y0m)
#7,Peter Leko,2746,25y2m,(#18 all-time among players aged 25y2m)
#8,Judit Polgar,2741,28y4m,(#23 all-time among players aged 28y4m)
#9,Veselin Topalov,2741,29y8m,(#23 all-time among players aged 29y8m)
#10,Alexei Shirov,2740,32y4m,(#22 all-time among players aged 32y4m)
#11,Alexander Grischuk,2737,21y1m,(#10 all-time among players aged 21y1m)
#12,Vassily Ivanchuk,2726,35y8m,(#35 all-time among players aged 35y8m)
#13,Evgeny Bareev,2721,38y0m,(#32 all-time among players aged 38y0m)
#14,Alexey Dreev,2721,35y10m,(#39 all-time among players aged 35y10m)
#15,Boris Gelfand,2721,36y5m,(#35 all-time among players aged 36y5m)
#16,Ruslan Ponomariov,2717,21y1m,(#14 all-time among players aged 21y1m)
#17,Rafael Vaganian,2713,53y1m,(#10 all-time among players aged 53y1m)
#18,Ivan Sokolov,2705,36y5m,(#47 all-time among players aged 36y5m)
#19,Joel Lautier,2697,31y7m,(#70 all-time among players aged 31y7m)
#20,Mikhail Gurevich,2696,45y9m,(#30 all-time among players aged 45y9m)
#21,Nigel Short,2696,39y5m,(#40 all-time among players aged 39y5m)
#22,Levon Aronian,2695,22y1m,(#36 all-time among players aged 22y1m)
#23,Vladimir Akopian,2692,32y11m,(#68 all-time among players aged 32y11m)
#24,Viktor Bologan,2692,32y11m,(#69 all-time among players aged 32y11m)
#25,Etienne Bacrot,2692,21y10m,(#36 all-time among players aged 21y10m)
#26,Rustam Kasimdzhanov,2691,24y11m,(#54 all-time among players aged 24y11m)
#27,Kiril Georgiev,2689,39y0m,(#46 all-time among players aged 39y0m)
#28,Liviu-Dieter Nisipeanu,2684,28y3m,(#76 all-time among players aged 28y3m)
#29,Anatoly Karpov,2681,53y6m,(#19 all-time among players aged 53y6m)
#30,Alexander Motylev,2681,25y5m,(#69 all-time among players aged 25y5m)
#31,Loek van Wely,2678,32y1m,(#94 all-time among players aged 32y1m)
#32,Teimour Radjabov,2676,17y8m,(#8 all-time among players aged 17y8m)
#33,Predrag Nikolic,2675,44y2m,(#37 all-time among players aged 44y2m)
#34,Zurab Azmaiparashvili,2673,44y8m,(#41 all-time among players aged 44y8m)
#35,Alexander Khalifman,2670,38y10m,(#63 all-time among players aged 38y10m)
#36,Lenier Dominguez,2670,21y2m,(#44 all-time among players aged 21y2m)
#37,Vladimir Malakhov,2668,24y0m,(#80 all-time among players aged 24y0m)
#38,Emil Sutovsky,2667,27y2m,(#106 all-time among players aged 27y2m)
#39,Konstantin Sakaev,2665,30y7m,(#114 all-time among players aged 30y7m)
#40,Vadim Zvjaginsev,2663,28y3m,(#113 all-time among players aged 28y3m)
#41,Francisco Vallejo Pons,2660,22y3m,(#62 all-time among players aged 22y3m)
#42,Giovanni Vescovi,2659,26y5m,(#111 all-time among players aged 26y5m)
#43,Andrei Volokitin,2659,18y5m,(#17 all-time among players aged 18y5m)
#44,Alexander Moiseenko,2658,24y6m,(#93 all-time among players aged 24y6m)
#45,Sergei Rublevsky,2658,30y1m,(#124 all-time among players aged 30y1m)
#46,Alexander Graf,2657,42y3m,(#68 all-time among players aged 42y3m)
#47,Krishnan Sasikiran,2656,23y10m,(#93 all-time among players aged 23y10m)
#48,Alexander Onischuk,2654,29y2m,(#135 all-time among players aged 29y2m)
#49,Shakhriyar Mamedyarov,2652,19y7m,(#28 all-time among players aged 19y7m)
#50,David Navara,2649,19y8m,(#35 all-time among players aged 19y8m)
#51,Lazaro Bruzon Bautista,2648,22y6m,(#83 all-time among players aged 22y6m)
#52,Alexander Beliavsky,2648,50y11m,(#34 all-time among players aged 50y11m)
#53,Ni Hua,2647,21y6m,(#62 all-time among players aged 21y6m)
#54,Vadim Milov,2645,32y3m,(#158 all-time among players aged 32y3m)
#55,Jaan Ehlvest,2644,42y1m,(#93 all-time among players aged 42y1m)
#56,Bartlomiej Macieja,2644,27y1m,(#147 all-time among players aged 27y1m)
#57,Ye Jiangchuan,2643,44y0m,(#68 all-time among players aged 44y0m)
#58,Baadur Jobava,2643,21y0m,(#55 all-time among players aged 21y0m)
#59,Ilia Smirin,2642,36y10m,(#122 all-time among players aged 36y10m)
#60,Smbat Lputian,2641,46y9m,(#60 all-time among players aged 46y9m)
#61,Peter Heine Nielsen,2641,31y6m,(#161 all-time among players aged 31y6m)
#62,Sergei Movsesian,2639,26y0m,(#144 all-time among players aged 26y0m)
