,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: December 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Viswanathan Anand,2795,35y0m,(#4 all-time among players aged 35y0m)
#2,Garry Kasparov,2790,41y8m,(#5 all-time among players aged 41y8m)
#3,Vladimir Kramnik,2753,29y6m,(#14 all-time among players aged 29y6m)
#4,Michael Adams,2749,33y1m,(#16 all-time among players aged 33y1m)
#5,Peter Leko,2748,25y3m,(#16 all-time among players aged 25y3m)
#6,Peter Svidler,2746,28y6m,(#20 all-time among players aged 28y6m)
#7,Veselin Topalov,2745,29y9m,(#20 all-time among players aged 29y9m)
#8,Alexander Morozevich,2745,27y5m,(#20 all-time among players aged 27y5m)
#9,Alexander Grischuk,2741,21y2m,(#10 all-time among players aged 21y2m)
#10,Judit Polgar,2741,28y5m,(#23 all-time among players aged 28y5m)
#11,Alexei Shirov,2740,32y5m,(#21 all-time among players aged 32y5m)
#12,Alexey Dreev,2725,35y11m,(#36 all-time among players aged 35y11m)
#13,Evgeny Bareev,2722,38y1m,(#29 all-time among players aged 38y1m)
#14,Vassily Ivanchuk,2721,35y9m,(#39 all-time among players aged 35y9m)
#15,Boris Gelfand,2720,36y6m,(#36 all-time among players aged 36y6m)
#16,Ruslan Ponomariov,2719,21y2m,(#14 all-time among players aged 21y2m)
#17,Rafael Vaganian,2713,53y2m,(#9 all-time among players aged 53y2m)
#18,Nigel Short,2703,39y6m,(#37 all-time among players aged 39y6m)
#19,Ivan Sokolov,2702,36y6m,(#47 all-time among players aged 36y6m)
#20,Levon Aronian,2699,22y2m,(#32 all-time among players aged 22y2m)
#21,Joel Lautier,2696,31y8m,(#70 all-time among players aged 31y8m)
#22,Rustam Kasimdzhanov,2695,25y0m,(#49 all-time among players aged 25y0m)
#23,Etienne Bacrot,2693,21y11m,(#34 all-time among players aged 21y11m)
#24,Viktor Bologan,2692,33y0m,(#69 all-time among players aged 33y0m)
#25,Vladimir Akopian,2691,33y0m,(#70 all-time among players aged 33y0m)
#26,Mikhail Gurevich,2688,45y10m,(#32 all-time among players aged 45y10m)
#27,Liviu-Dieter Nisipeanu,2687,28y4m,(#74 all-time among players aged 28y4m)
#28,Kiril Georgiev,2684,39y1m,(#50 all-time among players aged 39y1m)
#29,Alexander Motylev,2683,25y6m,(#65 all-time among players aged 25y6m)
#30,Anatoly Karpov,2682,53y7m,(#18 all-time among players aged 53y7m)
#31,Loek van Wely,2678,32y2m,(#98 all-time among players aged 32y2m)
#32,Teimour Radjabov,2675,17y9m,(#10 all-time among players aged 17y9m)
#33,Predrag Nikolic,2674,44y3m,(#40 all-time among players aged 44y3m)
#34,Zurab Azmaiparashvili,2672,44y9m,(#43 all-time among players aged 44y9m)
#35,Alexander Khalifman,2671,38y11m,(#63 all-time among players aged 38y11m)
#36,Lenier Dominguez,2669,21y3m,(#45 all-time among players aged 21y3m)
#37,Vladimir Malakhov,2667,24y1m,(#81 all-time among players aged 24y1m)
#38,Emil Sutovsky,2666,27y3m,(#102 all-time among players aged 27y3m)
#39,Konstantin Sakaev,2663,30y8m,(#115 all-time among players aged 30y8m)
#40,Giovanni Vescovi,2662,26y6m,(#107 all-time among players aged 26y6m)
#41,Andrei Volokitin,2661,18y6m,(#14 all-time among players aged 18y6m)
#42,Vadim Zvjaginsev,2660,28y4m,(#120 all-time among players aged 28y4m)
#43,Krishnan Sasikiran,2659,23y11m,(#87 all-time among players aged 23y11m)
#44,Francisco Vallejo Pons,2659,22y4m,(#63 all-time among players aged 22y4m)
#45,David Navara,2658,19y9m,(#27 all-time among players aged 19y9m)
#46,Sergei Rublevsky,2655,30y2m,(#131 all-time among players aged 30y2m)
#47,Ni Hua,2654,21y7m,(#55 all-time among players aged 21y7m)
#48,Lazaro Bruzon Bautista,2653,22y7m,(#76 all-time among players aged 22y7m)
#49,Alexander Graf,2653,42y4m,(#69 all-time among players aged 42y4m)
#50,Shakhriyar Mamedyarov,2652,19y8m,(#32 all-time among players aged 19y8m)
#51,Pavel Eljanov,2651,21y7m,(#58 all-time among players aged 21y7m)
#52,Alexander Onischuk,2651,29y3m,(#137 all-time among players aged 29y3m)
