,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month,,,,
Monthly List: January 2005 rating list,,,,
,,,,
,Player Name,Rating,Age,
#1,Viswanathan Anand,2795,35y1m,(#5 all-time among players aged 35y1m)
#2,Garry Kasparov,2788,41y9m,(#5 all-time among players aged 41y9m)
#3,Vladimir Kramnik,2751,29y7m,(#17 all-time among players aged 29y7m)
#4,Alexander Morozevich,2748,27y6m,(#19 all-time among players aged 27y6m)
#5,Peter Leko,2747,25y4m,(#19 all-time among players aged 25y4m)
#6,Michael Adams,2745,33y2m,(#17 all-time among players aged 33y2m)
#7,Veselin Topalov,2744,29y10m,(#22 all-time among players aged 29y10m)
#8,Peter Svidler,2744,28y7m,(#21 all-time among players aged 28y7m)
#9,Alexander Grischuk,2741,21y3m,(#11 all-time among players aged 21y3m)
#10,Alexei Shirov,2739,32y6m,(#22 all-time among players aged 32y6m)
#11,Judit Polgar,2736,28y6m,(#28 all-time among players aged 28y6m)
#12,Alexey Dreev,2726,36y0m,(#36 all-time among players aged 36y0m)
#13,Vassily Ivanchuk,2723,35y10m,(#37 all-time among players aged 35y10m)
#14,Evgeny Bareev,2722,38y2m,(#28 all-time among players aged 38y2m)
#15,Boris Gelfand,2720,36y7m,(#37 all-time among players aged 36y7m)
#16,Rafael Vaganian,2718,53y3m,(#7 all-time among players aged 53y3m)
#17,Ruslan Ponomariov,2715,21y3m,(#15 all-time among players aged 21y3m)
#18,Ivan Sokolov,2710,36y7m,(#43 all-time among players aged 36y7m)
#19,Levon Aronian,2704,22y3m,(#28 all-time among players aged 22y3m)
#20,Nigel Short,2699,39y7m,(#38 all-time among players aged 39y7m)
#21,Anatoly Karpov,2694,53y8m,(#13 all-time among players aged 53y8m)
#22,Rustam Kasimdzhanov,2693,25y1m,(#50 all-time among players aged 25y1m)
#23,Joel Lautier,2693,31y9m,(#73 all-time among players aged 31y9m)
#24,Vladimir Akopian,2693,33y1m,(#65 all-time among players aged 33y1m)
#25,Viktor Bologan,2690,33y1m,(#71 all-time among players aged 33y1m)
#26,Mikhail Gurevich,2688,45y11m,(#30 all-time among players aged 45y11m)
#27,Etienne Bacrot,2688,22y0m,(#38 all-time among players aged 22y0m)
#28,Alexander Motylev,2687,25y7m,(#64 all-time among players aged 25y7m)
#29,Liviu-Dieter Nisipeanu,2683,28y5m,(#83 all-time among players aged 28y5m)
#30,Kiril Georgiev,2682,39y2m,(#52 all-time among players aged 39y2m)
#31,Loek van Wely,2679,32y3m,(#94 all-time among players aged 32y3m)
#32,Teimour Radjabov,2675,17y10m,(#10 all-time among players aged 17y10m)
#33,Alexander Onischuk,2674,29y4m,(#95 all-time among players aged 29y4m)
#34,Lenier Dominguez,2674,21y4m,(#39 all-time among players aged 21y4m)
#35,Zurab Azmaiparashvili,2672,44y10m,(#42 all-time among players aged 44y10m)
#36,Predrag Nikolic,2666,44y4m,(#43 all-time among players aged 44y4m)
#37,Konstantin Sakaev,2666,30y9m,(#112 all-time among players aged 30y9m)
#38,Alexander Khalifman,2665,39y0m,(#73 all-time among players aged 39y0m)
#39,Emil Sutovsky,2665,27y4m,(#107 all-time among players aged 27y4m)
#40,Krishnan Sasikiran,2663,24y0m,(#85 all-time among players aged 24y0m)
#41,Giovanni Vescovi,2663,26y7m,(#106 all-time among players aged 26y7m)
#42,Andrei Istratescu,2662,29y1m,(#115 all-time among players aged 29y1m)
#43,Sergei Rublevsky,2661,30y3m,(#122 all-time among players aged 30y3m)
#44,Francisco Vallejo Pons,2660,22y5m,(#59 all-time among players aged 22y5m)
#45,Lazaro Bruzon Bautista,2660,22y8m,(#72 all-time among players aged 22y8m)
#46,Vladimir Malakhov,2659,24y2m,(#88 all-time among players aged 24y2m)
#47,Vadim Zvjaginsev,2656,28y5m,(#130 all-time among players aged 28y5m)
#48,Andrei Volokitin,2655,18y7m,(#18 all-time among players aged 18y7m)
#49,Alexander Graf,2654,42y5m,(#72 all-time among players aged 42y5m)
#50,Ni Hua,2653,21y8m,(#59 all-time among players aged 21y8m)
#51,David Navara,2652,19y10m,(#33 all-time among players aged 19y10m)
#52,Shakhriyar Mamedyarov,2650,19y9m,(#34 all-time among players aged 19y9m)
#53,Alexander Beliavsky,2649,51y1m,(#35 all-time among players aged 51y1m)
#54,Baadur Jobava,2649,21y2m,(#57 all-time among players aged 21y2m)
