Player Name,Rating
Garry Kasparov,2838
Anatoly Karpov,2822
Alexander Beliavsky,2751
Artur Jussupow,2749
Viktor Korchnoi,2749
Jan Timman,2745
Rafael Vaganian,2734
Lajos Portisch,2731
Andrey Sokolov,2728
Boris Spassky,2727
Robert Hübner,2717
Mikhail Tal,2711
Ljubomir Ljubojevic,2708
John Nunn,2707
Predrag Nikolic,2704
Viacheslav Eingorn,2703
Nigel Short,2702
Ulf Andersson,2702
Zoltán Ribli,2701
Smbat Lputian,2699
Anthony Miles,2696
Vladimir Tukmakov,2695
Georgy Agzamov,2694
Lev Polugaevsky,2694
Alexander Chernin,2689
Konstantin Lerner,2687
Mikhail Gurevich,2687
Victor Gavrikov,2687
Lev Psakhis,2686
Oleg Romanishin,2685
Evgeny Sveshnikov,2684
Vladimir Malaniuk,2680
Iosif Dorfman,2673
Vassily Smyslov,2672
Sergey Smagin,2672
Sergey Dolmatov,2672
Bent Larsen,2670
Yasser Seirawan,2668
Helgi Olafsson,2662
Alexander Khalifman,2662
Simen Agdestein,2662
Lubomir Kavalek,2660
Arshak Petrosian,2660
Gennady Zaichik,2660
Yury Razuvaev,2660
Valery Neverov,2658
John van der Wiel,2658
Vlastimil Hort,2658
Dragoljub Velimirovic,2657
Gyula Sax,2656
Murray Chandler,2656
József Pintér,2654
Larry Christiansen,2654
András Adorján,2653
Adrian Mikhalchishin,2652
Roman Dzindzichashvili,2651
Mihai Suba,2650
Eugenio Torre,2649
Lubomír Ftácnik,2649
Yury Dokhoian,2647
Jonathan Speelman,2647
Boris Gulko,2647
Igor Novikov,2646
Semen Dvoiris,2646
Elizbar Ubilava,2646
Yury Balashov,2645
Vassily Ivanchuk,2645
Gennadi Sosonko,2645
Sergey Makarichev,2644
Jesus Nogueiras,2644
Leonid Yudasin,2642
Efim Geller,2638
Slavoljub Marjanovic,2638
Joel Benjamin,2637
Petar Popovic,2637
Florin Gheorghiu,2637
Anatoli Vaisser,2636
Evgeny Pigusov,2636
Andrey Kharitonov,2636
Kiril Georgiev,2635
Evgeny Vasiukov,2635
Zurab Azmaiparashvili,2633
Jan Smejkal,2633
Valery Salov,2632
Curt Hansen,2632
Maia Chiburdanidze,2632
Daniel Cámpora,2631
Valery Chekhov,2630
Krunoslav Hulak,2630
Alexey Dreev,2630
Alonso Zapata,2629
Alexey Vyzmanavin,2629
Edvins Kengis,2628
Aleksandr Shneider,2626
Vitaly Tseshkovsky,2625
Mikhail Podgaets,2622
Wolfgang Uhlmann,2621
Eduardas Rozentalis,2621
Rainer Knaak,2620
Jose Luis Fernandez Garcia,2620
