Name,Rating
Magnus Carlsen,2862
Fabiano Caruana,2829
Alexander Grischuk,2810
Veselin Topalov,2800
Levon Aronian,2797
Viswanathan Anand,2793
Hikaru Nakamura,2775
Sergey Karjakin,2773
Vladimir Kramnik,2769
Anish Giri,2768
Shakhriyar Mamedyarov,2765
Wesley So,2762
Maxime Vachier-Lagrave,2758
Michael Adams,2745
Radoslaw Wojtaszek,2744
Boris Gelfand,2743
Peter Svidler,2743
Nikita Vitiugov,2738
Dmitry Andreikin,2737
Teimour Radjabov,2734
Baadur Jobava,2733
Dmitry Jakovenko,2732
Liren Ding,2732
Arkadij Naiditsch,2731
Chao b Li,2730
P. Harikrishna,2727
David Navara,2727
Pavel Eljanov,2726
Leinier Dominguez Perez,2726
Peter Leko,2723
Yue Wang,2720
Etienne Bacrot,2718
Richard Rapport,2716
Vassily Ivanchuk,2715
Ian Nepomniachtchi,2714
Evgeny Tomashevsky,2714
Ruslan Ponomariov,2713
Alexander Morozevich,2712
Hao Wang,2710
Vladimir Malakhov,2708
Laurent Fressinet,2706
Francisco Vallejo Pons,2705
Yangyi Yu,2705
Zoltan Almasi,2704
Rustam Kasimdzhanov,2703
Sergei Rublevsky,2698
Maxim Matlakov,2695
Alexander Moiseenko,2694
Xiangzhi Bu,2691
Yuriy Kryvoruchko,2688
Anton Korobov,2687
Gabriel Sargissian,2687
Igor Lysyj,2686
Alexander Riazantsev,2684
Ivan Cheparinov,2684
Hua Ni,2683
Krishnan Sasikiran,2682
Yuriy Kuzubov,2681
Gata Kamsky,2681
Ernesto Inarkiev,2680
Alexander Motylev,2680
Ivan Saric,2679
Evgeny Alekseev,2679
Hrant Melkumyan,2678
Quang Liem Le,2678
Sergei Tiviakov,2677
Maxim Rodshtein,2676
Alexei Shirov,2675
Judit Polgar,2675
Viktor Laznicka,2673
Yifan Hou,2673
Luke J McShane,2672
Sergei Zhigalko,2672
David W L Howell,2670
Sergey A. Fedorchuk,2669
Ferenc Berkes,2669
Boris Grachev,2669
Parimarjan Negi,2669
Denis Khismatullin,2668
Yi Wei,2668
Lazaro Bruzon Batista,2668
Loek Van Wely,2667
Sanan Sjugirov,2666
Alexander Onischuk,2665
Mateusz Bartel,2664
Vladislav Artemiev,2662
Alexander Areshchenko,2661
Vladimir Fedoseev,2661
Gawain C B Jones,2661
Nigel D Short,2661
Romain Edouard,2659
Ngoc Truong Son Nguyen,2659
Liviu-Dieter Nisipeanu,2658
Rauf Mamedov,2658
Sergei Movsesian,2658
Matthew D Sadler,2658
Csaba Balogh,2658
Tigran Gharamian,2658
Vladimir Akopian,2657
Vladimir Baklan,2655
