Name,Rating
Viswanathan Anand,2781
Veselin Topalov,2779
Vladimir Kramnik,2768
Shakhriyar Mamedyarov,2755
Levon Aronian,2749
Alexander Morozevich,2748
Peter Leko,2745
Vassily Ivanchuk,2743
Teimour Radjabov,2735
Michael Adams,2734
Boris Gelfand,2733
Peter Svidler,2730
Judit Polgar,2727
Ruslan Ponomariov,2721
David Navara,2719
Alexander Grischuk,2717
Alexei Shirov,2709
Etienne Bacrot,2706
Gata Kamsky,2705
Vladimir Akopian,2701
Krishnan Sasikiran,2696
Dmitry Jakovenko,2696
Nigel D. Short,2691.0
Magnus Carlsen,2691
Nigel D Short,2691.0
Liviu-Dieter Nisipeanu,2690
Loek Van Wely,2680
Rustam Kasimdzhanov,2680
Sergey Karjakin,2680
Francisco Vallejo Pons,2678
Sergei Rublevsky,2678
Pavel Eljanov,2678
Lenier Dominguez Perez,2678.0
Lenier Dominguez,2677.0
Sergei Tiviakov,2675
Zoltan Almasi,2671
Ernesto Inarkiev,2669
Vadim Milov,2668
Vladimir Malakhov,2668
Evgeny Alekseev,2667
P. Harikrishna,2665
Alexander Onischuk,2663
Artyom Timofeev,2661
Arkadij Naiditsch,2660
Kiril Georgiev,2658
Vadim Zvjaginsev,2658
Joel Lautier,2657
Gabriel Sargissian,2655
Ivan Sokolov,2655
Hikaru Nakamura,2655
Kamil Miton,2654
Michal Krasenkow,2654
Vugar Gashimov,2653
Ilia Smirin,2652
Baadur Jobava,2652
Viktor Bologan,2650
Peter Heine Nielsen,2650
Vladislav Tkachiev,2650
Alexey Dreev,2649
Andrei Volokitin,2648
Yue Wang,2648
Alexander Areshchenko,2648
Xiangzhi Bu,2648
Pengxiang Zhang,2647
Alexander Motylev,2645
Laurent Fressinet,2645
Boris Avrukh,2644
Zviad Izoria,2643
Evgeny Bareev,2643
Jaan Ehlvest,2643.0
Ivan Cheparinov,2642
Alexander G Beliavsky,2642
Mikhail Kobalia,2639
Yasser Seirawan,2639
Hua Ni,2639
Konstantin Sakaev,2638
Friso Nijboer,2638.0
Sergei Movsesian,2638
Radoslaw Wojtaszek,2637.0
Sergey Volkov,2637
Mikhail Gurevich,2636
Evgenij Miroshnichenko,2636
Emil Sutovsky,2635
Zahar Efimenko,2635.0
Karen Asrian,2634
Smbat G Lputian,2634
Kevin Spraggett,2633.0
Bartosz Socko,2633
Zurab Azmaiparashvili,2632
Jiangchuan Ye,2632.0
Viktor Korchnoi,2629.0
Alexander Riazantsev,2629.0
Bartlomiej Macieja,2629.0
Daniel Fridman,2629
Evgeny Tomashevsky,2629
Christian Bauer,2629.0
Igor Khenkin,2629.0
Vladimir Afromeev,2628
Alexander Moiseenko,2628
Predrag Nikolic,2627
