Name,Rating
Emanuel Lasker,2859
Siegbert Tarrasch,2806
Harry Pillsbury,2797
Dawid Janowsky,2744
G\xe9za Mar\xf3czy,2735
Rezs\xf6 Charousek,2733
Mikhail Chigorin,2720
Amos Burn,2715
Carl Schlechter,2711
Samuel Lipsch\xfctz,2700
Wilhelm Steinitz,2689
Joseph Blackburne,2681
Semyon Alapin,2674
Paul Lipke,2664
Jackson Showalter,2656
Georg Marco,2639
Carl Walbrodt,2635
Hermann Voigt,2626
Emanuel Schiffers,2613
Wilhelm Cohn,2611
Johann Berger,2602
James Mason,2598
Szymon Winawer,2582
Richard Teichmann,2577
Alexander Halprin,2574
Horatio Caro,2569
Johannes Metger,2560
Victor Exner,2557
Kaufmann,2557
Walter Shipley,2554
Ignatz von Popiel,2551
Francis Lee,2547
Theodor von Scheve,2540
Mikl\xf3s Br\xf3dy,2537
Adolf Zinkl,2530
Jacob Halpern,2529
Emil Kem\xe9ny,2525
Samuel Bampton,2516
Hermann von Gottschall,2515
Hugo S\xfcchting,2511
D Stuart Robinson,2510
Arthur Havasi,2507
Julius Kaiser,2506
Emil Schallopp,2502
C Weeks,2501
Hugo Boehlke,2499
Charles Newman,2499
Jacques Mieses,2493
Edward Jones,2489
Hugo F\xe4hndrich,2489
Mordecai Morgan,2480
Arved Heinrichsen,2479
Eugene Delmar,2475
J Moore Hanham,2475
Samuel Tinsley,2471
Adolf Albin,2470
D Stuart,2468
David Baird,2468
Frank Marshall,2465
Henry Bird,2461
Adolf Schwarz,2460
Alexander Fritz,2452
Hugo Bodenstein,2428
John Welsh Young,2428
Albert Mandelbaum,2422
Siegfried Wolf,2419
John McCutcheon,2418
Herbert Jacobs,2415
Sidney Johnston,2414
William Ferris,2412
Herbert Trenchard,2410
Jan te Kolst\xe9,2408
J Smyth,2387
Bernhard Kagan,2377
Kurt Bendix,2312
Max Kempner-Hochstaedt,2309
Perry-Smith,2294
D Rhoades,2284
