Player Name,Rating
Anatoly Karpov,2817
Viktor Korchnoi,2790
Lajos Portisch,2754
Mikhail Tal,2749
Garry Kasparov,2741
Lev Polugaevsky,2735
Boris Spassky,2731
Jan Timman,2723
Bent Larsen,2719
Robert Hübner,2716
Tigran Petrosian,2713
Alexander Beliavsky,2706
Vlastimil Hort,2701
Oleg Romanishin,2700
Yury Balashov,2699
Rafael Vaganian,2695
Zoltán Ribli,2695
Ulf Andersson,2693
Vladimir Tukmakov,2685
Ljubomir Ljubojevic,2685
Sergey Makarichev,2683
Efim Geller,2683
Sergey Dolmatov,2683
Florin Gheorghiu,2682
Gyula Sax,2678
Vitaly Tseshkovsky,2676
Jan Smejkal,2673
Boris Gulko,2673
Tamaz Georgadze,2672
Evgeny Sveshnikov,2669
Svetozar Gligoric,2668
Anthony Miles,2667
Artur Jussupow,2667
Lubomir Kavalek,2662
Gennady Kuzmin,2662
Yury Razuvaev,2662
Roman Dzindzichashvili,2661
Walter Browne,2660
Vassily Smyslov,2659
Nukhim Rashkovsky,2658
Iosif Dorfman,2657
Viktor Kupreichik,2656
Vladimir Bagirov,2655
Konstantin Lerner,2652
David Bronstein,2648
Yasser Seirawan,2647
Gennadi Sosonko,2646
John Nunn,2644
Adrian Mikhalchishin,2644
Yehuda Gruenfeld,2644
Alexander Kochiev,2643
Borislav Ivkov,2643
Michael Stean,2640
Vladimir Liberzon,2640
Elizbar Ubilava,2639
Vladimir Savon,2637
András Adorján,2633
József Pintér,2633
Henrique Mecking,2632
Wolfgang Unzicker,2631
Alexander Ivanov,2629
Ratmir Kholmov,2625
Igor Ivanov,2623
Evgeny Vasiukov,2623
Lev Psakhis,2622
Karen Grigorian,2622
James Tarjan,2622
Alexander Chernin,2620
Lev Alburt,2620
Ivan Nemet,2619
Robert Byrne,2618
Oscar Panno,2618
Mikhail Tseitlin,2618
Alexey Suetin,2616
Semen Palatnik,2616
Rainer Knaak,2615
Anatoly Lein,2615
Miguel Najdorf,2615
Gennady Timoshchenko,2615
Fridrik Olafsson,2614
Alexey Kosikov,2614
István Csom,2614
Bojan Kurajica,2614
Lubomír Ftácnik,2613
Eduard Gufeld,2612
Helmut Pfleger,2610
Georgy Tringov,2609
Elmar Magerramov,2607
Jonathan Speelman,2604
Hans Ree,2604
Wolfgang Uhlmann,2604
Ludek Pachmann,2604
Eugenio Torre,2604
Aivars Gipslis,2603
Lothar Vogt,2602
Mark Taimanov,2602
Aleksander Veingold,2598
Miguel Quinteros,2597
Andrey Kharitonov,2595
Leonid Shamkovich,2595
